Data,Organisation unit,Value
IMCI Exclusive breast feeding,Belkuchi Upazila,623.0
IMCI Exclusive breast feeding,Shibalaya Upazila,272.0
IMCI Complementary Feeding (6-23 months),Daganbhuiyan Upazila,2065.0
IMCI Complementary Feeding (6-23 months),Zanzira Upazila,341.0
IMCI Complementary Feeding (6-23 months),Kazipur Upazila,2621.0
IMCI Complementary Feeding (6-23 months),Fenchuganj Upazila,526.0
IMCI Complementary Feeding (6-23 months),Faridpur Upazila,387.0
IMCI Exclusive breast feeding,Atpara Upazila,126.0
IMCI Exclusive breast feeding,Jurai Chhari Upazila,173.0
IMCI Complementary Feeding (6-23 months),Dhobaura Upazila,1086.0
Nutrition Service received (Children),Dhanbari Upzila,240.0
IMCI Exclusive breast feeding,Kalapara Upazila,2978.0
IMCI Complementary Feeding (6-23 months),Palashbari Upazila,1078.0
IMCI Complementary Feeding (6-23 months),Bahubal Upazila,3630.0
"Counselling Nutrition (0-<6m,6-<24m, 24-<60m)",Dhanbari Upzila,15.0
IMCI Complementary Feeding (6-23 months),Gomastapur Upazila,1175.0
Number of children received Albendazole tablet,Nabinagar Upazila,15.0
IMCI Complementary Feeding (6-23 months),Gosairhat Upazila,257.0
IMCI Exclusive breast feeding,Bauphal Upazila,1509.0
IMCI Complementary Feeding (6-23 months),Palash Upazila,3713.0
IMCI Complementary Feeding (6-23 months),Fulgazi Upazila,517.0
IMCI Exclusive breast feeding,Atrai Upazila,1884.0
IMCI Complementary Feeding (6-23 months),Companiganj SH Upazila,1451.0
IMCI Complementary Feeding (6-23 months),Chunarughat Upazila,1653.0
IMCI Complementary Feeding (6-23 months),Itna Upazila,548.0
IMCI Exclusive breast feeding,Komolnogor Upazila,1067.0
IMCI Complementary Feeding (6-23 months),Nalitabari Upazila,3480.0
Number of children received Micro-nutrient Powder (MNP),Basail Upazila,6.0
IMCI Complementary Feeding (6-23 months),Nilphamari Sadar Upazila,12.0
IMCI Complementary Feeding (6-23 months),Baniachong Upazila,1878.0
IMCI Exclusive breast feeding,Belai Chhari Upazila,185.0
IMCI Complementary Feeding (6-23 months),Lohagara Upazila,2057.0
IMCI Complementary Feeding (6-23 months),Durgapur Upazila,4253.0
IMCI Complementary Feeding (6-23 months),Dakshin Surma Upazila,1736.0
"Underweight (0-<6m,6-<24m, 24-<60m)",Sundarganj Upazila,2.0
IMCI Exclusive breast feeding,Alikadam Upazila,1666.0
Nutrition Service received (Children),Bhanga Upazila,13.0
IMCI Exclusive breast feeding,Sonatola Upazila,797.0
IMCI Complementary Feeding (6-23 months),Shibganj NG Upazila,1098.0
IMCI Exclusive breast feeding,Panchbibi Upazila,489.0
IMCI Complementary Feeding (6-23 months),Dhamrai Upazila,3031.0
Number of children received Albendazole tablet,Hossainpur Upazila,1.0
