Data,Organisation unit,Value
sOZDJ7q9jaJ,506447,3038.0
sOZDJ7q9jaJ,308276,2128.0
sOZDJ7q9jaJ,609047,0.0
sOZDJ7q9jaJ,400158,1168.0
sOZDJ7q9jaJ,506915,672.0
sOZDJ7q9jaJ,201936,0.0
sOZDJ7q9jaJ,501027,0.0
sOZDJ7q9jaJ,507655,0.0
sOZDJ7q9jaJ,605856,72.0
sOZDJ7q9jaJ,404480,0.0
sOZDJ7q9jaJ,401823,0.0
sOZDJ7q9jaJ,100636,30.0
sOZDJ7q9jaJ,309338,0.0
sOZDJ7q9jaJ,501033,0.0
sOZDJ7q9jaJ,303591,65.0
sOZDJ7q9jaJ,303958,2079.0
sOZDJ7q9jaJ,201578,150.0
sOZDJ7q9jaJ,303929,96.0
sOZDJ7q9jaJ,609120,1552.0
sOZDJ7q9jaJ,557345,18.0
sOZDJ7q9jaJ,405566,600.0
sOZDJ7q9jaJ,305682,0.0
sOZDJ7q9jaJ,506991,2556.0
sOZDJ7q9jaJ,202256,0.0
sOZDJ7q9jaJ,201504,0.0
sOZDJ7q9jaJ,404740,672.0
sOZDJ7q9jaJ,201547,36.0
sOZDJ7q9jaJ,501040,1254.0
sOZDJ7q9jaJ,605835,510.0
sOZDJ7q9jaJ,605814,180.0
sOZDJ7q9jaJ,609117,1826.0
sOZDJ7q9jaJ,507622,99.0
sOZDJ7q9jaJ,404442,0.0
sOZDJ7q9jaJ,557734,10.0
sOZDJ7q9jaJ,405557,0.0
sOZDJ7q9jaJ,408747,7.0
sOZDJ7q9jaJ,304811,0.0
sOZDJ7q9jaJ,303543,14.0
sOZDJ7q9jaJ,204677,45.0
sOZDJ7q9jaJ,506485,0.0
sOZDJ7q9jaJ,404717,2178.0
sOZDJ7q9jaJ,603602,0.0
sOZDJ7q9jaJ,501081,4431.0
sOZDJ7q9jaJ,609159,585.0
sOZDJ7q9jaJ,104284,0.0
sOZDJ7q9jaJ,100991,0.0
sOZDJ7q9jaJ,208429,12.0
sOZDJ7q9jaJ,100921,0.0
sOZDJ7q9jaJ,605865,2191.0
sOZDJ7q9jaJ,408743,0.0
sOZDJ7q9jaJ,605880,584.0
sOZDJ7q9jaJ,506460,96.0
sOZDJ7q9jaJ,507056,4.0
sOZDJ7q9jaJ,400114,210.0
sOZDJ7q9jaJ,201233,42.0
sOZDJ7q9jaJ,302962,0.0
sOZDJ7q9jaJ,506469,0.0
sOZDJ7q9jaJ,605874,132.0
sOZDJ7q9jaJ,506475,1045.0
sOZDJ7q9jaJ,305622,0.0
sOZDJ7q9jaJ,204665,130.0
sOZDJ7q9jaJ,609162,1169.0
sOZDJ7q9jaJ,306860,3430.0
sOZDJ7q9jaJ,200373,10.0
sOZDJ7q9jaJ,100428,3640.0
sOZDJ7q9jaJ,507619,0.0
sOZDJ7q9jaJ,508134,0.0
sOZDJ7q9jaJ,100662,75.0
sOZDJ7q9jaJ,404104,0.0
sOZDJ7q9jaJ,100610,0.0
sOZDJ7q9jaJ,503858,0.0
sOZDJ7q9jaJ,203041,1050.0
sOZDJ7q9jaJ,557725,0.0
sOZDJ7q9jaJ,306807,16.0
sOZDJ7q9jaJ,553221,56.0
sOZDJ7q9jaJ,506406,368.0
sOZDJ7q9jaJ,400156,21.0
sOZDJ7q9jaJ,205133,0.0
sOZDJ7q9jaJ,107855,580.0
sOZDJ7q9jaJ,306194,0.0
sOZDJ7q9jaJ,404161,0.0
sOZDJ7q9jaJ,305944,10.0
sOZDJ7q9jaJ,104273,70.0
sOZDJ7q9jaJ,305480,0.0
sOZDJ7q9jaJ,208447,108.0
sOZDJ7q9jaJ,207510,0.0
sOZDJ7q9jaJ,508844,952.0
sOZDJ7q9jaJ,552769,1215.0
sOZDJ7q9jaJ,552743,4.0
sOZDJ7q9jaJ,304892,210.0
sOZDJ7q9jaJ,304833,0.0
sOZDJ7q9jaJ,302903,0.0
sOZDJ7q9jaJ,100925,0.0
sOZDJ7q9jaJ,400134,0.0
sOZDJ7q9jaJ,107876,0.0
sOZDJ7q9jaJ,507672,0.0
sOZDJ7q9jaJ,501085,211.0
sOZDJ7q9jaJ,307247,0.0
sOZDJ7q9jaJ,309357,0.0
sOZDJ7q9jaJ,205165,0.0
sOZDJ7q9jaJ,306120,39.0
sOZDJ7q9jaJ,508182,0.0
sOZDJ7q9jaJ,609127,0.0
sOZDJ7q9jaJ,506428,0.0
sOZDJ7q9jaJ,401831,28.0
sOZDJ7q9jaJ,506479,312.0
sOZDJ7q9jaJ,306864,5217.0
sOZDJ7q9jaJ,400138,0.0
sOZDJ7q9jaJ,303985,2177.0
sOZDJ7q9jaJ,304802,0.0
sOZDJ7q9jaJ,306768,0.0
