Data,Organisation unit,Value
sOZDJ7q9jaJ,2003,96.0
sOZDJ7q9jaJ,3061,74.0
sOZDJ7q9jaJ,2015,368.0
sOZDJ7q9jaJ,3068,12994.0
sOZDJ7q9jaJ,3048,2303.0
sOZDJ7q9jaJ,1079,5208.0
sOZDJ7q9jaJ,2051,0.0
sOZDJ7q9jaJ,3089,26.0
sOZDJ7q9jaJ,1006,10376.0
sOZDJ7q9jaJ,2046,416.0
sOZDJ7q9jaJ,5064,9006.0
sOZDJ7q9jaJ,3072,0.0
sOZDJ7q9jaJ,3059,1698.0
sOZDJ7q9jaJ,2084,171.0
sOZDJ7q9jaJ,5088,5472.0
sOZDJ7q9jaJ,5076,967.0
sOZDJ7q9jaJ,2030,6797.0
sOZDJ7q9jaJ,4044,0.0
sOZDJ7q9jaJ,3082,4114.0
sOZDJ7q9jaJ,3054,456.0
sOZDJ7q9jaJ,6058,7080.0
sOZDJ7q9jaJ,3029,316.0
sOZDJ7q9jaJ,2013,0.0
sOZDJ7q9jaJ,4087,7.0
sOZDJ7q9jaJ,3035,79.0
sOZDJ7q9jaJ,3039,26759.0
sOZDJ7q9jaJ,5070,12.0
sOZDJ7q9jaJ,3067,1254.0
sOZDJ7q9jaJ,6091,9348.0
sOZDJ7q9jaJ,5081,7518.0
sOZDJ7q9jaJ,4041,3628.0
sOZDJ7q9jaJ,4047,8649.0
sOZDJ7q9jaJ,1042,70.0
sOZDJ7q9jaJ,5527,4191.0
sOZDJ7q9jaJ,5549,643.0
sOZDJ7q9jaJ,1078,808.0
sOZDJ7q9jaJ,5038,62.0
sOZDJ7q9jaJ,5577,2956.0
sOZDJ7q9jaJ,4001,3103.0
sOZDJ7q9jaJ,3026,1509.0
sOZDJ7q9jaJ,6036,60.0
sOZDJ7q9jaJ,2022,18.0
sOZDJ7q9jaJ,4055,2412.0
sOZDJ7q9jaJ,5594,240.0
sOZDJ7q9jaJ,3033,0.0
sOZDJ7q9jaJ,5573,5710.0
sOZDJ7q9jaJ,4018,5098.0
sOZDJ7q9jaJ,2012,7276.0
sOZDJ7q9jaJ,6090,2167.0
sOZDJ7q9jaJ,3056,684.0
sOZDJ7q9jaJ,4065,0.0
sOZDJ7q9jaJ,5532,6555.0
sOZDJ7q9jaJ,5010,13988.0
sOZDJ7q9jaJ,4050,6759.0
sOZDJ7q9jaJ,1009,0.0
sOZDJ7q9jaJ,1004,23530.0
sOZDJ7q9jaJ,3086,12.0
sOZDJ7q9jaJ,5585,3415.0
sOZDJ7q9jaJ,5069,5465.0
sOZDJ7q9jaJ,5552,2601.0
sOZDJ7q9jaJ,2075,0.0
sOZDJ7q9jaJ,3093,2578.0
sOZDJ7q9jaJ,2019,209.0
