Data,Organisation unit,Value
CT9YKOwKlG0,609162,0.0
QPfQyp6AnYO,605865,75.0
CT9YKOwKlG0,605874,0.0
KlKOxmG9OpO,609162,5.0
gpJQzatKvmH,605874,0.0
bGDy0AU1R7T,609162,1.0
CT9YKOwKlG0,605865,86.0
SjkQqVK7AJ3,609162,0.0
jxtGrMi58Zx,609153,2.0
bGDy0AU1R7T,605865,13.0
MIr8DwrCZKy,605865,1127.0
fBHP37KRdL2,605865,559.0
Pqu18cHKkED,609162,188.0
tLMYjzDD1iS,605865,84.0
gpJQzatKvmH,605865,1613.0
SjkQqVK7AJ3,605865,129.0
KlKOxmG9OpO,605865,451.0
jxtGrMi58Zx,609162,7.0
fBHP37KRdL2,609162,0.0
fBHP37KRdL2,605874,0.0
jxtGrMi58Zx,605874,0.0
MIr8DwrCZKy,609153,14.0
gpJQzatKvmH,609153,5.0
SjkQqVK7AJ3,605874,0.0
SjkQqVK7AJ3,609153,0.0
Pqu18cHKkED,605865,576.0
gpJQzatKvmH,609162,42.0
Pqu18cHKkED,605874,25.0
jxtGrMi58Zx,605865,955.0
fBHP37KRdL2,609153,0.0
