Data,Organisation unit,Value
cc_CR_Exclusive Breast Feeding,Sylhet District,9.0
Anemia (0-28d to 2-5y),Sylhet District,14.0
cc_CR_Exclusive Breast Feeding,Maulavi Bazar District,736.0
cc_CR_Additional food supplimentation,Sylhet District,47.0
cc_CR_Low WAZ,Maulavi Bazar District,492.0
cc_CR_Low WHZ,Sylhet District,0.0
Counselling  (0-28d to 2-5y),Maulavi Bazar District,286.0
cc_CR_Low WAZ,Sylhet District,0.0
SAM (0-28d to 2-5y),Maulavi Bazar District,33.0
cc_CR_Additional food supplimentation,Maulavi Bazar District,1576.0
Anemia (0-28d to 2-5y),Maulavi Bazar District,732.0
LBW (0-28d to 2-5y),Sylhet District,1.0
cc_CR_Low HAZ,Maulavi Bazar District,92.0
Moderate Acute Malnutrition(MAM) (0-28d to 2-5y),Maulavi Bazar District,18.0
Early initiation of breast feeding(0-28d to 2-5y),Sylhet District,5.0
cc_CR_Low HAZ,Sylhet District,0.0
Counselling  (0-28d to 2-5y),Sylhet District,188.0
LBW (0-28d to 2-5y),Maulavi Bazar District,8.0
Early initiation of breast feeding(0-28d to 2-5y),Maulavi Bazar District,187.0
cc_CR_Low WHZ,Maulavi Bazar District,112.0
