Data,Organisation unit,Value
EPI012,dNLjKwsVjod,1567217.0
EPI008,dNLjKwsVjod,2093776.0
EPI028,dNLjKwsVjod,330378.0
A6sJKceysXy,dNLjKwsVjod,91.0
EPI045,dNLjKwsVjod,1541.0
EPI025,dNLjKwsVjod,3764271.0
qMZseedjTs2,dNLjKwsVjod,2394.0
CVWtvuChnN4,dNLjKwsVjod,3643129.0
EPI046,dNLjKwsVjod,2501.0
GoIHz80UERt,dNLjKwsVjod,4282894.0
EPI051,dNLjKwsVjod,2924328.0
HCGy8hSQrrn,dNLjKwsVjod,3712602.0
EPI004,dNLjKwsVjod,392133.0
EPI048,dNLjKwsVjod,4161.0
sheiuFeL5re,dNLjKwsVjod,2334.0
EPI005,dNLjKwsVjod,539624.0
EPI018,dNLjKwsVjod,3840280.0
EPI003,dNLjKwsVjod,415600.0
EPI016,dNLjKwsVjod,46195.0
EPI014,dNLjKwsVjod,1454163.0
OS8FHo7DST0,dNLjKwsVjod,3813284.6
foSKZmdiKvO,dNLjKwsVjod,3289.0
EPI015,dNLjKwsVjod,454361.0
aO26dRReDw1,dNLjKwsVjod,16993.0
EPI030,dNLjKwsVjod,3745495.0
EPI006,dNLjKwsVjod,1662413.0
EPI029,dNLjKwsVjod,3788442.0
EPI013,dNLjKwsVjod,1558175.0
EPI043,dNLjKwsVjod,4599.0
EPI042,dNLjKwsVjod,8722.0
EPI001,dNLjKwsVjod,551098.0
EPI007,dNLjKwsVjod,1767110.0
Pyz7rlAmMZ4,dNLjKwsVjod,3685265.0
EPI010,dNLjKwsVjod,2108296.0
EPI009,dNLjKwsVjod,2119916.0
EPI026,dNLjKwsVjod,3712120.0
nNTNsd237Zf,dNLjKwsVjod,2922258.0
izqdLEayxtk,dNLjKwsVjod,3780722.0
WMO4fDbBBsN,dNLjKwsVjod,3739458.0
HDzRDBWv2O5,dNLjKwsVjod,3769657.0
EPI002,dNLjKwsVjod,551863.0
EPI047,dNLjKwsVjod,1884.0
cqtZ9bBPXyp,dNLjKwsVjod,1240.0
EPI031,dNLjKwsVjod,3723345.0
y18L7Mx36gU,dNLjKwsVjod,4201.0
RYtOwMY20z9,dNLjKwsVjod,3735611.0
EPI011,dNLjKwsVjod,1959652.0
