Data,Organisation unit,Value
EPI012,dNLjKwsVjod,2630899.0
EPI008,dNLjKwsVjod,3689809.0
EPI028,dNLjKwsVjod,677883.0
A6sJKceysXy,dNLjKwsVjod,91.0
EPI045,dNLjKwsVjod,41732.0
EPI025,dNLjKwsVjod,6321779.0
qMZseedjTs2,dNLjKwsVjod,2394.0
CVWtvuChnN4,dNLjKwsVjod,3643129.0
EPI046,dNLjKwsVjod,50741.0
GoIHz80UERt,dNLjKwsVjod,4282894.0
EPI051,dNLjKwsVjod,4845744.0
HCGy8hSQrrn,dNLjKwsVjod,3712506.0
EPI004,dNLjKwsVjod,651823.0
EPI048,dNLjKwsVjod,58209.0
sheiuFeL5re,dNLjKwsVjod,2334.0
EPI005,dNLjKwsVjod,872869.0
EPI018,dNLjKwsVjod,6412205.0
EPI003,dNLjKwsVjod,695510.0
EPI016,dNLjKwsVjod,98935.0
EPI014,dNLjKwsVjod,2451179.0
OS8FHo7DST0,dNLjKwsVjod,7663769.5
foSKZmdiKvO,dNLjKwsVjod,3289.0
EPI015,dNLjKwsVjod,830107.0
aO26dRReDw1,dNLjKwsVjod,16993.0
EPI030,dNLjKwsVjod,6223198.0
EPI006,dNLjKwsVjod,2807110.0
EPI029,dNLjKwsVjod,6299682.0
EPI013,dNLjKwsVjod,2584133.0
EPI043,dNLjKwsVjod,51111.0
EPI042,dNLjKwsVjod,55707.0
EPI001,dNLjKwsVjod,916481.0
EPI007,dNLjKwsVjod,3038668.0
Pyz7rlAmMZ4,dNLjKwsVjod,3685151.0
EPI010,dNLjKwsVjod,3897582.0
EPI009,dNLjKwsVjod,3711200.0
EPI026,dNLjKwsVjod,6208868.0
nNTNsd237Zf,dNLjKwsVjod,2922258.0
izqdLEayxtk,dNLjKwsVjod,3780659.0
WMO4fDbBBsN,dNLjKwsVjod,3739458.0
HDzRDBWv2O5,dNLjKwsVjod,3769657.0
EPI002,dNLjKwsVjod,923436.0
EPI047,dNLjKwsVjod,51742.0
cqtZ9bBPXyp,dNLjKwsVjod,1240.0
EPI031,dNLjKwsVjod,6202843.0
y18L7Mx36gU,dNLjKwsVjod,4201.0
RYtOwMY20z9,dNLjKwsVjod,3735496.0
EPI011,dNLjKwsVjod,3719545.0
