Data,Organisation unit,Value
EPI Session Planned,Bangladesh,2630899.0
TT3 dose (15-49y women),Bangladesh,3689809.0
OPV 0 given (0-11m),Bangladesh,677883.0
IPV given 12-23m,Bangladesh,91.0
OPV 1 given (12-23m),Bangladesh,41732.0
Penta 1 given (0-11m),Bangladesh,6321779.0
Penta 3 given 12-23m,Bangladesh,2394.0
MR given 15-18m,Bangladesh,3643129.0
OPV 2 given (12-23m),Bangladesh,50741.0
MR given 0-11m,Bangladesh,4282894.0
EPI Birth Registration done,Bangladesh,4845744.0
PCV3 given 0-11m,Bangladesh,3712506.0
TT4 dose pregnant women,Bangladesh,651823.0
OPV 4 given (12-23m),Bangladesh,58209.0
PCV3 given 12-23m,Bangladesh,2334.0
TT5 dose pregnant women,Bangladesh,872869.0
BCG given (0-11m),Bangladesh,6412205.0
TT3 dose pregnant women,Bangladesh,695510.0
EPI Gavi_Vol,Bangladesh,98935.0
EPI HA,Bangladesh,2451179.0
EPI Infant Monthly Target,Bangladesh,7663769.5
PCV2 given 12-23m,Bangladesh,3289.0
EPI FWA,Bangladesh,830107.0
EPI U1 Death,Bangladesh,16993.0
OPV 2 given (0-11m),Bangladesh,6223198.0
TT1 dose (15-49y women),Bangladesh,2807110.0
OPV 1 given (0-11),Bangladesh,6299682.0
EPI Session Held,Bangladesh,2584133.0
Penta 2 given (12-23m),Bangladesh,51111.0
Penta 1 given (12-23m),Bangladesh,55707.0
TT1 dose pregnant women,Bangladesh,916481.0
TT2 dose (15-49y women),Bangladesh,3038668.0
Penta 3 given 0-11m,Bangladesh,3685151.0
TT5 dose (15-49y women),Bangladesh,3897582.0
TT4 dose (15-49y women),Bangladesh,3711200.0
Penta 2 given (0-11m),Bangladesh,6208868.0
fIPV2 given (0-11m),Bangladesh,2922258.0
PCV1 given 0-11m,Bangladesh,3780659.0
Fully Immunized Child,Bangladesh,3739458.0
fIPV1 given (0-11m),Bangladesh,3769657.0
TT2 dose pregnant women,Bangladesh,923436.0
OPV 3 given (12-23m),Bangladesh,51742.0
IPV given 0-11m,Bangladesh,1240.0
OPV 3 given (0-11m),Bangladesh,6202843.0
PCV1 given 12-23m,Bangladesh,4201.0
PCV2 given 0-11m,Bangladesh,3735496.0
EPI Women Given Vitamin A Dose,Bangladesh,3719545.0
