Data,Organisation unit,Value
Penta 2 given (0-11m),Chapai Nababganj District,74572.0
TT4 dose (15-49y women),Khagrachhari District,35766.0
Fully Immunized Child,Sylhet District,96962.0
PCV2 given 12-23m,Netrokona District,9.0
OPV 2 given (0-11m),Thakurgaon District,50613.0
EPI Session Held,Faridpur District,48344.0
TT5 dose pregnant women,Tangail District,14280.0
TT2 dose (15-49y women),Netrokona District,53699.0
EPI Birth Registration done,Pirojpur District,41812.0
EPI FWA,Chandpur District,28049.0
OPV 0 given (0-11m),Chapai Nababganj District,1027.0
EPI FWA,Satkhira District,19458.0
OPV 2 given (12-23m),Madaripur District,0.0
Penta 1 given (0-11m),Sirajganj District,161829.0
OPV 1 given (12-23m),Dinajpur District,0.0
OPV 4 given (12-23m),Brahmanbaria District,3.0
TT1 dose pregnant women,Chapai Nababganj District,5067.0
OPV 2 given (0-11m),Barguna District,43957.0
EPI Gavi_Vol,Kishoreganj District,14.0
OPV 1 given (0-11),Brahmanbaria District,167657.0
TT4 dose (15-49y women),Rangamati District,29462.0
OPV 3 given (0-11m),Pirojpur District,47804.0
TT2 dose (15-49y women),Maulavi Bazar District,39235.0
TT3 dose (15-49y women),Panchagarh District,25730.0
Fully Immunized Child,Narail District,15345.0
EPI Birth Registration done,Natore District,56995.0
TT2 dose pregnant women,Tangail District,11311.0
MR given 0-11m,Natore District,37078.0
OPV 1 given (12-23m),Noakhali District,0.0
OPV 2 given (12-23m),Magura District,0.0
OPV 1 given (0-11),Rajshahi District,139996.0
TT4 dose pregnant women,Panchagarh District,3323.0
EPI Infant Monthly Target,Pirojpur District,51609.0
Penta 1 given (0-11m),Gazipur District,202689.0
Penta 1 given (12-23m),Natore District,0.0
OPV 3 given (0-11m),Natore District,64665.0
Penta 1 given (0-11m),Manikganj District,58424.0
Fully Immunized Child,Mymensingh District,138191.0
PCV2 given 12-23m,Maulavi Bazar District,1.0
BCG given (0-11m),Gaibandha District,96591.0
EPI U1 Death,Barguna District,105.0
EPI HA,Jhalokati District,13473.0
OPV 1 given (12-23m),Cumilla District,5629.0
IPV given 0-11m,Jashore District,580.0
OPV 1 given (0-11),Rangamati District,29712.0
EPI Gavi_Vol,Narayanganj District,125.0
PCV1 given 0-11m,Lalmonirhat District,31456.0
EPI HA,Magura District,20553.0
EPI U1 Death,Thakurgaon District,93.0
OPV 1 given (12-23m),Shariatpur District,0.0
TT4 dose (15-49y women),Rajshahi District,67048.0
EPI Infant Monthly Target,Joypurhat District,34121.0
OPV 2 given (12-23m),Jhalokati District,4567.0
Penta 1 given (12-23m),Pirojpur District,126.0
PCV1 given 12-23m,Narshingdi District,1566.0
OPV 4 given (12-23m),Habiganj District,958.0
TT2 dose (15-49y women),Patuakhali District,38900.0
Fully Immunized Child,Tangail District,78405.0
TT5 dose pregnant women,Sylhet District,10917.0
EPI Session Held,Chattogram District,119024.0
TT3 dose pregnant women,Jashore District,22632.0
PCV2 given 0-11m,Chandpur District,67414.0
OPV 4 given (12-23m),Rangamati District,276.0
OPV 1 given (0-11),Khagrachhari District,35421.0
OPV 1 given (0-11),Habiganj District,114368.0
fIPV1 given (0-11m),Narayanganj District,73731.0
OPV 4 given (12-23m),Khagrachhari District,0.0
MR given 15-18m,Narail District,15050.0
OPV 3 given (0-11m),Jamalpur District,109152.0
PCV3 given 0-11m,Panchagarh District,24776.0
EPI Session Held,Dhaka District,100637.0
EPI Birth Registration done,Jamalpur District,88177.0
Penta 1 given (0-11m),Cumilla District,360837.0
MR given 0-11m,Gaibandha District,58769.0
TT3 dose (15-49y women),Munshiganj District,36491.0
EPI Gavi_Vol,Chattogram District,827.0
EPI U1 Death,Tangail District,585.0
Penta 1 given (12-23m),Jamalpur District,16.0
EPI Gavi_Vol,Bandarban District,3356.0
TT2 dose (15-49y women),Gaibandha District,49687.0
PCV1 given 0-11m,Barishal District,64716.0
Fully Immunized Child,Kurigram District,57586.0
MR given 0-11m,Jamalpur District,58400.0
EPI HA,Jhenaidaha District,33450.0
TT5 dose pregnant women,Mymensingh District,34517.0
TT2 dose pregnant women,Barguna District,10864.0
fIPV1 given (0-11m),Brahmanbaria District,88645.0
OPV 0 given (0-11m),Patuakhali District,10635.0
Penta 1 given (12-23m),Gaibandha District,0.0
OPV 3 given (12-23m),Rangamati District,173.0
PCV2 given 0-11m,Manikganj District,34911.0
TT3 dose pregnant women,Bhola District,17633.0
TT4 dose (15-49y women),Brahmanbaria District,102429.0
fIPV1 given (0-11m),Kishoreganj District,96498.0
BCG given (0-11m),Gopalganj District,63606.0
EPI Women Given Vitamin A Dose,Panchagarh District,23691.0
BCG given (0-11m),Netrokona District,116555.0
MR given 0-11m,Pirojpur District,25464.0
TT4 dose pregnant women,Munshiganj District,3344.0
