Data,Organisation unit,Value
EPI042,306864,0.0
EPI025,309347,20549.0
EPI013,201909,10199.0
EPI042,100409,0.0
HCGy8hSQrrn,553224,8577.0
EPI002,201981,10946.0
EPI015,308967,462.0
EPI011,400108,7028.0
EPI015,405760,1237.0
CVWtvuChnN4,100428,5023.0
izqdLEayxtk,506963,7368.0
CVWtvuChnN4,100632,4206.0
EPI004,309325,444.0
CVWtvuChnN4,201981,18909.0
Pyz7rlAmMZ4,506485,3467.0
EPI030,605835,7321.0
EPI004,201974,1813.0
EPI045,605865,0.0
EPI002,100428,1587.0
Pyz7rlAmMZ4,304845,8415.0
EPI002,100632,979.0
EPI014,302910,7492.0
EPI042,302918,0.0
EPI004,107852,1172.0
EPI042,554961,0.0
HDzRDBWv2O5,609092,7126.0
EPI030,303591,5083.0
EPI031,503858,5804.0
EPI008,309325,6449.0
EPI031,554906,10882.0
EPI008,201974,10139.0
EPI047,404717,0.0
EPI014,305454,8766.0
izqdLEayxtk,208475,1037.0
EPI009,303929,12024.0
EPI047,306876,0.0
EPI001,107855,944.0
EPI005,201518,2454.0
nNTNsd237Zf,507018,1984.0
EPI026,201574,13337.0
EPI051,302918,10355.0
HDzRDBWv2O5,201345,9171.0
HDzRDBWv2O5,207587,15807.0
EPI007,308636,3681.0
EPI051,554961,7538.0
nNTNsd237Zf,107895,4682.0
qMZseedjTs2,201322,1.0
EPI029,303929,17815.0
EPI002,506991,1926.0
EPI008,303961,8496.0
EPI018,400114,5816.0
EPI015,553221,252.0
EPI031,207510,16212.0
EPI009,207547,4101.0
EPI011,201553,18381.0
EPI010,609023,12995.0
EPI028,201574,802.0
EPI004,508878,2522.0
GoIHz80UERt,405747,5996.0
EPI043,201233,0.0
EPI026,400173,5438.0
EPI002,507683,3162.0
EPI047,552743,0.0
EPI048,609120,249.0
EPI006,207507,10417.0
EPI026,205143,37714.0
EPI051,306864,26432.0
EPI051,100409,13527.0
EPI005,303915,3132.0
EPI010,308669,4176.0
EPI048,100607,0.0
HCGy8hSQrrn,609023,11048.0
EPI008,201358,11218.0
EPI031,559486,5804.0
EPI018,508131,5914.0
EPI029,305984,11697.0
HDzRDBWv2O5,558527,6229.0
WMO4fDbBBsN,557385,3025.0
EPI048,308990,0.0
EPI048,408790,0.0
aO26dRReDw1,554908,0.0
EPI008,305974,7222.0
EPI042,507605,0.0
EPI042,304827,0.0
EPI014,305480,7155.0
GoIHz80UERt,309376,6776.0
EPI028,306768,3499.0
EPI004,303961,806.0
EPI007,404764,227.0
EPI026,306768,20836.0
EPI029,207547,10898.0
EPI048,302662,0.0
GoIHz80UERt,202245,3666.0
WMO4fDbBBsN,557336,7857.0
EPI018,401823,8702.0
EPI031,400177,5162.0
EPI025,404161,14706.0
HDzRDBWv2O5,609108,8312.0
HCGy8hSQrrn,308669,3842.0
EPI009,305984,7126.0
WMO4fDbBBsN,555202,5425.0
izqdLEayxtk,557734,5528.0
EPI045,305440,0.0
EPI048,201294,0.0
EPI010,303543,29112.0
EPI008,307256,5299.0
EPI004,305974,563.0
EPI043,507672,43.0
CVWtvuChnN4,303334,6060.0
WMO4fDbBBsN,308229,2887.0
aO26dRReDw1,201512,10.0
CVWtvuChnN4,506991,7651.0
EPI010,553224,9529.0
EPI029,558576,16336.0
EPI008,107852,4220.0
EPI008,508878,14857.0
EPI001,303936,1175.0
EPI006,201909,8813.0
EPI007,204661,2137.0
EPI018,603626,14997.0
EPI051,308665,71018.0
OS8FHo7DST0,201547,18180.0
EPI051,307283,16452.0
EPI028,501033,1752.0
EPI028,400173,0.0
EPI043,305610,0.0
OS8FHo7DST0,100602,3450.0
izqdLEayxtk,304876,4174.0
EPI001,303543,3096.0
EPI011,405566,10508.0
WMO4fDbBBsN,201570,10747.0
HCGy8hSQrrn,506428,3268.0
EPI006,200351,3549.0
EPI002,609032,2528.0
EPI007,501067,3222.0
nNTNsd237Zf,400138,1873.0
EPI013,207507,10085.0
EPI025,506475,9867.0
EPI016,304833,0.0
EPI042,308665,0.0
EPI029,557790,6636.0
HDzRDBWv2O5,506941,5306.0
EPI004,201358,2841.0
EPI047,107866,0.0
EPI018,204649,3297.0
EPI051,304827,5556.0
EPI042,307283,0.0
HCGy8hSQrrn,201931,14010.0
EPI010,303936,13997.0
EPI005,304845,1455.0
EPI001,557364,1117.0
EPI030,308229,5773.0
EPI031,554952,9243.0
GoIHz80UERt,603611,10179.0
EPI025,201936,35263.0
EPI013,304833,5184.0
EPI008,100447,6342.0
HCGy8hSQrrn,104243,2713.0
CVWtvuChnN4,305994,4553.0
EPI012,306807,4704.0
izqdLEayxtk,104273,4056.0
Pyz7rlAmMZ4,553230,9758.0
GoIHz80UERt,508172,6251.0
EPI028,406552,85.0
EPI029,205133,14227.0
EPI046,107838,0.0
EPI006,303591,2366.0
CVWtvuChnN4,100965,2882.0
EPI043,204667,0.0
EPI029,404109,8006.0
EPI012,553221,2417.0
EPI026,406552,10533.0
EPI001,200314,242.0
EPI016,207507,1890.0
EPI009,557790,2305.0
EPI002,554977,984.0
EPI048,609127,0.0
EPI014,302921,1772.0
EPI003,306864,1715.0
aO26dRReDw1,557315,0.0
EPI007,204665,1804.0
EPI013,201918,5340.0
OS8FHo7DST0,555270,6467.0
EPI031,208421,2313.0
EPI042,200314,0.0
EPI009,558576,11960.0
EPI025,552730,13078.0
nNTNsd237Zf,100921,2213.0
Pyz7rlAmMZ4,508827,4292.0
EPI051,200314,2517.0
EPI030,557336,16165.0
aO26dRReDw1,552738,35.0
EPI011,100651,9239.0
EPI001,609023,4795.0
EPI002,207585,5560.0
EPI026,306852,16366.0
EPI051,507605,7545.0
EPI016,201909,1481.0
EPI026,553267,11618.0
EPI004,553230,1314.0
EPI045,506479,0.0
EPI016,201533,0.0
EPI001,306863,1029.0
EPI045,404471,0.0
EPI010,555239,10994.0
EPI031,309395,15826.0
EPI006,308229,2300.0
EPI025,208478,1265.0
EPI043,558592,0.0
EPI031,404433,9440.0
EPI047,201322,1.0
EPI030,201909,25475.0
EPI046,503861,0.0
EPI029,609086,7116.0
HDzRDBWv2O5,306165,10237.0
EPI030,202216,26898.0
OS8FHo7DST0,506486,6969.0
EPI005,508827,821.0
EPI002,508134,1246.0
EPI025,309328,16579.0
EPI001,558558,4178.0
EPI012,603671,6917.0
EPI014,506403,4659.0
EPI031,508125,54867.0
EPI045,201263,0.0
EPI008,305628,3360.0
EPI043,408725,0.0
EPI025,201582,11003.0
EPI006,408782,6389.0
EPI007,201347,3473.0
HDzRDBWv2O5,552756,4180.0
EPI004,552747,156.0
aO26dRReDw1,201537,25.0
nNTNsd237Zf,404147,10421.0
EPI005,552747,235.0
EPI012,104240,2880.0
EPI012,405760,2578.0
EPI028,30-26-72,6997.0
EPI026,501033,7305.0
EPI011,204667,3651.0
EPI048,603677,0.0
EPI046,207547,229.0
EPI047,507037,0.0
OS8FHo7DST0,204665,3007.0
EPI045,304806,0.0
HDzRDBWv2O5,207521,10226.0
EPI016,306122,0.0
Pyz7rlAmMZ4,201518,7674.0
EPI016,609033,0.0
EPI015,202266,538.0
EPI001,555239,2347.0
EPI006,201918,9363.0
EPI007,501094,6554.0
izqdLEayxtk,507066,9808.0
EPI026,304811,11385.0
Pyz7rlAmMZ4,303336,7689.0
HDzRDBWv2O5,508112,6617.0
EPI015,306807,750.0
EPI048,306152,0.0
EPI001,308669,148.0
EPI013,200351,3506.0
Pyz7rlAmMZ4,552747,2098.0
EPI042,107855,10.0
GoIHz80UERt,507672,9900.0
OS8FHo7DST0,208436,3093.0
HCGy8hSQrrn,303936,10795.0
EPI045,307240,0.0
EPI003,304827,721.0
RYtOwMY20z9,202256,5715.0
EPI029,552760,8731.0
EPI028,205143,5448.0
EPI011,100669,6461.0
EPI003,308665,355.0
OS8FHo7DST0,559482,12252.0
aO26dRReDw1,305670,23.0
EPI004,201518,1532.0
CVWtvuChnN4,609032,6954.0
EPI005,553230,1409.0
EPI003,307283,1056.0
Pyz7rlAmMZ4,508878,10170.0
GoIHz80UERt,308247,3599.0
EPI013,553291,4612.0
EPI045,609117,0.0
WMO4fDbBBsN,202216,14471.0
EPI009,405094,8641.0
WMO4fDbBBsN,605835,3449.0
CVWtvuChnN4,401807,5467.0
EPI045,501085,0.0
EPI003,302918,1138.0
EPI005,303336,1899.0
EPI009,508850,12560.0
Pyz7rlAmMZ4,304859,3861.0
EPI005,304859,786.0
EPI011,558592,5037.0
EPI025,309357,10756.0
EPI018,553288,16153.0
EPI046,303929,0.0
GoIHz80UERt,400158,1655.0
EPI007,404794,491.0
EPI009,107838,14449.0
EPI028,201927,197.0
EPI005,508878,4143.0
EPI016,307209,0.0
nNTNsd237Zf,205158,6499.0
nNTNsd237Zf,609092,4758.0
EPI051,107855,3368.0
EPI013,202216,10593.0
EPI001,302918,1313.0
WMO4fDbBBsN,609141,11257.0
EPI010,557315,8295.0
HCGy8hSQrrn,555239,6187.0
EPI025,309395,15890.0
Pyz7rlAmMZ4,107852,3399.0
EPI009,404480,11192.0
WMO4fDbBBsN,207507,16456.0
EPI013,306122,8633.0
EPI043,405566,0.0
EPI046,305440,0.0
RYtOwMY20z9,107866,6387.0
EPI015,104240,1102.0
EPI016,554909,83.0
EPI012,201933,3829.0
EPI048,401831,0.0
EPI029,201940,32968.0
Pyz7rlAmMZ4,201974,7497.0
aO26dRReDw1,508867,38.0
EPI008,203029,10146.0
EPI048,552712,0.0
EPI013,557385,2880.0
EPI010,107876,4808.0
EPI008,507616,6459.0
EPI029,107857,19002.0
aO26dRReDw1,201290,124.0
EPI004,201379,750.0
CVWtvuChnN4,107980,2311.0
HDzRDBWv2O5,302921,2080.0
EPI048,501040,523.0
EPI013,609033,3456.0
EPI014,30-72-18,6347.0
izqdLEayxtk,501006,3857.0
HCGy8hSQrrn,201537,10465.0
EPI004,304845,907.0
EPI030,605874,9641.0
EPI001,554961,3681.0
EPI001,553224,2079.0
EPI013,303591,1780.0
HDzRDBWv2O5,404138,5926.0
EPI006,201570,11470.0
EPI008,304849,8711.0
EPI029,503861,4588.0
EPI028,304811,327.0
EPI001,201349,2008.0
EPI018,100991,7760.0
EPI006,303551,4512.0
EPI005,554979,2750.0
EPI030,555202,9664.0
EPI003,557364,965.0
EPI005,309325,590.0
EPI016,306172,121.0
OS8FHo7DST0,204661,1835.0
EPI007,408786,6101.0
EPI015,400134,2256.0
CVWtvuChnN4,506915,5733.0
EPI012,557725,4888.0
EPI030,609047,6427.0
EPI007,100602,2036.0
Pyz7rlAmMZ4,201358,10666.0
EPI010,558558,14776.0
CVWtvuChnN4,508134,6959.0
EPI051,558558,16723.0
EPI008,307238,1183.0
EPI015,304892,261.0
EPI011,404419,12268.0
EPI006,202216,12532.0
EPI015,201933,1672.0
EPI008,303915,7172.0
EPI025,306194,24006.0
EPI047,603605,0.0
EPI048,404775,0.0
EPI042,307263,0.0
EPI006,304833,4785.0
GoIHz80UERt,305440,6422.0
EPI002,200391,1050.0
WMO4fDbBBsN,605874,5299.0
EPI045,309376,0.0
EPI029,557704,5684.0
izqdLEayxtk,406552,5241.0
HCGy8hSQrrn,308937,3923.0
Pyz7rlAmMZ4,303961,7137.0
EPI013,201570,8472.0
EPI018,605883,13360.0
EPI045,202245,0.0
EPI029,404480,17107.0
nNTNsd237Zf,207583,6553.0
EPI008,553230,10071.0
EPI031,305924,7289.0
EPI012,507088,9120.0
WMO4fDbBBsN,609047,5865.0
EPI003,100409,3133.0
HDzRDBWv2O5,305454,6441.0
EPI018,603602,5643.0
HDzRDBWv2O5,302910,7467.0
Pyz7rlAmMZ4,305628,3373.0
aO26dRReDw1,507633,17.0
EPI010,306863,5442.0
WMO4fDbBBsN,306120,12502.0
EPI007,305487,11070.0
EPI051,306863,11086.0
EPI007,208436,2326.0
EPI010,104243,2330.0
EPI025,208421,2354.0
EPI046,305984,0.0
EPI016,100929,432.0
EPI025,559486,5944.0
EPI005,201508,6120.0
EPI011,609159,4354.0
EPI010,308665,6333.0
EPI010,302638,12319.0
EPI011,201233,3501.0
EPI026,30-26-72,43784.0
EPI030,207507,32636.0
EPI012,202266,6747.0
EPI016,308229,192.0
HDzRDBWv2O5,305480,4759.0
EPI002,401807,1178.0
EPI014,207587,5865.0
EPI046,404109,0.0
EPI014,100925,10939.0
aO26dRReDw1,104243,16.0
EPI042,306863,0.0
OS8FHo7DST0,201347,5370.0
OS8FHo7DST0,308636,7420.0
EPI051,307263,7435.0
OS8FHo7DST0,501020,6900.0
CVWtvuChnN4,400156,2908.0
EPI026,605880,10741.0
EPI042,558558,0.0
izqdLEayxtk,30-26-72,32196.0
RYtOwMY20z9,404717,2449.0
EPI011,404104,4041.0
OS8FHo7DST0,203014,15876.0
