Data,Organisation unit,Value
EPI Session Planned,Bangladesh,2821781.0
TT3 dose (15-49y women),Bangladesh,3765549.0
OPV 0 given (0-11m),Bangladesh,727908.0
IPV given 12-23m,Bangladesh,91.0
OPV 1 given (12-23m),Bangladesh,65036.0
Penta 1 given (0-11m),Bangladesh,6802180.0
Penta 3 given 12-23m,Bangladesh,2394.0
MR given 15-18m,Bangladesh,3656161.0
OPV 2 given (12-23m),Bangladesh,66340.0
MR given 0-11m,Bangladesh,4300566.0
EPI Birth Registration done,Bangladesh,5351491.3
PCV3 given 0-11m,Bangladesh,3720733.0
TT4 dose pregnant women,Bangladesh,680705.0
OPV 4 given (12-23m),Bangladesh,77821.0
PCV3 given 12-23m,Bangladesh,2334.0
TT5 dose pregnant women,Bangladesh,919194.0
BCG given (0-11m),Bangladesh,6889572.0
TT3 dose pregnant women,Bangladesh,716366.0
EPI Gavi_Vol,Bangladesh,108446.0
EPI HA,Bangladesh,2645758.0
EPI Infant Monthly Target,Bangladesh,8975127.1
PCV2 given 12-23m,Bangladesh,3870.0
EPI FWA,Bangladesh,929125.0
EPI U1 Death,Bangladesh,16993.0
OPV 2 given (0-11m),Bangladesh,6693007.0
TT1 dose (15-49y women),Bangladesh,2927717.0
OPV 1 given (0-11),Bangladesh,6756317.0
EPI Session Held,Bangladesh,2774611.0
Penta 2 given (12-23m),Bangladesh,63463.0
Penta 1 given (12-23m),Bangladesh,68074.0
TT1 dose pregnant women,Bangladesh,1021344.0
TT2 dose (15-49y women),Bangladesh,3153797.2
Penta 3 given 0-11m,Bangladesh,3734548.0
TT5 dose (15-49y women),Bangladesh,3836733.0
TT4 dose (15-49y women),Bangladesh,3862661.0
Penta 2 given (0-11m),Bangladesh,6665497.0
fIPV2 given (0-11m),Bangladesh,2922258.0
PCV1 given 0-11m,Bangladesh,3789800.0
Fully Immunized Child,Bangladesh,3758701.0
fIPV1 given (0-11m),Bangladesh,3769657.0
TT2 dose pregnant women,Bangladesh,990044.0
OPV 3 given (12-23m),Bangladesh,65547.0
IPV given 0-11m,Bangladesh,6803.0
OPV 3 given (0-11m),Bangladesh,6657750.0
PCV1 given 12-23m,Bangladesh,4201.0
PCV2 given 0-11m,Bangladesh,3744244.0
EPI Women Given Vitamin A Dose,Bangladesh,4045836.0
