Data,Organisation unit,Value
Penta 1 given (12-23m),Raipura Upazila,0.0
Penta 1 given (0-11m),Kalihati Upazila,20592.0
EPI Session Held,Barura Upazila,10399.0
Penta 1 given (12-23m),Amtali Upazila,0.0
PCV3 given 0-11m,Gaibandha Sadar Upazila,8577.0
TT2 dose pregnant women,Muradnagar Upazila,10909.0
EPI FWA,Nakla Upazila,1414.0
EPI Women Given Vitamin A Dose,Bagerhat Sadar Upazila,6198.0
EPI FWA,Mujibnagar Upazila,1015.0
MR given 15-18m,Barguna Sadar Upazila,5023.0
PCV1 given 0-11m,Natore Sadar Upazila,7368.0
MR given 15-18m,Gournadi Upazila,4206.0
TT4 dose pregnant women,Dhanbari Upzila,411.0
MR given 15-18m,Muradnagar Upazila,20441.0
Penta 3 given 0-11m,Rani Nagar Upazila,3857.0
OPV 2 given (0-11m),Juri Upazila,7338.0
TT4 dose pregnant women,Manoharganj Upazila,1879.0
OPV 1 given (12-23m),Kulaura Upazila,0.0
TT2 dose pregnant women,Barguna Sadar Upazila,1548.0
Penta 3 given 0-11m,Katiadi Upazila,9145.0
TT2 dose pregnant women,Gournadi Upazila,665.0
EPI HA,Bhanga Upazila,7489.0
Penta 1 given (12-23m),Boalmari Upazila,0.0
TT4 dose pregnant women,Dashmina Upazila,1202.0
Penta 1 given (12-23m),Kurigram Sadar Upazila,0.0
fIPV1 given (0-11m),Tahirpur Upazila,7126.0
OPV 2 given (0-11m),Tungipara Upazila,6726.0
OPV 3 given (0-11m),Kalai Upazila,5554.0
TT3 dose (15-49y women),Dhanbari Upzila,5832.0
OPV 3 given (0-11m),Bhurungamari Upazila,10686.0
TT3 dose (15-49y women),Manoharganj Upazila,10030.0
OPV 3 given (12-23m),Dacope Upazila,0.0
EPI HA,Madaripur Sadar Upazila,8280.0
PCV1 given 0-11m,Naniarchar Upazila,1105.0
TT4 dose (15-49y women),Islampur Upazila,12166.0
OPV 3 given (12-23m),Shibpur Upazila,0.0
TT1 dose pregnant women,Dumki Upazila,820.0
TT5 dose pregnant women,Chandanaish Upazila,2848.0
fIPV2 given (0-11m),Bholahat Upazila,1984.0
Penta 2 given (0-11m),Raozan Upazila,10057.0
EPI Birth Registration done,Boalmari Upazila,10729.0
fIPV1 given (0-11m),Faridganj Upazila,9171.0
fIPV1 given (0-11m),Noakhali Sadar Upazila,15807.0
TT2 dose (15-49y women),Gosairhat Upazila,3766.0
EPI Birth Registration done,Kurigram Sadar Upazila,8092.0
OPV 3 given (12-23m),Singair Upazila,0.0
fIPV2 given (0-11m),Patuakhali Sadar Upazila,4682.0
Penta 3 given 12-23m,Chandpur Sadar Upazila,1.0
OPV 1 given (0-11),Islampur Upazila,17863.0
TT2 dose pregnant women,Singra Upazila,2000.0
TT3 dose (15-49y women),Melandaha Upazila,8765.0
BCG given (0-11m),Chitalmari Upazila,5920.0
EPI FWA,Fulchhari Upazila,748.0
OPV 3 given (0-11m),Chatkhil Upazila,16298.0
TT4 dose (15-49y women),Kabirhat Upazila,4164.0
EPI Women Given Vitamin A Dose,Mirsharai Upazila,15548.0
TT5 dose (15-49y women),Chhatak Upazila,13198.0
OPV 0 given (0-11m),Raozan Upazila,649.0
TT4 dose pregnant women,Sirajganj Sadar Upazila,2733.0
MR given 0-11m,Gangni Upazila,6523.0
Penta 2 given (12-23m),Ashuganj Upazila,0.0
Penta 2 given (0-11m),Rampal Upazila,5563.0
TT2 dose pregnant women,Sujanagar Upazila,2528.0
OPV 3 given (12-23m),Ghoraghat Upazila,0.0
IPV given 0-11m,Debiganj Upazila,499.0
OPV 4 given (12-23m),Biswanath Upazila,249.0
TT1 dose (15-49y women),Begumganj Upazila,14578.0
Penta 2 given (0-11m),Lakshmipur Sadar Upazilla,37696.0
EPI Birth Registration done,Raipura Upazila,27122.0
EPI Birth Registration done,Amtali Upazila,13487.0
TT5 dose pregnant women,Dewanganj Upazila,3039.0
TT5 dose (15-49y women),Shariatpur Sadar Upazila,4553.0
OPV 4 given (12-23m),Bakerganj Upazila,0.0
PCV3 given 0-11m,Chhatak Upazila,13806.0
TT3 dose (15-49y women),Kachua CP Upazila,11776.0
OPV 3 given (0-11m),Ranisankail Upazila,10783.0
BCG given (0-11m),Durgapur Upazila,5895.0
OPV 1 given (0-11),Sreenagar Upazila,12950.0
fIPV1 given (0-11m),Gangachara Upazila,6229.0
Fully Immunized Child,Saidpur Upazila,3283.0
OPV 4 given (12-23m),Sreebardi Upazila,0.0
OPV 4 given (12-23m),Tala Upazila,0.0
EPI U1 Death,Char Rajibpur Upazila,0.0
TT3 dose (15-49y women),Serajdikhan Upazila,7577.0
Penta 1 given (12-23m),Atgharia Upazila,0.0
