Data,Organisation unit,Value
EPI012,dNLjKwsVjod,3116425.0
EPI008,dNLjKwsVjod,4106097.0
EPI028,dNLjKwsVjod,1079399.0
A6sJKceysXy,dNLjKwsVjod,3641.0
EPI045,dNLjKwsVjod,42610.0
EPI025,dNLjKwsVjod,7226878.0
qMZseedjTs2,dNLjKwsVjod,4019.0
CVWtvuChnN4,dNLjKwsVjod,4064002.0
EPI046,dNLjKwsVjod,42547.0
GoIHz80UERt,dNLjKwsVjod,5083323.0
EPI051,dNLjKwsVjod,5621631.0
HCGy8hSQrrn,dNLjKwsVjod,4242925.0
EPI004,dNLjKwsVjod,737147.0
EPI048,dNLjKwsVjod,59087.0
sheiuFeL5re,dNLjKwsVjod,5534.0
EPI005,dNLjKwsVjod,999152.0
EPI018,dNLjKwsVjod,7300525.0
EPI003,dNLjKwsVjod,785094.0
EPI016,dNLjKwsVjod,121739.0
EPI014,dNLjKwsVjod,2804471.0
OS8FHo7DST0,dNLjKwsVjod,8191755.1
foSKZmdiKvO,dNLjKwsVjod,3976.0
EPI015,dNLjKwsVjod,967918.0
aO26dRReDw1,dNLjKwsVjod,16993.0
EPI030,dNLjKwsVjod,7104367.0
EPI006,dNLjKwsVjod,3236861.0
EPI029,dNLjKwsVjod,7189232.0
EPI013,dNLjKwsVjod,2955450.0
EPI043,dNLjKwsVjod,31181.0
EPI042,dNLjKwsVjod,37247.0
EPI001,dNLjKwsVjod,1063533.0
EPI007,dNLjKwsVjod,3458051.0
Pyz7rlAmMZ4,dNLjKwsVjod,4534081.0
EPI010,dNLjKwsVjod,4048110.0
EPI009,dNLjKwsVjod,4066616.0
EPI026,dNLjKwsVjod,7093888.0
nNTNsd237Zf,dNLjKwsVjod,2922258.0
izqdLEayxtk,dNLjKwsVjod,4501023.0
WMO4fDbBBsN,dNLjKwsVjod,4517993.0
HDzRDBWv2O5,dNLjKwsVjod,3769657.0
EPI002,dNLjKwsVjod,1491069.0
EPI047,dNLjKwsVjod,39254.0
cqtZ9bBPXyp,dNLjKwsVjod,612227.0
EPI031,dNLjKwsVjod,7066887.0
y18L7Mx36gU,dNLjKwsVjod,5252.0
RYtOwMY20z9,dNLjKwsVjod,4410834.0
EPI011,dNLjKwsVjod,3667020.0
