Data,Organisation unit,Value
OS8FHo7DST0,10000659,1416.0
EPI001,10001011,2987.0
EPI009,10001064,13599.0
HDzRDBWv2O5,10001963,9119.0
EPI004,10001842,561.0
EPI007,10000607,5242.0
EPI048,10001945,266.0
EPI001,10000181,1911.0
EPI011,10002134,3730.0
EPI007,10002213,5693.0
EPI004,10001330,729.0
EPI043,10013108,0.0
HCGy8hSQrrn,10001227,7420.0
aO26dRReDw1,10002304,82.0
EPI008,10001842,3789.0
EPI016,10000435,16.0
EPI042,10000341,0.0
EPI031,10000362,32049.0
EPI031,10001244,9819.0
EPI013,10000691,7488.0
EPI045,10001122,0.0
EPI013,10002181,1926.0
EPI046,10002150,0.0
EPI002,10001594,1846.0
EPI010,10000511,3780.0
EPI015,10000095,1332.0
EPI009,10000387,11203.0
EPI003,10002127,901.0
EPI046,10001575,0.0
EPI015,10001230,2628.0
nNTNsd237Zf,10000544,2888.0
HCGy8hSQrrn,10001982,8097.0
EPI030,10001591,21755.0
EPI051,10000341,12762.0
EPI046,10000928,0.0
RYtOwMY20z9,10000846,13318.0
HCGy8hSQrrn,10000709,14754.0
CVWtvuChnN4,10000355,8282.0
HCGy8hSQrrn,10001115,13020.0
RYtOwMY20z9,10000857,25515.0
EPI007,10001759,5929.0
EPI025,10001662,10217.0
aO26dRReDw1,10001801,51.0
WMO4fDbBBsN,10000258,13218.0
EPI048,10001928,0.0
RYtOwMY20z9,10001495,15861.0
OS8FHo7DST0,10001966,9948.0
EPI028,10001156,288.0
EPI011,10002188,4689.0
GoIHz80UERt,10000488,9991.0
EPI047,10000656,0.0
EPI006,10001527,796.0
EPI013,10001527,4132.0
EPI043,10000969,0.0
RYtOwMY20z9,10001220,4884.0
EPI043,HS_27480050000,0.0
EPI051,10002207,7071.0
HDzRDBWv2O5,10000482,8341.0
cqtZ9bBPXyp,10001547,748.0
EPI018,10002209,13376.0
foSKZmdiKvO,10001933,306.0
EPI006,10000691,7643.0
EPI011,10000281,6695.0
nNTNsd237Zf,10000085,3061.0
EPI011,10000613,12174.0
EPI029,10000942,10834.0
EPI029,10000458,28147.0
CVWtvuChnN4,10001594,13852.0
CVWtvuChnN4,10001870,12123.0
HDzRDBWv2O5,10001473,3533.0
OS8FHo7DST0,10000682,82765.0
EPI025,10000568,13122.0
EPI001,10000931,1201.0
EPI011,10000721,2635.0
EPI004,10000461,1868.0
EPI043,10001031,0.0
EPI011,10001382,8066.0
EPI042,10002207,0.0
EPI004,10002211,891.0
HDzRDBWv2O5,10001412,3690.0
EPI031,10002160,14150.0
EPI043,10001780,0.0
EPI009,10000942,4548.0
EPI029,10002048,6495.0
EPI010,10000931,6589.0
EPI010,10000708,4773.0
EPI004,10000939,2046.0
EPI026,10000234,11678.0
EPI016,10002008,733.0
HDzRDBWv2O5,10001019,7096.0
EPI014,10002015,5184.0
EPI003,10000223,1912.0
aO26dRReDw1,10001226,1.0
EPI008,10001370,7275.0
EPI028,10000430,3042.0
EPI047,10000748,0.0
EPI008,10001330,3134.0
CVWtvuChnN4,10000230,11186.0
EPI018,10002149,12011.0
EPI051,10000892,13753.0
EPI004,10001712,555.0
EPI001,10000565,450.0
EPI009,10000472,8028.0
EPI046,10001322,0.0
EPI028,10002078,690.0
EPI014,10001636,5375.0
EPI006,10002181,2910.0
EPI025,10001201,5924.0
OS8FHo7DST0,10001203,13287.0
EPI028,10002143,3.0
izqdLEayxtk,10001882,10772.0
EPI002,10000355,1758.0
EPI012,10000595,4140.0
EPI012,10001230,3824.0
GoIHz80UERt,10000551,11758.0
EPI025,10000926,21289.0
aO26dRReDw1,10000358,15.0
EPI028,10000838,1271.0
HCGy8hSQrrn,10000511,6863.0
EPI026,10001156,15110.0
EPI029,10000387,19054.0
EPI002,10001405,695.0
HDzRDBWv2O5,10000634,6776.0
OS8FHo7DST0,10001673,6596.0
EPI014,10001914,6431.0
EPI026,10000667,17630.0
nNTNsd237Zf,10001917,2244.0
EPI046,10001163,0.0
RYtOwMY20z9,10001061,21261.0
aO26dRReDw1,10001523,1.0
EPI031,10001189,4772.0
EPI016,10001527,528.0
EPI016,10002181,0.0
EPI009,10002048,5768.0
WMO4fDbBBsN,10001997,11563.0
EPI010,10001115,7313.0
EPI001,10000270,2070.0
EPI004,10002101,537.0
EPI014,10000729,6740.0
GoIHz80UERt,10000141,28932.0
EPI011,10000151,0.0
EPI042,10000973,0.0
EPI015,10000725,4058.0
EPI002,10001624,3535.0
EPI018,10001790,17022.0
EPI047,10000903,0.0
EPI014,10001737,4197.0
CVWtvuChnN4,10001085,1203.0
EPI045,10002017,0.0
EPI042,10000892,0.0
