Data,Organisation unit,Value
EPI026,5070,83771.0
EPI009,2046,44282.0
WMO4fDbBBsN,6091,192279.0
foSKZmdiKvO,3072,9.0
EPI030,5594,63129.0
EPI013,3029,49859.0
EPI005,3093,15737.0
y18L7Mx36gU,5573,231.0
EPI007,3072,62516.0
EPI051,1079,43243.0
EPI015,2013,28175.0
EPI028,5070,1855.0
EPI015,4087,18862.0
qMZseedjTs2,3048,204.0
EPI046,3054,0.0
EPI025,5088,167477.0
EPI045,5527,0.0
EPI048,2012,9.0
EPI001,5070,5832.0
EPI030,1004,42824.0
EPI016,3048,1133.0
EPI029,2012,184273.0
EPI009,2084,27972.0
EPI031,1079,51055.0
EPI007,6058,45190.0
EPI008,5577,28729.0
WMO4fDbBBsN,4065,30160.0
EPI051,5069,61457.0
EPI002,3093,12907.0
GoIHz80UERt,5069,73595.0
EPI045,2075,9.0
EPI046,4055,0.0
EPI029,5081,107961.0
EPI004,5577,3427.0
OS8FHo7DST0,1079,50843.0
EPI025,3033,202537.0
EPI042,5069,0.0
EPI031,5069,71702.0
EPI025,3056,69950.0
WMO4fDbBBsN,3061,272445.0
foSKZmdiKvO,6058,1.0
EPI018,5532,119425.0
aO26dRReDw1,1004,105.0
EPI014,1042,22302.0
EPI045,2019,0.0
cqtZ9bBPXyp,4041,414.0
EPI029,2084,28851.0
EPI016,3067,120.0
izqdLEayxtk,5552,62512.0
EPI014,4055,21489.0
aO26dRReDw1,5594,93.0
EPI045,3086,0.0
EPI009,5081,88022.0
OS8FHo7DST0,5038,34289.0
EPI046,1042,0.0
EPI042,1079,126.0
y18L7Mx36gU,3068,1566.0
EPI048,6036,0.0
EPI007,1078,21089.0
WMO4fDbBBsN,3093,153790.0
EPI005,6091,12095.0
EPI013,2015,164311.0
EPI003,4041,26402.0
cqtZ9bBPXyp,5527,1316.0
y18L7Mx36gU,5549,928.0
RYtOwMY20z9,2013,135015.0
EPI048,2084,172.0
EPI029,2046,36441.0
EPI029,6036,121279.0
HDzRDBWv2O5,3067,93926.0
EPI048,2046,0.0
CVWtvuChnN4,4065,23545.0
EPI031,3039,112699.0
A6sJKceysXy,3033,528.0
HCGy8hSQrrn,5577,50365.0
EPI013,3026,166944.0
EPI051,3039,100360.0
EPI025,2019,364674.0
GoIHz80UERt,5532,116921.0
cqtZ9bBPXyp,3086,417.0
EPI008,3059,39319.0
EPI016,2015,518.0
aO26dRReDw1,3093,585.0
EPI042,3039,3.0
EPI016,2003,4719.0
EPI007,5532,65622.0
izqdLEayxtk,1006,128423.0
WMO4fDbBBsN,5549,115253.0
GoIHz80UERt,3039,114385.0
EPI014,4044,35446.0
EPI005,3061,36175.0
EPI002,1004,9393.0
HDzRDBWv2O5,2012,117438.0
cqtZ9bBPXyp,6090,21085.0
EPI028,1078,7247.0
EPI042,5532,0.0
EPI047,2084,170.0
RYtOwMY20z9,3056,72385.0
EPI003,1009,16933.0
EPI009,2012,113907.0
HDzRDBWv2O5,3048,115549.0
EPI018,3035,58928.0
EPI011,5577,18728.0
EPI018,3072,127970.0
GoIHz80UERt,1079,50881.0
A6sJKceysXy,2013,432.0
EPI004,3059,3776.0
EPI047,2030,0.0
EPI006,3026,191967.0
EPI045,4057,330.0
EPI008,5585,91390.0
EPI015,1042,6059.0
EPI015,2051,15475.0
qMZseedjTs2,4047,1.0
HDzRDBWv2O5,2084,18699.0
Pyz7rlAmMZ4,1004,42575.0
EPI011,3059,1216.0
sheiuFeL5re,6058,3.0
EPI009,6036,58629.0
izqdLEayxtk,4041,115998.0
EPI016,3026,4324.0
EPI045,4050,0.0
EPI016,2022,3042.0
RYtOwMY20z9,4055,42880.0
EPI015,3033,8125.0
HDzRDBWv2O5,2022,76710.0
EPI012,4055,25727.0
EPI047,5064,0.0
EPI047,2046,299.0
HDzRDBWv2O5,2046,20507.0
EPI004,5585,12674.0
EPI006,2015,200320.0
WMO4fDbBBsN,3068,118768.0
EPI047,5010,0.0
EPI048,5081,0.0
WMO4fDbBBsN,5573,76992.0
EPI007,3035,30674.0
nNTNsd237Zf,5594,27334.0
sheiuFeL5re,3072,13.0
aO26dRReDw1,6091,741.0
EPI013,2003,17132.0
EPI009,4001,41210.0
EPI011,5585,60427.0
izqdLEayxtk,1009,108417.0
EPI012,3054,37236.0
EPI013,3048,70417.0
EPI005,1004,8970.0
EPI018,6058,89700.0
EPI014,4087,45420.0
EPI002,6091,24236.0
EPI003,5038,1924.0
GoIHz80UERt,6058,88960.0
EPI002,3061,45606.0
EPI008,3068,70336.0
EPI043,5070,460.0
nNTNsd237Zf,2015,199403.0
EPI030,4065,31333.0
A6sJKceysXy,4050,130.0
RYtOwMY20z9,3086,60328.0
izqdLEayxtk,3086,61016.0
EPI002,4018,5342.0
EPI010,5577,26731.0
EPI048,4001,0.0
EPI046,2030,0.0
HCGy8hSQrrn,5573,86225.0
