Data,Organisation unit,Value
EPI Infant Monthly Target,Rowangchari Upazila Health Complex,1440.0
TT1 dose pregnant women,Ramganj Upazila Health Complex,2944.0
TT4 dose (15-49y women),Subarnachar Upazila Health Complex,14128.0
fIPV1 given (0-11m),"Bakerganj Upazila Health Complex, Barisal",10523.0
TT4 dose pregnant women,Khoksha Upazila Health Complex,565.0
TT2 dose (15-49y women),Gopalpur Upazila Health Complex,5037.0
OPV 4 given (12-23m),Betagi Upazila Health Complex,0.0
TT1 dose pregnant women,Mukshedpur Upazila Health Complex,1920.0
EPI Women Given Vitamin A Dose,"Dakshin Sunamganj Upazila Health Complex,Sunamganj",4366.0
TT2 dose (15-49y women),Kaliganj JD Upazila Health Complex,4695.0
TT4 dose pregnant women,Rajibpur Upazila Health Complex,809.0
Penta 2 given (12-23m),Bijoynagar Upazila Health Complex,0.0
PCV3 given 0-11m,Kaharol Upazila Health Complex,7642.0
EPI U1 Death,Durgapur Upazila Health Complex,82.0
TT3 dose (15-49y women),Khoksha Upazila Health Complex,3561.0
EPI Gavi_Vol,Sonargaon Upazila Health Complex,4.0
Penta 1 given (12-23m),Sreenagar Upazila Health Complex,0.0
OPV 3 given (0-11m),Fulpur Upazila Health Complex,31962.0
OPV 3 given (0-11m),Fulchari Upazila Health Complex,9706.0
EPI Session Held,Nasirnagar Upazila Health Complex,7488.0
OPV 1 given (12-23m),Gabtali Upazila Health Complex,0.0
EPI Session Held,"Fenchuganj Upazila Health Complex,Sylhet",1930.0
OPV 2 given (12-23m),"Jamalganj Upazila Health Complex,Sunamganj",0.0
TT2 dose pregnant women,Pirgacha Upazila Health Complex,1867.0
TT5 dose (15-49y women),Kalukhali Upazila Health Complex,3558.0
EPI FWA,Boalmari Upazila Health Complex,1423.0
TT4 dose (15-49y women),Muktagacha Upazila Health Complex,11401.0
TT3 dose pregnant women,"Biswambarpur Upazila Health Complex,Sunamganj",925.0
OPV 2 given (12-23m),Badarganj Upazila Health Complex,0.0
EPI FWA,Khansama Upazila Health Complex,2536.0
fIPV2 given (0-11m),Damudya Upazila Health Complex,3105.0
PCV3 given 0-11m,Gournadi Upazila Health Complex,8217.0
OPV 2 given (0-11m),Mithapukur Upazila Health Complex,21447.0
EPI Birth Registration done,Sreenagar Upazila Health Complex,12449.0
PCV2 given 0-11m,Brahmmanpara Upazila Health Complex,13445.0
PCV3 given 0-11m,Haziganj Upazila Health Complex,14871.0
MR given 15-18m,Dhubaura Upazila Health Complex,9672.0
PCV3 given 0-11m,Dhunat Upazila Health Complex,13573.0
PCV2 given 0-11m,Chandina Upazila Health Complex,25995.0
TT2 dose (15-49y women),Jhikargacha Upazila Health Complex,6121.0
Penta 1 given (0-11m),Tarash Upazila Health Complex,10235.0
EPI U1 Death,Fultala Upazila Health Complex,51.0
Fully Immunized Child,Kalkini Upazila Health Complex,12558.0
OPV 4 given (12-23m),"Shyamnagar Upazila Health Complex, Satkhira",0.0
PCV2 given 0-11m,Sujanagar Upazila Health Complex,16131.0
EPI Infant Monthly Target,Banaripara Upazila Health Complex,9936.0
OPV 0 given (0-11m),Shibganj Bogra Upazila Health Complex,295.0
EPI Women Given Vitamin A Dose,"Jaintiapur Upazila Health Complex,Sylhet",5342.0
MR given 0-11m,Madan Upazila Health Complex,9598.0
OPV 3 given (12-23m),Lama Upazila Health Complex,0.0
TT1 dose (15-49y women),Bagha Upazila Health Complex,869.0
EPI Session Held,Bagha Upazila Health Complex,4232.0
Penta 2 given (12-23m),Sonagazi Upazila Health Complex,0.0
PCV2 given 0-11m,Fulbari DP Upazila Health Complex,5583.0
Penta 2 given (12-23m),"Fulgazi Health Complex, Feni",0.0
EPI Birth Registration done,Kaliganj LH Upazila Health Complex,3913.0
fIPV1 given (0-11m),Kendua Upazila Health Complex,8341.0
BCG given (0-11m),"Companiganj SH Upazila Health Complex,Sylhet",13415.0
PCV2 given 12-23m,Amtali Upazila Health Complex,307.0
TT1 dose (15-49y women),Nasirnagar Upazila Health Complex,7962.0
EPI Women Given Vitamin A Dose,Ghior Upazila Health Complex,6691.0
fIPV2 given (0-11m),Alfadanga Upazila Health Complex,3334.0
EPI Women Given Vitamin A Dose,Kalihati Upazila Health Complex,14579.0
OPV 1 given (0-11),Chhagalnaya Upazila Health Complex,10757.0
OPV 1 given (0-11),Raipura Upazila Health Complex,28757.0
MR given 15-18m,Pirgacha Upazila Health Complex,13463.0
MR given 15-18m,"Mirpur Upazila Health Complex, Kushtia",12838.0
fIPV1 given (0-11m),Bhangura Upazila Health Complex,4218.0
EPI Infant Monthly Target,Nabinagar Upazila Health Complex,33288.0
Penta 1 given (0-11m),Nalitabari Upazila Health Complex,13244.0
TT1 dose pregnant women,Ramu Upazila Health Complex,1267.0
EPI Women Given Vitamin A Dose,Matlab(daxin) Upazila Health Complex,4992.0
TT4 dose pregnant women,Shibpur Upazila Health Complex,1480.0
Penta 2 given (12-23m),Chatkhil Upazila Health Complex,0.0
EPI Women Given Vitamin A Dose,Manda Upazila Health Complex,7753.0
Penta 1 given (12-23m),Kaliganj LH Upazila Health Complex,0.0
TT4 dose pregnant women,Lohagara Upazila Health Complex,938.0
fIPV1 given (0-11m),Raninagar Upazila Health Complex,4942.0
OPV 3 given (0-11m),"Tahirpur Upazila Health Complex,Sunamganj",14079.0
Penta 2 given (12-23m),Kotchandpur Upazila Health Complex,0.0
TT4 dose (15-49y women),Chhagalnaya Upazila Health Complex,4404.0
OPV 1 given (0-11),Mirzaganj Upazila Health Complex,6354.0
TT5 dose (15-49y women),Ramu Upazila Health Complex,6458.0
TT5 dose (15-49y women),Haimchar Upazila Health Complex,4420.0
TT4 dose pregnant women,Ukhyia Upazila Health Complex,2201.0
Penta 2 given (0-11m),Itna Upazila Health Complex,11730.0
EPI Gavi_Vol,Daulatkhan Upazila Health Complex,600.0
fIPV1 given (0-11m),Ramgati Upazila Health Complex,7866.0
EPI HA,Lalmohan Upazila Health Complex,5043.0
TT3 dose pregnant women,Austagram Upazila Health Complex,1530.0
EPI U1 Death,Hakimpur Upazila Health Complex,1.0
TT3 dose (15-49y women),Badalgachi Upazila Health Complex,6303.0
OPV 0 given (0-11m),Rupganj Upazila Health Complex,3133.0
OPV 3 given (12-23m),Chandanaish Upazila Health Complex,0.0
TT3 dose (15-49y women),Rajibpur Upazila Health Complex,3242.0
MR given 15-18m,Bhairab Upazila Health Complex,11275.0
BCG given (0-11m),"Jagannathpur Upazila Health Complex, Sunamganj",11707.0
EPI Birth Registration done,Laksham Upazila Health Complex,11297.0
TT4 dose pregnant women,Sarankhola Upazila Health Complex,535.0
TT1 dose pregnant women,Jhenaigati Upazila Health Complex,455.0
TT4 dose (15-49y women),Kalmakanda Upazila Health Complex,8240.0
OPV 2 given (12-23m),Nageswari Upazila Health Complex,0.0
OPV 0 given (0-11m),"Chunarughat Upazila Health Complex,Habiganj",521.0
EPI HA,Raiganj Upazila Health Complex,5381.0
TT1 dose (15-49y women),"Fenchuganj Upazila Health Complex,Sylhet",2914.0
Penta 1 given (0-11m),Bochaganj Upazila Health Complex,5675.0
EPI Infant Monthly Target,Chirirbandar Upazila Health Complex,13466.0
OPV 0 given (0-11m),"Dowarabazar Upazila Health Complex,Sunamganj",0.0
PCV1 given 0-11m,Mohammadpur Upazila Health Complex,10809.0
TT2 dose pregnant women,Dhubaura Upazila Health Complex,1770.0
EPI Session Planned,Dhanbari Upazila Health Complex,4140.0
EPI Session Planned,Khansama Upazila Health Complex,3832.0
MR given 0-11m,Naria Upazila Health Complex,11798.0
Penta 1 given (0-11m),Moheshkhali Upazila Health Complex,21673.0
EPI U1 Death,Fulbaria Upazila Health Complex,15.0
OPV 0 given (0-11m),Sitakunda Upazila Health Complex,1389.0
PCV3 given 0-11m,Kalukhali Upazila Health Complex,7316.0
Penta 2 given (0-11m),Shibganj Bogra Upazila Health Complex,15077.0
OPV 1 given (0-11),Muktagacha Upazila Health Complex,19102.0
TT2 dose pregnant women,Porsha Upazila Health Complex,704.0
fIPV1 given (0-11m),Nagarpur Upazila Health Complex,8279.0
EPI Infant Monthly Target,Haripur Upazila Health Complex,6637.0
EPI HA,"Assasuni Upazila Health Complex, Satkhira",6389.0
Penta 2 given (0-11m),Bancharampur Upazila Health Complex,17486.0
fIPV2 given (0-11m),Debhata Upazila Health Complex,2244.0
OPV 2 given (12-23m),Bholahat Upazila Health Complex,0.0
PCV2 given 0-11m,Sonaimuri Upazila Health Complex,21381.0
EPI U1 Death,Bagmara Upazila Health Complex,1.0
OPV 3 given (0-11m),Birampur Upazila Health Complex,4781.0
EPI Gavi_Vol,Bagha Upazila Health Complex,432.0
EPI Gavi_Vol,"Fenchuganj Upazila Health Complex,Sylhet",0.0
TT4 dose (15-49y women),Mirzaganj Upazila Health Complex,6045.0
Fully Immunized Child,Wazirpur Upazila Health Complex,11696.0
TT5 dose (15-49y women),Dhunat Upazila Health Complex,7051.0
TT1 dose pregnant women,Rajoir Upazila Health Complex,1977.0
TT4 dose pregnant women,"Kamalganj Upazila Health Complex,Moulvibazar",483.0
EPI HA,Anwara Upazila Health Complex,7026.0
MR given 0-11m,Kaliakair Upazila Health Complex,29540.0
EPI Women Given Vitamin A Dose,Sreepur Upazila Health Complex,0.0
Penta 1 given (12-23m),Dighinala Upazila Health Complex,0.0
EPI FWA,Matlab(uttar) Upazila Health Complex,4102.0
TT2 dose pregnant women,Belkuchi Upazila Health Complex,3593.0
BCG given (0-11m),Shailkupa Upazila Health Complex,16937.0
OPV 3 given (12-23m),Muradnagar Upazila Health Complex,0.0
EPI HA,Abhoynagar Upazila Health Complex,4514.0
MR given 15-18m,Rajasthali Upazila Health Complex,1247.0
OPV 1 given (12-23m),Manpura Upazila Health Complex,0.0
Penta 1 given (12-23m),Laksham Upazila Health Complex,0.0
OPV 1 given (12-23m),Ruma Upazila Health Complex,0.0
EPI FWA,Panchbibi Upazila Health Complex,1989.0
EPI Session Held,Daulatkhan Upazila Health Complex,5376.0
TT2 dose (15-49y women),Damurhuda Upazila Health Complex,4347.0
OPV 3 given (12-23m),Faridganj Upazila Health Complex,0.0
OPV 2 given (12-23m),Matiranga Upazila Health Complex,0.0
Penta 1 given (0-11m),"Lakhai Upazila Health Complex,Habiganj",9259.0
fIPV2 given (0-11m),Faridpur Upazila Health Complex,3240.0
EPI Birth Registration done,"Biswambarpur Upazila Health Complex,Sunamganj",10001.0
TT2 dose pregnant women,Kachua BH Upazila Health Complex,402.0
EPI HA,Tajumuddin Upazila Health Complex,4393.0
OPV 3 given (12-23m),Kaliganj GZ Upazila Health Complex,0.0
PCV1 given 0-11m,Pirganj RP Upazila Health Complex,17006.0
EPI HA,Bandar Upazila Health Complex,3073.0
TT2 dose (15-49y women),"Dakhin Surma Upazila Health Complex,Sylhet",6458.0
Penta 2 given (0-11m),Kashba Upazila Health Complex,19166.0
fIPV1 given (0-11m),Sundarganj Upazila Health Complex,13214.0
Penta 1 given (12-23m),Jhenaigati Upazila Health Complex,0.0
TT5 dose (15-49y women),Mukshedpur Upazila Health Complex,10066.0
MR given 0-11m,Nandigram Upazila Health Complex,6981.0
TT1 dose (15-49y women),Purbadhala Upazila Health Complex,7373.0
PCV2 given 0-11m,Sadarpur Upazila Health Complex,9961.0
Penta 2 given (0-11m),"Balaganj Upazila Health Complex,Sylhet",14582.0
OPV 4 given (12-23m),Ghoraghat Upazila Health Complex,0.0
EPI FWA,"Beani Bazar Upazila Health Complex,Sylhet",2704.0
TT1 dose pregnant women,Haziganj Upazila Health Complex,1939.0
OPV 3 given (12-23m),Nakla Upazila Health Complex,0.0
Penta 2 given (0-11m),"Chunarughat Upazila Health Complex,Habiganj",15855.0
fIPV1 given (0-11m),Mohanpur Upazila Health Complex,3230.0
OPV 0 given (0-11m),Bancharampur Upazila Health Complex,562.0
TT3 dose pregnant women,Sreenagar Upazila Health Complex,787.0
OPV 2 given (0-11m),"Fenchuganj Upazila Health Complex,Sylhet",5762.0
EPI HA,Dumki Upazila Health Complex,1958.0
TT1 dose (15-49y women),Panchari Upazila Health Complex,1000.0
PCV2 given 0-11m,Faridganj Upazila Health Complex,22167.0
TT4 dose pregnant women,Fatikchari Upazila Health Complex,5626.0
TT4 dose (15-49y women),Pekua Upazila Health Complex,6309.0
EPI FWA,Dhanbari Upazila Health Complex,1569.0
EPI Session Held,Santhia Upazila Health Complex,6336.0
TT2 dose pregnant women,Rajasthali Upazila Health Complex,434.0
TT2 dose (15-49y women),Dumuria Upazila Health Complex,134.0
IPV given 0-11m,"Juri Upazila Health Complex,Moulvibazar",1225.0
PCV2 given 0-11m,Austagram Upazila Health Complex,11233.0
TT2 dose pregnant women,Bhairab Upazila Health Complex,550.0
OPV 1 given (12-23m),Mehendiganj Upazila Health Complex,0.0
EPI Infant Monthly Target,Kaliganj JD Upazila Health Complex,8497.0
TT2 dose pregnant women,Sandwip Upazila Health Complex,2942.0
TT4 dose pregnant women,Keraniganj Upazila Health Complex,5159.0
EPI Birth Registration done,Austagram Upazila Health Complex,14535.0
Penta 1 given (12-23m),Fulbari KG Upazila Health Complex,0.0
OPV 0 given (0-11m),Itna Upazila Health Complex,647.0
MR given 15-18m,Porsha Upazila Health Complex,4624.0
TT3 dose pregnant women,Laksham Upazila Health Complex,2043.0
TT2 dose (15-49y women),Bhuapur Upazila Health Complex,4970.0
Penta 1 given (12-23m),"Biswambarpur Upazila Health Complex,Sunamganj",0.0
EPI Birth Registration done,Jhenaigati Upazila Health Complex,6880.0
fIPV1 given (0-11m),Homna Upazila Health Complex,7837.0
EPI HA,"Kulaura Upazila Health Complex,Moulvibazar",6974.0
EPI Session Held,Panchari Upazila Health Complex,2624.0
TT3 dose pregnant women,Sadarpur Upazila Health Complex,929.0
TT5 dose (15-49y women),Haziganj Upazila Health Complex,9136.0
OPV 1 given (12-23m),Atrai Upazila Health Complex,0.0
TT1 dose (15-49y women),Santhia Upazila Health Complex,9166.0
OPV 1 given (0-11),Subarnachar Upazila Health Complex,19226.0
TT1 dose pregnant women,Kaharol Upazila Health Complex,272.0
TT3 dose (15-49y women),Satkania Upazila Health Complex,10070.0
MR given 0-11m,Kathalia Upazila Health Complex,5325.0
EPI Session Held,Juraichari Upazila Health Complex,2179.0
fIPV1 given (0-11m),Serajdikhan Upazila Health Complex,4442.0
EPI Gavi_Vol,Nikli Upazila Health Complex,36.0
Penta 1 given (12-23m),Pangsha Upazila Health Complex,0.0
Penta 1 given (12-23m),Muladi Upazila Health Complex,0.0
IPV given 0-11m,Barhatta Upazila Health Complex,1119.0
fIPV2 given (0-11m),Atwari Upazila Health Complex,1773.0
TT3 dose pregnant women,Sarsa Upazila Health Complex,2908.0
OPV 3 given (12-23m),"Kumarkhali Upazila Health Complex, Kushtia",0.0
OPV 0 given (0-11m),Bhurungamari Upazila Health Complex,1581.0
OPV 3 given (0-11m),Kamarkhanda Upazila Health Complex,7612.0
Fully Immunized Child,Shibganj NG Upazila Health Complex,27663.0
EPI Infant Monthly Target,Dumuria Upazila Health Complex,9936.0
EPI Birth Registration done,Fulbari KG Upazila Health Complex,2117.0
OPV 2 given (0-11m),Shibganj NG Upazila Health Complex,30297.0
OPV 2 given (0-11m),Bagha Upazila Health Complex,7113.0
OPV 2 given (12-23m),Alikadam Upazila Health Complex,0.0
EPI Session Planned,Panchbibi Upazila Health Complex,4752.0
OPV 3 given (12-23m),Saturia Upazila Health Complex,0.0
PCV2 given 0-11m,"Biswambarpur Upazila Health Complex,Sunamganj",9274.0
EPI Infant Monthly Target,Jhikargacha Upazila Health Complex,12096.0
Penta 1 given (0-11m),Rajarhat Upazila Health Complex,9833.0
EPI Session Held,Purbadhala Upazila Health Complex,6413.0
EPI Women Given Vitamin A Dose,"Fulgazi Health Complex, Feni",6558.0
EPI Women Given Vitamin A Dose,Chatkhil Upazila Health Complex,15047.0
OPV 3 given (12-23m),Sapahar Upazila Health Complex,0.0
TT2 dose pregnant women,Boalkhali Upazila Health Complex,410.0
OPV 1 given (0-11),Akhaura Upazila Health Complex,9842.0
MR given 0-11m,Zianagar Upazila Health Complex,3506.0
PCV3 given 0-11m,Haimchar Upazila Health Complex,5593.0
TT3 dose (15-49y women),Katiadi Upazila Health Complex,9332.0
PCV2 given 0-11m,Kaptai Upazila Health Complex,2955.0
OPV 4 given (12-23m),Daudkandi Upazila Health Complex,0.0
EPI Birth Registration done,Muladi Upazila Health Complex,1452.0
BCG given (0-11m),"Harinakunda Upazila Health Complex, Jhenaidah",8041.0
PCV1 given 0-11m,"Juri Upazila Health Complex,Moulvibazar",6980.0
Fully Immunized Child,Mithapukur Upazila Health Complex,10085.0
Penta 1 given (0-11m),Rupsha Upazila Health Complex,7310.0
OPV 1 given (0-11),Bhandaria Upazila Health Complex,6908.0
PCV1 given 0-11m,Paba Upazila Health Complex,12760.0
OPV 3 given (0-11m),Keshabpur Upazila Health Complex,9254.0
TT5 dose (15-49y women),Kaharol Upazila Health Complex,4171.0
TT2 dose pregnant women,Parbatipur Upazila Health Complex,756.0
EPI Birth Registration done,Pangsha Upazila Health Complex,3199.0
PCV3 given 0-11m,Batiaghata Upazila Health Complex,6004.0
TT5 dose pregnant women,Hijla Upazila Health Complex,873.0
OPV 2 given (12-23m),Akhaura Upazila Health Complex,0.0
TT2 dose (15-49y women),Nabinagar Upazila Health Complex,15489.0
fIPV1 given (0-11m),Damudya Upazila Health Complex,3106.0
PCV1 given 0-11m,Sherpur Upazila Health Complex,15116.0
fIPV2 given (0-11m),Kendua Upazila Health Complex,7235.0
EPI FWA,Ashugonj Upazila Health Complex,1032.0
EPI Women Given Vitamin A Dose,Bhaluka Upazila Health Complex,20319.0
OPV 1 given (0-11),"Jamalganj Upazila Health Complex,Sunamganj",11965.0
Penta 2 given (0-11m),Pirganj RP Upazila Health Complex,16617.0
Penta 1 given (12-23m),Mukshedpur Upazila Health Complex,0.0
EPI Women Given Vitamin A Dose,Borhanuddin Upazila Health Complex,5252.0
