Data,Organisation unit,Value
upazilla_epi_Tally Book (Women)_used,Senbag Upazila Health Complex,38.0
upazilla_epi_Syringe (5 ml) previous stock,Raiganj Upazila Health Complex,15260.0
upazilla_epi_MR Diluent_receive,Juraichari Upazila Health Complex,380.0
upazilla_epi_PCV vial_receive,Birol Upazila Health Complex,8300.0
upazilla_epi_BCG Diluent previous stock,"Dharmapasha Upazila Health Complex,Sunamganj",1448.0
upazilla_epi_Syringe (5 ml)_used,Tetulia Upazila Health Complex,1874.0
upazilla_epi_Safety Box_damaged,Daulatpur Upazila Health Complex,0.0
upazilla_epi_OPV vial_used,Baliadangi Upazila Health Complex,1703.0
upazilla_epi_TT Card_used,Shibalaya Upazila Health Complex,2600.0
upazilla_epi_Moni Flag_damaged,Kalia Upazila Health Complex,0.0
upazilla_epi_Syringe (0.05 ml)_used,Rupsha Upazila Health Complex,5100.0
upazilla_epi_MR Diluent_used,Kotchandpur Upazila Health Complex,1300.0
upazilla_epi_PCV vial_receive,Nesarabad Upazila Health Complex,7700.0
upazilla_epi_MR Diluent_damaged,Monoharganj Upazila Health Complex,0.0
upazilla_epi_MR Diluent_damaged,Basail Upazila Health Complex,0.0
upazilla_epi_Child Card_used,Wazirpur Upazila Health Complex,5600.0
upazilla_epi_Women Report Book_used,Sreepur Upazila Health Complex,30.0
upazilla_epi_Moni Flag_damaged,Lohagara Upazila Health Complex,0.0
upazilla_epi_Tally Book (Women)_receive,Durgapur Upazila Health Complex,25.0
upazilla_epi_BCG Diluent_damaged,Tarail Upazila Health Complex,0.0
upazilla_epi_Pentavalent vial_used,Paikgacha Upazila Health Complex,13564.0
upazilla_epi_Child register previous stock,Ramgati Upazila Health Complex,30.0
upazilla_epi_Pentavalent vial previous stock,Galachipa Upazila Health Complex,17103.0
upazilla_epi_MR vial_used,Tungipara Upazila Health Complex,1122.0
upazilla_epi_TT vial previous stock,Charbhadrason Upazila Health Complex,1078.0
upazilla_epi_Tally Book (Women)_damaged,Khansama Upazila Health Complex,0.0
upazilla_epi_OPV vial_receive,Lalpur Upazila Health Complex,2774.0
upazilla_epi_Syringe (0.5 ml)_receive,Ranisankhail Upazila Health Complex,47800.0
upazilla_epi_Women register_used,Boalmari Upazila Health Complex,27.0
upazilla_epi_Syringe (5 ml) previous stock,"Baniachong Upazila Health Complex, Habiganj",4692.0
upazilla_epi_Child register previous stock,Raninagar Upazila Health Complex,312.0
upazilla_epi_Child Card previous stock,Monirampur Upazila Health Complex,9140.0
upazilla_epi_Syringe (0.1 ml) previous stock,Faridganj Upazila Health Complex,8372.0
upazilla_epi_TT Card_damaged,Wazirpur Upazila Health Complex,0.0
upazilla_epi_Child register previous stock,Atghoria Upazila Health Complex,5.0
upazilla_epi_TT Card_damaged,Rajapur Upazila Health Complex,0.0
upazilla_epi_IPV vial_receive,Mohammadpur Upazila Health Complex,472.0
upazilla_epi_Syringe (0.05 ml)_damaged,Madarganj Upazila Health Complex,0.0
upazilla_epi_Women Report Book_used,Baliakandi Upazila Health Complex,30.0
upazilla_epi_Syringe (0.1 ml)_receive,"Tahirpur Upazila Health Complex,Sunamganj",9600.0
upazilla_epi_Pentavalent vial_receive,Mohanpur Upazila Health Complex,9324.0
upazilla_epi_Child register_damaged,Damudya Upazila Health Complex,0.0
upazilla_epi_Moni Flag_damaged,Singra Upazila Health Complex,0.0
upazilla_epi_BCG vial previous stock,Lalmohan Upazila Health Complex,1021.0
upazilla_epi_TT Card_damaged,Koyra Upazila Health Complex,0.0
upazilla_epi_BCG Diluent previous stock,Birganj Upazila Health Complex,1436.0
upazilla_epi_TT Card_used,Shahzadpur Upazila Health Complex,9000.0
upazilla_epi_Women Report Book_damaged,Patiya Upazila Health Complex,0.0
upazilla_epi_Syringe (0.05 ml)_damaged,Barhatta Upazila Health Complex,0.0
upazilla_epi_Syringe (0.1 ml)_used,Burichong Upazila Health Complex,9500.0
upazilla_epi_Safety Box_damaged,Shalikha Upazila Health Complex,0.0
upazilla_epi_Syringe (0.5 ml)_receive,Pirganj TG Upazila Health Complex,52800.0
upazilla_epi_MR vial_receive,Chandina Upazila Health Complex,4300.0
upazilla_epi_Syringe (3 ml)_damaged,Kachua BH Upazila Health Complex,0.0
upazilla_epi_BCG Diluent_used,Pirgacha Upazila Health Complex,2481.0
upazilla_epi_Child Card_used,Rajapur Upazila Health Complex,2600.0
upazilla_epi_OPV vial_receive,"Derai Upazila Health Complex, Sunamganj",2560.0
upazilla_epi_Syringe (0.5 ml)_receive,Hossainpur Upazila Health Complex,69746.0
upazilla_epi_Syringe (0.05 ml)_damaged,Fakirhat Upazila Health Complex,0.0
upazilla_epi_Safety Box previous stock,Kachua BH Upazila Health Complex,330.0
upazilla_epi_Syringe (5 ml)_receive,Kapasia Upazila Health Complex,3600.0
upazilla_epi_Moni_Flag_previous_stock,Atpara Upazila Health Complex,25.0
upazilla_epi_Syringe (0.05 ml) previous stock,Rajibpur Upazila Health Complex,11330.0
upazilla_epi_Child register_receive,"Tejgaon Health Complex, Dhaka",135.0
upazilla_epi_Child Report Bookprevious stock,Rupganj Upazila Health Complex,20.0
upazilla_epi_Moni Flag_receive,Gabtali Upazila Health Complex,0.0
upazilla_epi_MR vial_receive,"Sulla Upazila Health Complex,Sunamganj",1220.0
upazilla_epi_Tally Book (Women)_receive,Fulbaria Upazila Health Complex,50.0
upazilla_epi_BCG vial_receive,Hijla Upazila Health Complex,1490.0
upazilla_epi_Child Card_receive,Savar Upazila Health Complex,29005.0
upazilla_epi_Syringe (0.1 ml)_receive,Keshabpur Upazila Health Complex,7300.0
upazilla_epi_Tally Book (child)_used,Atrai Upazila Health Complex,0.0
upazilla_epi_BCG Diluent_receive,Kishoreganj Upazila Health Complex,2240.0
upazilla_epi_Moni Flag_used,"Nabiganj Upazila Health Complex,Habiganj",0.0
upazilla_epi_Tally Book (child)_damaged,"Beani Bazar Upazila Health Complex,Sylhet",0.0
upazilla_epi_MR Diluent_damaged,Belaichari Upazila Health Complex,0.0
upazilla_epi_Tally Book (child)_damaged,Parsuram Upazila Health Complex,0.0
upazilla_epi_Syringe (5 ml)_damaged,Bamna Upazila Health Complex,0.0
upazilla_epi_MR Diluent_used,Chatkhil Upazila Health Complex,2742.0
upazilla_epi_OPV vial_used,Ghatail Upazila Health Complex,3449.0
upazilla_epi_Child Card_damaged,Sakhipur Upazila Health Complex,0.0
upazilla_epi_Syringe (0.05 ml)_damaged,Chaddagram Upazila Health Complex,0.0
upazilla_epi_Child register previous stock,Nagarpur Upazila Health Complex,9.0
upazilla_epi_MR Diluent previous stock,Zanjira Upazila Health Complex,635.0
upazilla_epi_Syringe (0.05 ml)_used,Gofargaon Upazila Health Complex,13400.0
upazilla_epi_PCV vial_used,"Gangni Upazila Health Complex, Meherpur",8418.0
upazilla_epi_Child Card_receive,Dewanganj Upazila Health Complex,12700.0
upazilla_epi_BCG vial previous stock,"Assasuni Upazila Health Complex, Satkhira",790.0
upazilla_epi_Safety Box_damaged,Jibannagar Upazila Health Complex,0.0
upazilla_epi_Syringe (0.05 ml) previous stock,Keraniganj Upazila Health Complex,7100.0
upazilla_epi_PCV vial_damaged,Bijoynagar Upazila Health Complex,0.0
upazilla_epi_Women register previous stock,Baraigram Upazila Health Complex,61.0
upazilla_epi_BCG vial_receive,Mirzapur Upazila Health Complex,3397.0
upazilla_epi_Syringe (0.05 ml)_damaged,Iswarganj Upazila Health Complex,0.0
upazilla_epi_Tally Book (child)_used,Monohardi Upazila Health Complex,38.0
upazilla_epi_BCG vial previous stock,Anwara Upazila Health Complex,4654.0
upazilla_epi_BCG Diluent_used,Rajasthali Upazila Health Complex,413.0
upazilla_epi_Syringe (0.5 ml)_damaged,Paba Upazila Health Complex,0.0
upazilla_epi_Child Report Book_receive,Chaddagram Upazila Health Complex,47.0
upazilla_epi_Pentavalent vial previous stock,Kalia Upazila Health Complex,5727.0
upazilla_epi_Child register_receive,Sandwip Upazila Health Complex,10.0
upazilla_epi_TT vial_used,Teknaf Upazila Health Complex,4730.0
upazilla_epi_Child Card_receive,Gouripur Upazila Health Complex,11800.0
upazilla_epi_Syringe (3 ml)_receive,Moheshkhali Upazila Health Complex,1800.0
upazilla_epi_BCG vial_used,Boda Upazila Health Complex,2159.0
upazilla_epi_Tally Book (child)_damaged,Matlab(uttar) Upazila Health Complex,0.0
upazilla_epi_BCG vial_damaged,"Kumarkhali Upazila Health Complex, Kushtia",0.0
upazilla_epi_OPV vial previous stock,Langadu Upazila Health Complex,783.0
upazilla_epi_Child register_used,Kalkini Upazila Health Complex,236.0
upazilla_epi_PCV need,Bakshiganj Upazila Health Complex,18407.0
upazilla_epi_Syringe (3 ml) previous stock,Charbhadrason Upazila Health Complex,5700.0
upazilla_epi_Tally Book (child)_receive,Boalmari Upazila Health Complex,40.0
upazilla_epi_Tally Book (child)_used,Kathalia Upazila Health Complex,21.0
upazilla_epi_Syringe (0.5 ml)_receive,Bagatipara Upazila Health Complex,39000.0
upazilla_epi_Tally Book (child)_damaged,Araihazar Upazila Health Complex,0.0
upazilla_epi_OPV vial_receive,Durgapur Upazila Health Complex,1125.0
upazilla_epi_Tally Book (child)_damaged,Khansama Upazila Health Complex,0.0
upazilla_epi_Child Card_used,Koyra Upazila Health Complex,4000.0
upazilla_epi_BCG vial_used,Durgapur Upazila Health Complex,1185.0
upazilla_epi_BCG Diluent_used,Dhubaura Upazila Health Complex,1634.0
upazilla_epi_Child Card_used,Kalkini Upazila Health Complex,8300.0
upazilla_epi_BCG vial_receive,Kawkhali Upazila Health Complex,840.0
upazilla_epi_Tally Book (child) previous stock,Dewanganj Upazila Health Complex,3.0
upazilla_epi_Pentavalent vial_receive,Raninagar Upazila Health Complex,10672.0
upazilla_epi_TT vial previous stock,Gangachara Upazila Health Complex,2283.0
upazilla_epi_Moni Flag_used,Kashiani Upazila Health Complex,10.0
upazilla_epi_TT Card_used,Nagarkanda Upazila Health Complex,3700.0
upazilla_epi_BCG vial_used,Monirampur Upazila Health Complex,3288.0
upazilla_epi_IPV vial_used,Atrai Upazila Health Complex,477.0
upazilla_epi_Syringe (0.5 ml)_receive,"Golabganj Upazila Health Complex,UHC",116400.0
upazilla_epi_Syringe (3 ml)_receive,Bochaganj Upazila Health Complex,800.0
upazilla_epi_BCG vial_lot number1,Kawkhali Upazila Health Complex,1635
upazilla_epi_MR vial_damaged,Kamarkhanda Upazila Health Complex,0.0
upazilla_epi_Syringe (0.05 ml) previous stock,Satkania Upazila Health Complex,18775.0
upazilla_epi_IPV vial previous stock,Delduar Upazila Health Complex,447.0
upazilla_epi_Child Report Book_used,Tarail Upazila Health Complex,19.0
upazilla_epi_IPV vial_supplied1,Itna Upazila Health Complex,230.0
upazilla_epi_MR Diluent_damaged,Banshkhali Upazila Health Complex,0.0
upazilla_epi_BCG vial_receive,"Kanaighat Upazila Health Complex,Sylhet",2580.0
upazilla_epi_Child register previous stock,Mohanpur Upazila Health Complex,88.0
upazilla_epi_Syringe (0.1 ml) previous stock,Sapahar Upazila Health Complex,7536.0
upazilla_epi_MR Diluent_used,Ghior Upazila Health Complex,1025.0
upazilla_epi_Child register_damaged,Khetlal Upazila Health Complex,0.0
upazilla_epi_TT Card_damaged,Kalkini Upazila Health Complex,0.0
upazilla_epi_BCG Diluent_used,Porsha Upazila Health Complex,947.0
upazilla_epi_Syringe (0.05 ml) previous stock,"Kamalganj Upazila Health Complex,Moulvibazar",3185.0
upazilla_epi_Child register_used,Wazirpur Upazila Health Complex,40.0
upazilla_epi_Women register_damaged,Dumuria Upazila Health Complex,0.0
upazilla_epi_Pentavalent vial_receive,Nagarpur Upazila Health Complex,20640.0
upazilla_epi_Syringe (5 ml)_damaged,"Nabiganj Upazila Health Complex,Habiganj",0.0
upazilla_epi_Child Card_damaged,Dumki Upazila Health Complex,1000.0
upazilla_epi_Syringe (0.05 ml)_used,"Lakhai Upazila Health Complex,Habiganj",4608.0
upazilla_epi_Child register_used,Rajapur Upazila Health Complex,19.0
upazilla_epi_Moni_Flag_previous_stock,Alikadam Upazila Health Complex,470.0
upazilla_epi_TT vial_damaged,Harirampur Upazila Health Complex,0.0
upazilla_epi_Pentavalent vial_used,Modhupur Upazila Health Complex,18280.0
upazilla_epi_Child Report Book_receive,Iswarganj Upazila Health Complex,39.0
upazilla_epi_BCG vial_damaged,Muradnagar Upazila Health Complex,0.0
upazilla_epi_Child Report Bookprevious stock,"Chunarughat Upazila Health Complex,Habiganj",0.0
upazilla_epi_Pentavalent vial_receive,Ramgati Upazila Health Complex,23552.0
upazilla_epi_TT vial_damaged,Batiaghata Upazila Health Complex,0.0
upazilla_epi_TT vial_receive,Melandaha Upazila Health Complex,2780.0
upazilla_epi_Syringe (0.5 ml) previous stock,"Biswanath Upazila Health Complex,Sylhet",261336.0
upazilla_epi_BCG Diluent previous stock,Delduar Upazila Health Complex,1377.0
upazilla_epi_Child register_used,Koyra Upazila Health Complex,0.0
upazilla_epi_TT Card_used,Belabo Upazila Health Complex,2600.0
upazilla_epi_Tally Book (Women)_receive,Harirampur Upazila Health Complex,68.0
upazilla_epi_IPV vial_receive,Palash Upazila Health Complex,522.0
upazilla_epi_MR Diluent_used,Sonagazi Upazila Health Complex,2683.0
upazilla_epi_Moni Flag_receive,Matiranga Upazila Health Complex,29.0
upazilla_epi_Pentavalent vial_damaged,Bhangura Upazila Health Complex,0.0
upazilla_epi_Child Report Bookprevious stock,"Balaganj Upazila Health Complex,Sylhet",109.0
upazilla_epi_Tally Book (Women) previous stock,Mohammadpur Upazila Health Complex,5.0
upazilla_epi_MR Diluent_receive,Panchari Upazila Health Complex,1197.0
upazilla_epi_TT vial_used,Kutubdia Upazila Health Complex,1485.0
upazilla_epi_Tally Book (Women)_damaged,Parsuram Upazila Health Complex,0.0
upazilla_epi_Syringe (0.1 ml)_used,Nachol Upazila Health Complex,6251.0
upazilla_epi_BCG vial_damaged,Mirzapur Upazila Health Complex,24.0
upazilla_epi_MR vial_receive,Faridganj Upazila Health Complex,4550.0
upazilla_epi_Women Report Book_damaged,Dhupchachia Upazila Health Complex,20.0
upazilla_epi_Women register_used,Chatmohar Upazila Health Complex,40.0
upazilla_epi_Women Report Book_used,Borhanuddin Upazila Health Complex,9.0
upazilla_epi_Pentavalent vial previous stock,Lakshmichari Upazila Health Complex,1401.0
upazilla_epi_BCG vial_lot number1,Bhuapur Upazila Health Complex,0
upazilla_epi_IPV vial previous stock,Birganj Upazila Health Complex,1010.0
upazilla_epi_Syringe (0.5 ml) previous stock,"Gowainghat Upazila Health Complex,Sylhet",134500.0
upazilla_epi_Child Card_damaged,Tajumuddin Upazila Health Complex,0.0
upazilla_epi_BCG Diluent_used,Debidwar Upazila Health Complex,4247.0
upazilla_epi_MR Diluent_damaged,Jibannagar Upazila Health Complex,0.0
upazilla_epi_Tally Book (child)_used,Kaliakair Upazila Health Complex,42.0
upazilla_epi_MR vial previous stock,Roujan Upazila Health Complex,4183.0
upazilla_epi_Child Report Book_used,Ghatail Upazila Health Complex,0.0
upazilla_epi_MR Diluent_used,Manda Upazila Health Complex,2827.0
upazilla_epi_Syringe (5 ml)_receive,Aditmari Upazila Health Complex,1230.0
upazilla_epi_Women Report Book_receive,Lohagara Upazila Health Complex,37.0
upazilla_epi_Child Report Bookprevious stock,Kashba Upazila Health Complex,45.0
upazilla_epi_IPV vial_used,Kathalia Upazila Health Complex,263.0
upazilla_epi_Syringe (3 ml)_receive,"Tahirpur Upazila Health Complex,Sunamganj",3100.0
upazilla_epi_OPV vial_used,Mithamoin Upazila Health Complex,1433.0
upazilla_epi_TT Card_damaged,Saidpur Upazila Health Complex,0.0
upazilla_epi_Pentavalent vial_receive,Atghoria Upazila Health Complex,13029.0
upazilla_epi_Moni Flag_used,Burichong Upazila Health Complex,0.0
upazilla_epi_MR vial previous stock,Satkania Upazila Health Complex,4012.0
upazilla_epi_Syringe (0.1 ml) previous stock,Chandanaish Upazila Health Complex,13900.0
