Data,Organisation unit,Value
Gf6lEllg2nM,dNLjKwsVjod,582459.0
lXY1Qn1Xmym,dNLjKwsVjod,2516.0
KrtijNiVXQd,dNLjKwsVjod,5866988.0
CdbqCEN6J1I,dNLjKwsVjod,237365.0
aK1cbe954yX,dNLjKwsVjod,56496.0
j9BXR3fcgBU,dNLjKwsVjod,5960145.0
YmH96Ob0NBP,dNLjKwsVjod,2626610.0
ejwMhgWnnjp,dNLjKwsVjod,41174.0
kTqSo5SnlBi,dNLjKwsVjod,5714189.0
aiQep6Y8DiC,dNLjKwsVjod,6.1918845E7
iWNq47wSHeH,dNLjKwsVjod,35886.0
kpkNrzQTYkG,dNLjKwsVjod,85375.0
XcI4Wjp5L7i,dNLjKwsVjod,1.66073905E8
mxdYJga4Oj9,dNLjKwsVjod,515122.0
F7SY1nlzxsh,dNLjKwsVjod,300431.2
F6DqE5xpTOZ,dNLjKwsVjod,85853.0
oHx6fAhrdRw,dNLjKwsVjod,3146379.0
eNTRf5caxYa,dNLjKwsVjod,37352.0
HH3mbuLQ3Fy,dNLjKwsVjod,110749.0
GLsAX7CoejC,dNLjKwsVjod,192843.0
QUvmRKu2SHI,dNLjKwsVjod,1945.0
Pmkei3034T3,dNLjKwsVjod,2134652.0
lzDaUMzu2sB,dNLjKwsVjod,6182.0
zpF9PXuVzFb,dNLjKwsVjod,1640.0
Z1LFCojJ3oU,dNLjKwsVjod,2755288.0
iPOIupRRbet,dNLjKwsVjod,6218547.0
zpxBh06iewG,dNLjKwsVjod,2615017.0
oFuUltZt2kL,dNLjKwsVjod,1914289.0
mkS9tKtFJwg,dNLjKwsVjod,1.3893485E7
HwX8sJbFytZ,dNLjKwsVjod,3161801.0
hDbw2Z8FinI,dNLjKwsVjod,1755.0
HgCvJyeV8s1,dNLjKwsVjod,383608.0
tJmmzGcJpAJ,dNLjKwsVjod,137259.0
F6Sj0Nemixl,dNLjKwsVjod,308890.2
gCFmCwtKtG9,dNLjKwsVjod,318975.4
lnJZ8U8fAps,dNLjKwsVjod,2634701.3
qC35JBYiNvW,dNLjKwsVjod,198090.0
XdBa916vNo2,dNLjKwsVjod,9165334.0
gxlRbfWMpVx,dNLjKwsVjod,668091.0
qRf4BEqDWEO,dNLjKwsVjod,9701385.0
hveFMwiLEd6,dNLjKwsVjod,3724.0
mSRPxSz7mpC,dNLjKwsVjod,657960.0
sthqDXmS4Nm,dNLjKwsVjod,8659.9
f6Klhc8cltP,dNLjKwsVjod,75646.0
seXaR7uNRXJ,dNLjKwsVjod,409010.0
GMuJ1q2PFFJ,dNLjKwsVjod,106647.0
L3D8zpb45fV,dNLjKwsVjod,6380922.0
CMuwZf2vDD3,dNLjKwsVjod,1706353.0
gkVkv3ffz5v,dNLjKwsVjod,6344457.0
esdiLuANYzJ,dNLjKwsVjod,2009836.0
uv5CVs53ise,dNLjKwsVjod,2220429.0
snj7yyk7H6r,dNLjKwsVjod,945068.0
SeHc7pKhNZ3,dNLjKwsVjod,849.2
nYixxLPGLKg,dNLjKwsVjod,85106.0
VExs9bwa6Mb,dNLjKwsVjod,33401.0
cLca60N5Sz5,dNLjKwsVjod,1338820.0
CzNDOBhTozp,dNLjKwsVjod,9441260.0
W9TGbZMjS1N,dNLjKwsVjod,2172223.0
ildWGF3ceBO,dNLjKwsVjod,2143642.7
LfeSJhYeM50,dNLjKwsVjod,2162171.0
KUD3k3ABNzE,dNLjKwsVjod,280335.0
He5rkYQTRXc,dNLjKwsVjod,34302.0
bWQSZuLmC4h,dNLjKwsVjod,198848.0
Xi0rEcM2dnU,dNLjKwsVjod,1.3724809E7
WsDcPVFfFdD,dNLjKwsVjod,412-1
Gl0BEtUdHIo,dNLjKwsVjod,1.73579E7
S7WmD2KXggR,dNLjKwsVjod,188171.0
XNiO6llG6XA,dNLjKwsVjod,24900.0
JTzAgZJknnZ,dNLjKwsVjod,30415.0
L2LsEE6nsv0,dNLjKwsVjod,4195131.0
iJaOVK1TYbc,dNLjKwsVjod,7221202.1
upazilla_epi_Safety Box_d,dNLjKwsVjod,66953.0
SxNM9MR02Fq,dNLjKwsVjod,27745.5
jeJ3ZSbbg2z,dNLjKwsVjod,180140.0
FHj891Dd9IO,dNLjKwsVjod,36185.0
xhXpgEsWEv9,dNLjKwsVjod,3418387.0
gANxnvWKSYw,dNLjKwsVjod,919827.0
lGxUawh9Rgq,dNLjKwsVjod,2258276.0
hTPF3SgOJWH,dNLjKwsVjod,6661407.0
jSXbWOsbeVM,dNLjKwsVjod,6934833.0
uCak0uhIKX5,dNLjKwsVjod,5215075.0
bUhksJVFOU1,dNLjKwsVjod,1942626.0
faixFpbou4s,dNLjKwsVjod,6474015.0
xej1sxYYCYM,dNLjKwsVjod,34505.0
eb3ByhaTJPc,dNLjKwsVjod,2064384.0
ViTJ0SouxHk,dNLjKwsVjod,745246.0
tfs4ubhi7aS,dNLjKwsVjod,86321.0
ENYJhlIJkdD,dNLjKwsVjod,2554719.0
avwgDjGy5QN,dNLjKwsVjod,6113473.0
wyYeZ43DyVh,dNLjKwsVjod,1998388.0
YRp9K1grg0T,dNLjKwsVjod,55078.0
nAHhMwgUTIC,dNLjKwsVjod,5878531.0
CCYijZzjjn0,dNLjKwsVjod,26490.0
CSmnrn14bzc,dNLjKwsVjod,98567.0
Ya0KM6n2lnV,dNLjKwsVjod,2.9259676E7
zi1A9mHfQnC,dNLjKwsVjod,621837.0
OM8Cr8d7NOm,dNLjKwsVjod,5459572.0
GsVpkzuOvvr,dNLjKwsVjod,5953033.0
bsS9xrHNN7k,dNLjKwsVjod,147801.0
TW5OuZHpb6D,dNLjKwsVjod,2509310.2
iHhFjeFaUE2,dNLjKwsVjod,161402.0
D6DrcyNPJRe,dNLjKwsVjod,1.3628936E7
wl7rSTXZnYH,dNLjKwsVjod,1.7041616E7
vg24BsDISHx,dNLjKwsVjod,2182524.0
tVMfryQtVPM,dNLjKwsVjod,1792757.0
bZlOe4y8Mh5,dNLjKwsVjod,27110.5
sk1epOoCbSF,dNLjKwsVjod,5.10844058E7
CcyZexM0LpH,dNLjKwsVjod,35612.0
PsvlF5jSgI3,dNLjKwsVjod,2387.0
