Data,Organisation unit,Value
upazilla_epi_Syringe (0.05 ml) previous stock,Manoharganj Upazila,16130.0
upazilla_epi_Safety Box_used,Debiganj Upazila,797.0
upazilla_epi_Child register_damaged,Nesarabad Upazila,0.0
upazilla_epi_Safety Box previous stock,Tongibari Upazila,1890.0
upazilla_epi_MR vial_used,Ullahpara Upazila,8475.0
upazilla_epi_Moni_Flag_previous_stock,Shajahanpur Upazila (Majhira),0.0
upazilla_epi_TT Card_used,Bakshiganj Upazila,10600.0
upazilla_epi_Child Card_used,Derai Upazila,11560.0
upazilla_epi_Vitamin A Capsule previous stock,Rupsa Upazila,21366.0
upazilla_epi_BCG vial_damaged,Bahubal Upazila,2.0
upazilla_epi_Syringe (3 ml)_damaged,Tongibari Upazila,0.0
upazilla_epi_Syringe (3 ml) previous stock,Senbag Upazila,120.0
upazilla_epi_MR Diluent_damaged,Chhagalnaiya Upazila,6.0
upazilla_epi_TT Card_received,Madaripur Sadar Upazila,10500.0
upazilla_epi_TT Card_received,Bhanga Upazila,4800.0
upazilla_epi_Child Card_receive,Biral Upazila,8100.0
upazilla_epi_PCV vial_receive,Dhunat Upazila,10800.0
upazilla_epi_Measles Diluent_used,Gobindaganj Upazila,2888.0
upazilla_epi_IPV vial previous stock,Golachipa Upazila,492.0
upazilla_epi_Tally Book (child)_damaged,Bamna Upazila,0.0
upazilla_epi_TT vial_receive,Ajmiriganj Upazila,2226.0
upazilla_epi_BCG vial_receive,Roumari Upazila,3150.0
upazilla_epi_Syringe (0.5 ml)_used,Iswardi Upazila,91595.0
upazilla_epi_Syringe (0.1 ml)_receive,Kalai Upazila,4900.0
upazilla_epi_IPV vial_receive,Nikli Upazila,475.0
upazilla_epi_Syringe (0.5 ml)_receive,Banaripara Upazila,57600.0
upazilla_epi_BCG vial_used,Sreepur Upazila magura,3341.0
upazilla_epi_TT Card_damaged,Maulavi Bazar Sadar Upazila,0.0
upazilla_epi_Syringe (5 ml)_damaged,Dhobaura Upazila,0.0
upazilla_epi_Women register_used,Mujibnagar Upazila,36.0
upazilla_epi_BCG Diluent_used,Singra Upazila,6015.0
upazilla_epi_PCV need,Maheshkhali Upazila,16800.0
upazilla_epi_Women register_damaged,Lakshmichhari Upazila,0.0
upazilla_epi_Tally Book (Women)_used,Shahjadpur Upazila,143.0
upazilla_epi_TT vial_used,Lalmohan Upazila,8520.5
