Data,Organisation unit,Value
ViTJ0SouxHk,4047,28094.0
KrtijNiVXQd,5064,85533.0
upazilla_epi_Safety Box_d,4044,280.0
lzDaUMzu2sB,3072,77.0
uv5CVs53ise,3089,23769.0
tJmmzGcJpAJ,5081,2243.0
mkS9tKtFJwg,2013,694220.0
hveFMwiLEd6,3033,12.0
Ya0KM6n2lnV,3093,139450.0
SxNM9MR02Fq,5076,826.0
ildWGF3ceBO,3054,22956.0
zpF9PXuVzFb,1009,948.0
lGxUawh9Rgq,3086,35395.0
CCYijZzjjn0,6091,677.0
kpkNrzQTYkG,3061,1176.0
eb3ByhaTJPc,5573,27198.0
HH3mbuLQ3Fy,5088,979.0
CzNDOBhTozp,5069,97113.0
nYixxLPGLKg,4055,0.0
He5rkYQTRXc,3089,276.0
CcyZexM0LpH,4087,660.0
aiQep6Y8DiC,1004,624399.0
Gf6lEllg2nM,5585,0.0
VExs9bwa6Mb,1042,112.0
SxNM9MR02Fq,3068,534.0
seXaR7uNRXJ,2022,0.0
tfs4ubhi7aS,3033,305.0
ildWGF3ceBO,4055,12627.0
QUvmRKu2SHI,5594,0.0
lnJZ8U8fAps,1078,30665.0
SxNM9MR02Fq,3082,275.0
TW5OuZHpb6D,3086,31735.0
gxlRbfWMpVx,5549,407.0
GsVpkzuOvvr,4055,18700.0
eb3ByhaTJPc,4018,20096.0
Gl0BEtUdHIo,5010,412718.0
KrtijNiVXQd,4044,64391.0
SxNM9MR02Fq,3059,586.0
XNiO6llG6XA,3056,629.0
zpF9PXuVzFb,5552,0.0
FHj891Dd9IO,5577,239.0
f6Klhc8cltP,2022,549.0
seXaR7uNRXJ,3089,0.0
uv5CVs53ise,3048,56722.0
Ya0KM6n2lnV,3061,814800.0
L3D8zpb45fV,6090,131970.0
Pmkei3034T3,1009,39533.0
cLca60N5Sz5,5594,19294.0
CzNDOBhTozp,1079,94523.0
f6Klhc8cltP,3089,205.0
nYixxLPGLKg,3054,0.0
GMuJ1q2PFFJ,3082,8.0
gCFmCwtKtG9,3039,4888.0
ViTJ0SouxHk,3048,480.0
gCFmCwtKtG9,1006,5875.0
gANxnvWKSYw,4050,483.0
f6Klhc8cltP,4047,2502.0
upazilla_epi_Safety Box_d,5064,1314.0
hDbw2Z8FinI,4087,0.0
FHj891Dd9IO,5585,676.0
GMuJ1q2PFFJ,5076,4575.0
He5rkYQTRXc,3048,852.0
seXaR7uNRXJ,4047,6056.0
JTzAgZJknnZ,4050,421.0
mSRPxSz7mpC,5532,5389.0
xej1sxYYCYM,5585,552.0
j9BXR3fcgBU,5527,135776.0
bWQSZuLmC4h,3067,0.0
tfs4ubhi7aS,4087,44.0
CdbqCEN6J1I,3086,0.0
VExs9bwa6Mb,5064,569.0
CzNDOBhTozp,1009,119209.0
gkVkv3ffz5v,5064,58907.0
JTzAgZJknnZ,4041,95.0
gxlRbfWMpVx,5573,763.0
eNTRf5caxYa,3093,962.0
tfs4ubhi7aS,4057,0.0
S7WmD2KXggR,5088,3986.0
qRf4BEqDWEO,6091,130884.0
WsDcPVFfFdD,3072,400-1
faixFpbou4s,4047,62300.0
jeJ3ZSbbg2z,4065,21.0
lGxUawh9Rgq,3056,35228.0
mSRPxSz7mpC,5069,8.0
F7SY1nlzxsh,3054,0.0
wl7rSTXZnYH,3026,1079698.0
CCYijZzjjn0,5549,480.0
lzDaUMzu2sB,5532,0.0
KrtijNiVXQd,1042,21861.0
HgCvJyeV8s1,3086,4029.0
F7SY1nlzxsh,4055,671.0
CcyZexM0LpH,1042,452.0
CSmnrn14bzc,3086,669.0
He5rkYQTRXc,4047,634.0
lnJZ8U8fAps,3072,71861.0
gANxnvWKSYw,5088,1169.0
kpkNrzQTYkG,3068,115.0
ildWGF3ceBO,2013,29810.0
CcyZexM0LpH,4044,563.0
CMuwZf2vDD3,4057,8740.0
qRf4BEqDWEO,4018,83370.0
CCYijZzjjn0,5594,323.0
ViTJ0SouxHk,3089,0.0
Gl0BEtUdHIo,2030,224588.0
zi1A9mHfQnC,5594,336.0
VExs9bwa6Mb,4087,594.0
oHx6fAhrdRw,3039,56476.0
KUD3k3ABNzE,5081,2527.0
iWNq47wSHeH,2084,83.0
jSXbWOsbeVM,4001,53169.0
sthqDXmS4Nm,2003,0.16
WsDcPVFfFdD,1079,406
GMuJ1q2PFFJ,3059,108.0
JTzAgZJknnZ,2075,2310.0
hDbw2Z8FinI,1042,15.0
F7SY1nlzxsh,3056,8893.8
nYixxLPGLKg,2013,0.0
xej1sxYYCYM,4065,162.0
GMuJ1q2PFFJ,3068,7342.0
hDbw2Z8FinI,3033,0.0
uv5CVs53ise,2022,40854.0
JTzAgZJknnZ,2019,637.0
WsDcPVFfFdD,5532,410
CCYijZzjjn0,5573,358.0
VExs9bwa6Mb,4044,467.0
uv5CVs53ise,3026,95905.0
CMuwZf2vDD3,3033,73314.0
CMuwZf2vDD3,5527,32578.0
qC35JBYiNvW,2015,23558.0
seXaR7uNRXJ,2084,100.0
vg24BsDISHx,2046,19796.0
nYixxLPGLKg,5010,0.0
nYixxLPGLKg,2030,0.0
mxdYJga4Oj9,3059,6278.0
tfs4ubhi7aS,5527,454.0
jeJ3ZSbbg2z,5577,160.0
Gl0BEtUdHIo,3054,181781.0
hDbw2Z8FinI,4044,28.0
kpkNrzQTYkG,3059,0.0
upazilla_epi_Safety Box_d,4087,0.0
KUD3k3ABNzE,2030,1440.0
S7WmD2KXggR,4050,2762.0
XNiO6llG6XA,3086,412.0
bZlOe4y8Mh5,5070,366.0
seXaR7uNRXJ,3026,0.0
W9TGbZMjS1N,4050,37747.0
L3D8zpb45fV,2051,67826.0
QUvmRKu2SHI,6091,0.0
KUD3k3ABNzE,5010,243.0
CdbqCEN6J1I,3039,0.0
kpkNrzQTYkG,3082,0.0
hveFMwiLEd6,1042,14.0
tJmmzGcJpAJ,5010,4505.0
faixFpbou4s,3089,51520.0
WsDcPVFfFdD,5069,037g5280
CcyZexM0LpH,3033,320.0
mkS9tKtFJwg,3086,340905.0
aK1cbe954yX,6058,400.0
CzNDOBhTozp,5532,181850.0
j9BXR3fcgBU,4057,22169.0
ENYJhlIJkdD,3086,10.0
CCYijZzjjn0,4018,169.0
VExs9bwa6Mb,3033,300.0
XcI4Wjp5L7i,6091,3834243.0
hveFMwiLEd6,4087,0.0
Xi0rEcM2dnU,5573,96740.0
mkS9tKtFJwg,3054,226270.0
jeJ3ZSbbg2z,5585,0.0
L2LsEE6nsv0,2046,23855.0
kpkNrzQTYkG,5076,0.0
Pmkei3034T3,5527,59711.0
Ya0KM6n2lnV,3059,72027.0
