Data,Organisation unit,Value
He5rkYQTRXc,10001056,62.0
mkS9tKtFJwg,10001636,20260.0
vg24BsDISHx,10001074,910.0
j9BXR3fcgBU,10001200,10400.0
cLca60N5Sz5,10002138,3657.0
D6DrcyNPJRe,10000546,328.0
xhXpgEsWEv9,10001518,3163.0
upazilla_epi_Safety Box_d,10000277,20.0
lnJZ8U8fAps,10001671,3107.0
uCak0uhIKX5,10000307,5500.0
zpF9PXuVzFb,10001904,0.0
hTPF3SgOJWH,10001826,9350.0
LfeSJhYeM50,10001780,2646.0
j9BXR3fcgBU,10002063,9600.0
tfs4ubhi7aS,10000897,0.0
tfs4ubhi7aS,10000581,0.0
OM8Cr8d7NOm,10001997,9047.0
SxNM9MR02Fq,10000151,65.0
zpF9PXuVzFb,10000792,0.0
eNTRf5caxYa,10002304,50.0
GLsAX7CoejC,10000253,0.0
wl7rSTXZnYH,10001824,26934.0
tJmmzGcJpAJ,10001019,58.0
CzNDOBhTozp,10002039,38141.0
Pmkei3034T3,10000182,2566.0
eb3ByhaTJPc,10000098,2091.0
hDbw2Z8FinI,10001230,0.0
Z1LFCojJ3oU,10001426,5574.0
aiQep6Y8DiC,10001678,105400.0
CcyZexM0LpH,10000095,31.0
mkS9tKtFJwg,10002077,12188.0
tJmmzGcJpAJ,10001412,362.0
XdBa916vNo2,10001763,9965.0
kpkNrzQTYkG,10000288,0.0
nYixxLPGLKg,10000875,0.0
jSXbWOsbeVM,10000706,8372.0
Gf6lEllg2nM,10001997,0.0
tJmmzGcJpAJ,10001472,181.0
Gf6lEllg2nM,10002029,0.0
gCFmCwtKtG9,10001882,602.0
F7SY1nlzxsh,10000212,860.0
SxNM9MR02Fq,10000505,54.0
avwgDjGy5QN,10002160,9600.0
Gl0BEtUdHIo,10001543,17824.0
lXY1Qn1Xmym,10000544,0.0
zpF9PXuVzFb,10001438,0.0
ildWGF3ceBO,10002015,2568.0
Gf6lEllg2nM,10001817,0.0
cLca60N5Sz5,10001193,1803.0
uCak0uhIKX5,10001656,15600.0
PsvlF5jSgI3,10000802,0.0
F7SY1nlzxsh,10000468,0.0
KrtijNiVXQd,10000847,9500.0
upazilla_epi_Safety Box_d,10001885,280.0
aiQep6Y8DiC,10002231,96000.0
W9TGbZMjS1N,10000857,9000.0
jeJ3ZSbbg2z,10002206,0.0
oFuUltZt2kL,10001594,4503.0
OM8Cr8d7NOm,10002029,5700.0
Z1LFCojJ3oU,10002136,4725.0
nYixxLPGLKg,10000080,0.0
aiQep6Y8DiC,10000232,107401.0
F7SY1nlzxsh,10001701,0.0
esdiLuANYzJ,10002206,1335.0
L2LsEE6nsv0,10000146,7200.0
S7WmD2KXggR,10000466,379.0
Xi0rEcM2dnU,10001330,14130.0
FHj891Dd9IO,HS_27480001000,135.0
aK1cbe954yX,10000430,40.0
JTzAgZJknnZ,10001122,0.0
W9TGbZMjS1N,10002152,2570.0
eNTRf5caxYa,10000358,110.0
wyYeZ43DyVh,10001984,2604.0
faixFpbou4s,10000083,36005.0
avwgDjGy5QN,10001760,7300.0
snj7yyk7H6r,10002210,0.0
YRp9K1grg0T,10001363,24.0
uv5CVs53ise,10001459,4440.0
snj7yyk7H6r,10001997,400.0
iWNq47wSHeH,10002094,75.0
hveFMwiLEd6,10002172,0.0
tfs4ubhi7aS,10001072,99.0
hveFMwiLEd6,10000961,0.0
ViTJ0SouxHk,10001937,0.0
LfeSJhYeM50,10001031,5487.0
lnJZ8U8fAps,10000601,5935.0
CdbqCEN6J1I,10000640,0.0
F7SY1nlzxsh,10000852,0.0
tJmmzGcJpAJ,10000634,79.0
CMuwZf2vDD3,10000563,3926.0
hTPF3SgOJWH,10000369,18600.0
nAHhMwgUTIC,10001891,11361.0
faixFpbou4s,10000191,19400.0
ildWGF3ceBO,10001914,2248.0
upazilla_epi_Safety Box_d,10001734,0.0
kTqSo5SnlBi,10001031,5315.0
Xi0rEcM2dnU,10000074,26380.0
SeHc7pKhNZ3,10013108,0.0
bsS9xrHNN7k,10001421,172.0
D6DrcyNPJRe,10002058,8823.0
wyYeZ43DyVh,10000619,5567.0
F7SY1nlzxsh,10000383,0.0
YRp9K1grg0T,10000443,87.0
ildWGF3ceBO,10000729,7442.0
oFuUltZt2kL,10001085,841.0
ENYJhlIJkdD,10001547,0.0
gxlRbfWMpVx,10001712,59.0
mSRPxSz7mpC,10000658,0.0
XNiO6llG6XA,10000852,89.0
CzNDOBhTozp,10001904,12312.0
FHj891Dd9IO,10000829,10.0
kTqSo5SnlBi,10001780,198.0
TW5OuZHpb6D,10000934,7725.0
kTqSo5SnlBi,10000969,3144.0
faixFpbou4s,10000373,14000.0
YmH96Ob0NBP,10000926,4600.0
iPOIupRRbet,10001502,4433.0
hveFMwiLEd6,10000725,0.0
bWQSZuLmC4h,10001848,0.0
bUhksJVFOU1,10001080,1278.0
xej1sxYYCYM,10000258,272.0
snj7yyk7H6r,10000258,0.0
L3D8zpb45fV,10000188,18407.0
gANxnvWKSYw,10000857,0.0
qRf4BEqDWEO,10000098,8850.0
VExs9bwa6Mb,10000095,80.0
gkVkv3ffz5v,10000595,1000.0
YRp9K1grg0T,10002027,24.0
aiQep6Y8DiC,10001417,61000.0
hveFMwiLEd6,10000415,0.0
Z1LFCojJ3oU,10000470,2415.0
hveFMwiLEd6,10001230,0.0
OM8Cr8d7NOm,10001817,5000.0
iPOIupRRbet,10000470,2440.0
oFuUltZt2kL,10000355,3236.0
OM8Cr8d7NOm,10000258,10300.0
wyYeZ43DyVh,10002056,1740.0
f6Klhc8cltP,10000191,7.0
Gl0BEtUdHIo,10001412,20372.0
eb3ByhaTJPc,10001579,4176.0
iWNq47wSHeH,10000167,16.0
uCak0uhIKX5,10000120,8700.0
iPOIupRRbet,10001763,6613.0
qRf4BEqDWEO,10001579,4300.0
gkVkv3ffz5v,10000665,3000.0
F6Sj0Nemixl,10001363,477.0
aiQep6Y8DiC,10002182,116400.0
YmH96Ob0NBP,10001201,1900.0
kpkNrzQTYkG,10002304,0.0
WsDcPVFfFdD,10001077,1635
F6DqE5xpTOZ,10001630,0.0
Xi0rEcM2dnU,10000835,26215.0
qC35JBYiNvW,10000591,447.0
bZlOe4y8Mh5,10000253,76.0
iHhFjeFaUE2,10000234,230.0
tfs4ubhi7aS,10000734,0.0
wyYeZ43DyVh,10002189,4800.0
tJmmzGcJpAJ,10001543,140.0
kpkNrzQTYkG,10001792,0.0
jSXbWOsbeVM,10001415,7536.0
LfeSJhYeM50,10000281,2757.0
lXY1Qn1Xmym,10001303,0.0
Gf6lEllg2nM,10000258,0.0
kpkNrzQTYkG,10001801,0.0
nYixxLPGLKg,10001147,0.0
oFuUltZt2kL,10001405,1667.0
Xi0rEcM2dnU,10002101,6385.0
xej1sxYYCYM,10001997,167.0
lzDaUMzu2sB,10001799,0.0
Gl0BEtUdHIo,10000634,39940.0
ViTJ0SouxHk,10002094,0.0
CdbqCEN6J1I,10002035,1000.0
seXaR7uNRXJ,10001459,0.0
hTPF3SgOJWH,10002085,8713.0
xej1sxYYCYM,10002029,40.0
S7WmD2KXggR,10000652,624.0
GMuJ1q2PFFJ,10000288,0.0
mxdYJga4Oj9,HS_27480050000,640.0
wl7rSTXZnYH,10000629,37503.0
XNiO6llG6XA,10000383,80.0
nYixxLPGLKg,10001333,0.0
bWQSZuLmC4h,10000903,0.0
aK1cbe954yX,10002078,2.0
Gl0BEtUdHIo,10001019,43852.0
jeJ3ZSbbg2z,10001870,0.0
GMuJ1q2PFFJ,10001792,331.0
nYixxLPGLKg,10001095,0.0
zpxBh06iewG,10000218,6200.0
XcI4Wjp5L7i,10002177,341036.0
cLca60N5Sz5,10000591,3735.0
xej1sxYYCYM,10001817,17.0
uCak0uhIKX5,10000436,12695.0
eNTRf5caxYa,10000288,68.0
gCFmCwtKtG9,10000456,522.0
LfeSJhYeM50,10000969,5293.0
JTzAgZJknnZ,10000983,29.0
KUD3k3ABNzE,10001473,0.0
aK1cbe954yX,10002164,164.0
CSmnrn14bzc,10001882,31.0
vg24BsDISHx,10000988,2347.0
TW5OuZHpb6D,10000924,3250.0
hDbw2Z8FinI,10000961,0.0
mSRPxSz7mpC,10001671,0.0
KrtijNiVXQd,10001168,6251.0
bWQSZuLmC4h,10000619,24.0
W9TGbZMjS1N,10000706,8800.0
PsvlF5jSgI3,10001117,20.0
CcyZexM0LpH,10001479,67.0
SxNM9MR02Fq,10002004,26.0
CzNDOBhTozp,10000978,3013.0
WsDcPVFfFdD,10000586,0
qC35JBYiNvW,10001193,1010.0
nYixxLPGLKg,10001224,0.0
XcI4Wjp5L7i,10002186,235700.0
CdbqCEN6J1I,10002018,0.0
oFuUltZt2kL,10000883,7599.0
tfs4ubhi7aS,10001734,0.0
YRp9K1grg0T,10000141,57.0
tVMfryQtVPM,10000817,9191.0
bZlOe4y8Mh5,10000601,0.0
LfeSJhYeM50,10001382,6423.0
L2LsEE6nsv0,10001339,2430.0
CCYijZzjjn0,10002211,67.0
aK1cbe954yX,10000678,45.0
F6Sj0Nemixl,10002027,263.0
YmH96Ob0NBP,10002160,5100.0
seXaR7uNRXJ,10001622,0.0
lnJZ8U8fAps,10000249,1629.0
Gf6lEllg2nM,10001470,0.0
Gl0BEtUdHIo,10001472,25029.0
iWNq47wSHeH,10000847,4.0
tVMfryQtVPM,10000835,9436.0
jSXbWOsbeVM,10000748,13900.0
cLca60N5Sz5,10000379,5166.0
gxlRbfWMpVx,10000461,0.0
gxlRbfWMpVx,10002211,0.0
upazilla_epi_Safety Box_d,10001072,69.0
oFuUltZt2kL,10000992,4502.0
oHx6fAhrdRw,10001790,7902.0
He5rkYQTRXc,10001455,91.0
aiQep6Y8DiC,10001476,139848.0
GsVpkzuOvvr,10002035,1000.0
qC35JBYiNvW,10002138,220.0
CSmnrn14bzc,10000924,15.0
WsDcPVFfFdD,10001759,400-2
Pmkei3034T3,10002063,4548.0
OM8Cr8d7NOm,10000317,12080.0
bWQSZuLmC4h,10001984,0.0
hveFMwiLEd6,10000347,0.0
Gf6lEllg2nM,10000317,0.0
tJmmzGcJpAJ,10000979,195.0
bUhksJVFOU1,10000241,7407.0
kTqSo5SnlBi,10001744,23727.0
Gl0BEtUdHIo,10000729,48759.0
Z1LFCojJ3oU,10001502,4298.0
lGxUawh9Rgq,10000852,6350.0
F6DqE5xpTOZ,10001719,0.0
eNTRf5caxYa,10001792,98.0
seXaR7uNRXJ,10002088,0.0
GsVpkzuOvvr,10002018,2300.0
KUD3k3ABNzE,10001481,5.0
CCYijZzjjn0,10001712,46.0
bUhksJVFOU1,10000781,14948.0
tJmmzGcJpAJ,10001963,107.0
oHx6fAhrdRw,10002149,7468.0
CSmnrn14bzc,10000934,59.0
kpkNrzQTYkG,10001226,0.0
CSmnrn14bzc,10001147,107.0
gANxnvWKSYw,10000892,0.0
kTqSo5SnlBi,10001933,432.0
XcI4Wjp5L7i,10002212,50350.0
Pmkei3034T3,10001200,5292.0
jSXbWOsbeVM,10001313,0.0
kTqSo5SnlBi,10000281,2207.0
OM8Cr8d7NOm,10001470,9829.0
zpF9PXuVzFb,10000347,0.0
CdbqCEN6J1I,10001790,0.0
CdbqCEN6J1I,10002106,200.0
zi1A9mHfQnC,10001984,0.0
lGxUawh9Rgq,10000383,7011.0
QUvmRKu2SHI,10001948,0.0
F6Sj0Nemixl,10000969,584.0
D6DrcyNPJRe,10001539,35654.0
aiQep6Y8DiC,10001450,142000.0
CzNDOBhTozp,10000792,41118.0
kTqSo5SnlBi,10000551,27695.0
XdBa916vNo2,10001272,12840.0
eNTRf5caxYa,10001797,71.0
kpkNrzQTYkG,10001115,0.0
tJmmzGcJpAJ,10001914,10.0
PsvlF5jSgI3,10002214,0.0
zpF9PXuVzFb,10002039,0.0
WsDcPVFfFdD,10002213,402
sthqDXmS4Nm,10000546,0.0
He5rkYQTRXc,10002130,107.0
iJaOVK1TYbc,10002160,8300.0
VExs9bwa6Mb,10001479,81.0
esdiLuANYzJ,HS_27480001000,910.0
TW5OuZHpb6D,10002097,3034.0
XNiO6llG6XA,10001547,40.0
CSmnrn14bzc,10001706,16.0
tfs4ubhi7aS,10000277,0.0
CMuwZf2vDD3,10001168,1662.0
lnJZ8U8fAps,10000658,1535.0
CdbqCEN6J1I,10001771,0.0
sk1epOoCbSF,10001224,43727.0
iWNq47wSHeH,10001455,4.0
cLca60N5Sz5,10001067,2383.0
mkS9tKtFJwg,10001737,7847.0
qRf4BEqDWEO,10000323,14208.0
esdiLuANYzJ,10001870,1802.0
wl7rSTXZnYH,10001902,11710.0
GLsAX7CoejC,10001667,0.0
xhXpgEsWEv9,10001083,1417.0
uv5CVs53ise,10001523,5020.0
KrtijNiVXQd,10002094,19300.0
qC35JBYiNvW,10000661,95.0
ildWGF3ceBO,10001737,3014.0
gCFmCwtKtG9,10000934,1008.0
F6Sj0Nemixl,10001933,460.0
sthqDXmS4Nm,10001928,11.9
GsVpkzuOvvr,10000420,4400.0
wl7rSTXZnYH,10000252,41474.0
qRf4BEqDWEO,10000274,3500.0
GsVpkzuOvvr,10002106,6000.0
L3D8zpb45fV,10001828,4825.0
Ya0KM6n2lnV,10002130,541882.0
Gl0BEtUdHIo,10001500,17500.0
sk1epOoCbSF,10001945,52700.0
qRf4BEqDWEO,10001629,10940.0
XcI4Wjp5L7i,10000489,92100.0
wl7rSTXZnYH,10000986,9128.0
zpF9PXuVzFb,10000961,0.0
YmH96Ob0NBP,10002085,1600.0
HH3mbuLQ3Fy,10000983,44.0
CMuwZf2vDD3,10001506,3934.0
oHx6fAhrdRw,10002209,5619.0
CzNDOBhTozp,10002125,22865.0
bUhksJVFOU1,10001785,5007.0
Z1LFCojJ3oU,10001272,4650.0
gxlRbfWMpVx,10000074,0.0
QUvmRKu2SHI,10001712,14.0
ejwMhgWnnjp,10000146,80.0
iPOIupRRbet,10002136,4536.0
L3D8zpb45fV,10001342,9804.0
hDbw2Z8FinI,10000415,0.0
SxNM9MR02Fq,10000613,58.0
nYixxLPGLKg,10001571,0.0
F6Sj0Nemixl,10000551,530.0
xej1sxYYCYM,10002210,156.0
GMuJ1q2PFFJ,10000358,0.0
qRf4BEqDWEO,10002033,43495.0
uv5CVs53ise,10002088,4786.0
LfeSJhYeM50,10000505,3944.0
Pmkei3034T3,10000249,2247.0
sthqDXmS4Nm,10001930,0.0
jeJ3ZSbbg2z,10001624,0.0
j9BXR3fcgBU,10000182,4480.0
uv5CVs53ise,10001622,2235.0
ENYJhlIJkdD,10001070,0.0
uCak0uhIKX5,10001629,12062.0
XNiO6llG6XA,10000468,37.0
zpF9PXuVzFb,10000415,0.0
XNiO6llG6XA,10000212,52.0
tJmmzGcJpAJ,10002015,137.0
XdBa916vNo2,10001502,408.0
SxNM9MR02Fq,10000281,48.0
bWQSZuLmC4h,10000567,0.0
mxdYJga4Oj9,10013108,425.0
cLca60N5Sz5,10001918,2424.0
CdbqCEN6J1I,10000420,0.0
KrtijNiVXQd,10001506,9400.0
CCYijZzjjn0,10000461,62.0
jSXbWOsbeVM,10002152,32525.0
F6Sj0Nemixl,10001744,549.0
bWQSZuLmC4h,10000656,0.0
tJmmzGcJpAJ,10000482,607.0
iHhFjeFaUE2,10000838,0.0
faixFpbou4s,10001502,2900.0
zpxBh06iewG,10001997,4293.0
SeHc7pKhNZ3,10002188,0.0
CSmnrn14bzc,10000456,242.0
avwgDjGy5QN,10001201,3000.0
eb3ByhaTJPc,10001719,5994.0
LfeSJhYeM50,10000551,5082.0
S7WmD2KXggR,10000472,12.0
qC35JBYiNvW,10000379,492.0
Gl0BEtUdHIo,10002077,61150.0
gANxnvWKSYw,10000518,0.0
zi1A9mHfQnC,10000303,0.0
hTPF3SgOJWH,10000926,6720.0
nYixxLPGLKg,10001945,0.0
tVMfryQtVPM,10000461,3586.0
jSXbWOsbeVM,10000903,2800.0
seXaR7uNRXJ,10001523,0.0
xhXpgEsWEv9,10001442,4243.0
Pmkei3034T3,10001671,3952.0
tfs4ubhi7aS,10001280,0.0
hDbw2Z8FinI,10000665,0.0
sthqDXmS4Nm,10001539,0.16
xhXpgEsWEv9,10001370,5943.0
ViTJ0SouxHk,10000847,0.0
QUvmRKu2SHI,10002211,0.0
KUD3k3ABNzE,10000333,3.0
bWQSZuLmC4h,10000748,245.0
HwX8sJbFytZ,10001279,12100.0
xhXpgEsWEv9,10000241,7100.0
XcI4Wjp5L7i,10001947,84572.0
CSmnrn14bzc,10001603,412.0
SxNM9MR02Fq,10001031,33.0
gxlRbfWMpVx,10001948,0.0
CdbqCEN6J1I,10002209,0.0
HwX8sJbFytZ,10001785,7015.0
SeHc7pKhNZ3,10002069,0.0
WsDcPVFfFdD,10000541,401-1
HH3mbuLQ3Fy,10000660,55.0
VExs9bwa6Mb,10001305,650.0
XcI4Wjp5L7i,10001067,106035.0
F6DqE5xpTOZ,10000274,0.0
iPOIupRRbet,10000083,8220.0
XdBa916vNo2,10000191,900.0
lXY1Qn1Xmym,10001963,0.0
CCYijZzjjn0,10000074,104.0
GMuJ1q2PFFJ,10001797,20179.0
CcyZexM0LpH,10001200,108.0
wyYeZ43DyVh,10001848,5630.0
kTqSo5SnlBi,10000151,0.0
gCFmCwtKtG9,10002164,940.0
mkS9tKtFJwg,10000634,14000.0
JTzAgZJknnZ,10002069,13.0
CzNDOBhTozp,10002074,10231.0
avwgDjGy5QN,10001891,1600.0
HH3mbuLQ3Fy,10001575,5.0
esdiLuANYzJ,10000234,1554.0
YmH96Ob0NBP,10001760,3000.0
nAHhMwgUTIC,10002186,16619.0
Z1LFCojJ3oU,10000721,3525.0
WsDcPVFfFdD,10002243,397
Pmkei3034T3,10001305,4367.0
CzNDOBhTozp,10000961,47411.0
CMuwZf2vDD3,10001077,618.0
sk1epOoCbSF,10001333,78369.0
