Data,Organisation unit,Value
x0niIhTQ6Zp,4047,882600.0
mZEciaYEO2F,6058,424.0
x0niIhTQ6Zp,2022,418000.0
t7R1nPnijIS,5577,0.0
mZEciaYEO2F,3035,0.0
uMYdRCYbQIx,3026,300.0
Z4qk8nfmByw,1009,40600.0
sKDaMKl5l8B,4057,54000.0
fYwQk0kZSGz,2075,584556.0
rI2KhvPB8bc,6036,43700.0
B3cD6xw0bdd,4055,35190.0
HJv3z3HMfwe,3035,0.0
DxD75aAjPZX,2012,135915.0
rAHEGe7ojkW,2051,56300.0
eFh3qRWUZ6J,6090,224900.0
UCGOdxDpp7f,5577,2270.0
tU5blh4Sf1g,3054,0.0
rI2KhvPB8bc,2046,18050.0
LJqc2PzQXUQ,3093,65750.0
wdwq9OjQM9X,1079,389.0
Hg50j7QSZkj,3061,18344.0
VouoJHkBGM2,3035,1421.0
GKIvTeIzm8a,1042,9600.0
gEWalgNl9nv,5594,75890.0
dduEFRLdBkG,1004,23300.0
UCEzCnZ2uMU,3056,12400.0
JP5gc0KndnS,5577,0.0
z4H3Cf1TBdv,5081,5496.0
wdwq9OjQM9X,5069,521.0
KdtFfYYba1N,4087,900.0
xCfb2c0O3W7,3086,0.0
ypha3z6EAQb,3029,92100.0
PKADDt7JqKA,3054,0.0
spnTnEPMoV2,3056,0.0
lsZxT6F4VB7,3082,28.0
lsZxT6F4VB7,5076,0.0
Ol1mHdriFTl,5594,216500.0
agtTSoHQ1lC,2012,74900.0
B3cD6xw0bdd,3054,35450.0
w5pQTE562o8,2022,670.0
dPmAWC4B6tk,5010,759.0
dPmAWC4B6tk,2030,20.0
Z4qk8nfmByw,5552,25700.0
KbclS7eKPnj,6036,8.0
t7R1nPnijIS,5585,0.0
x0niIhTQ6Zp,3089,261800.0
w5pQTE562o8,4047,900.0
VFBlxubf91a,5069,0.0
xDlpgVnDwJI,3029,141700.0
hX7tWBJGkHx,5577,5175.0
tU5blh4Sf1g,4055,60750.0
N3uRZCdBUmD,3061,10228.0
KOPQYkNFLCb,4041,46800.0
PRQ9vEkHewZ,2012,1874000.0
OA4roSFWRqP,3072,0.0
y6s47PZmAGR,5010,1650.0
J3c2bNGLgsP,3082,252.0
t0XOoSnjuh0,4087,46000.0
Q3s3MHk9baj,3033,6000.0
y6s47PZmAGR,2030,0.0
Np6aLfUKsiY,3029,0.0
vDJieZ8l3to,2015,910.0
iJNCzfcJQDP,5573,4310.0
xdFxvVan8cF,5076,0.0
rAHEGe7ojkW,6090,81500.0
J3c2bNGLgsP,5076,0.0
Mb4JAEiVGMB,3086,630.0
w5pQTE562o8,3089,300.0
sKDaMKl5l8B,3033,107300.0
WZZYFo010BE,5064,0.0
NNOVbKmgtM9,4065,0.0
wdwq9OjQM9X,1009,608.0
B3cD6xw0bdd,2013,75300.0
cmOsp0Z3VzY,2084,12600.0
P7k5AQ3aiJt,5527,0.0
N3uRZCdBUmD,3093,13505.0
lsZxT6F4VB7,3061,1918.0
T6PJcVzNlsY,3054,225.0
N3uRZCdBUmD,5076,21.0
P7k5AQ3aiJt,5552,300.0
e7cvZaj2l9t,2022,0.0
OA4roSFWRqP,1078,0.0
w5pQTE562o8,3048,780.0
GKIvTeIzm8a,4087,9144800.0
cc3m9THocqU,3048,0.0
Pbb7Lp0qJax,5038,0.0
Z4qk8nfmByw,5069,31950.0
hX7tWBJGkHx,5585,8000.0
fYwQk0kZSGz,2019,1046050.0
sFOBAM5f4Uv,5585,0.0
gEWalgNl9nv,6091,152506.0
hHCzmfaeXIl,2030,44685.0
N3uRZCdBUmD,3082,653.0
N3uRZCdBUmD,3068,692.0
ppc3Td7TJkO,4065,0.0
RI8gr2keRVF,3061,0.0
APwgxGQ8nfN,4001,0.0
hHCzmfaeXIl,5010,114520.0
dPmAWC4B6tk,5081,625.0
Hg50j7QSZkj,3068,34.0
TyueOFc3XNr,2051,67.0
PgqcWC1fMtv,3026,392400.0
cc3m9THocqU,3089,0.0
PgqcWC1fMtv,3048,275500.0
sFOBAM5f4Uv,5577,0.0
PRQ9vEkHewZ,3067,1454800.0
vS8vKwOrvZb,3067,11675.0
t0XOoSnjuh0,3033,158000.0
UCEzCnZ2uMU,3086,10100.0
wdwq9OjQM9X,5532,539.0
PgqcWC1fMtv,2022,302000.0
QO4D614g3Wi,5577,24455.0
MlNK8OmM5eZ,5081,0.0
ZN37IwOVKKE,4018,23474.0
RI8gr2keRVF,3093,0.0
W772FeICk0O,3059,0.0
ZAF3vaG4A8a,5594,24360.0
