Data,Organisation unit,Value
dist_epi_TT Card_used,Bangladesh,3803109.0
dist_epi_BCG_vial current,Bangladesh,1855.0
dist_epi_PCV vial_receive,Bangladesh,1.14314E7
dist_epi_Syringe (5 ml)_damaged,Bangladesh,23468.0
dist_epi_MR vial_used,Bangladesh,2919147.0
dist_epi_Women register_damaged,Bangladesh,338.0
dist_epi_Child Card_used,Bangladesh,6169134.0
dist_epi_ILR_Functional,Bangladesh,479.0
dist_epi_PCV need,Bangladesh,4808124.0
dist_epi_Tally Book (Women)_received,Bangladesh,44620.0
dist_epi_Women register_received,Bangladesh,54443.0
dist_epi_MR_Diluent_PreviousStock,Bangladesh,4747508.0
dist_epi_TT Card_received,Bangladesh,3814895.0
dist_epi_BCG_vial_receive,Bangladesh,2376910.0
dist_epi_Syringe (0.1 ml) current stock,Bangladesh,42900.0
dist_epi_ILR_Repairable,Bangladesh,77.0
dist_epi_Safety Box_damaged,Bangladesh,1583.0
dist_epi_TT vial_received,Bangladesh,3304241.0
dist_epi_Duster_available stock,Bangladesh,217751.0
dist_epi_Pentavalent_Vial_used,Bangladesh,2.116516E7
dist_epi_MR Diluent_used,Bangladesh,2895258.0
dist_epi_Tally Book (Women)_used,Bangladesh,51961.0
dist_epi_Vaccine carrier 4 ice pack_functional,Bangladesh,85450.0
dist_epi_IPV vial_used,Bangladesh,392407.0
dist_epi_Safety Box_used,Bangladesh,407611.0
dist_epi_Pentavalent_Vial_Damaged,Bangladesh,68125.0
dist_epi_Tally Book (Women)_PreviousStock,Bangladesh,159828.0
dist_epi_OPV_vial_PreviousStock,Bangladesh,6332877.0
dist_epi_TT Card_damaged,Bangladesh,25700.0
dist_epi_ILR_Not Installed,Bangladesh,10.0
dist_epi_Vitamin A Capsule_damaged,Bangladesh,0.0
dist_epi_Vitamin A Capsule_received,Bangladesh,0.0
dist_epi_Gas/Electric/Kerosine Freeze_Repairable,Bangladesh,16.0
dist_epi_MR vial_received,Bangladesh,2853245.0
dist_epi_Fridge tag current stock,Bangladesh,621.0
dist_epi_Fridge Tag_repairable,Bangladesh,34.0
dist_epi_Fridge Tag Temperature chart used,Bangladesh,4551.0
dist_epi_Syringe (0.05 ml)_PreviousStock,Bangladesh,2.244534E7
dist_epi_BCG_diluent_receive,Bangladesh,2337300.0
dist_epi_Child register PreviousStock,Bangladesh,72612.0
dist_epi_ILR_Irrepairable,Bangladesh,130.0
dist_epi_Vitamin A Capsule_used,Bangladesh,0.0
dist_epi_Fridge Tag small functional,Bangladesh,5059.0
dist_epi_Syringe (0.5 ml)_damaged,Bangladesh,132800.0
dist_epi_Child Card PreviousStock,Bangladesh,6877028.0
dist_epi_Women Report Book_damaged,Bangladesh,3031.0
dist_epi_BCG_vial_damaged,Bangladesh,5070.1
dist_epi_Vitamin A Capsule_PreviousStock,Bangladesh,1200.0
dist_epi_Vaccine carrier 1 ice pack_functional,Bangladesh,167294.0
dist_epi_Cold box_irrepairable,Bangladesh,1506.0
dist_epi_Safety Box_PreviousStock,Bangladesh,1738221.0
dist_epi_Deep freezer_irrepairable,Bangladesh,68.0
dist_epi_Voltage Stabilizer_functional,Bangladesh,12944.0
dist_epi_Deep freezer_functional,Bangladesh,151.0
dist_epi_PCV vial current stock,Bangladesh,920742.0
dist_epi_Child register_Received,Bangladesh,19368.0
dist_epi_TT vial_damaged,Bangladesh,28918.1
dist_epi_Voltage Stabilizer_irrepairable,Bangladesh,7226.0
dist_epi_Carry bag_available stock,Bangladesh,210447.0
dist_epi_Fast Freezer_functional,Bangladesh,61.0
dist_epi_TT vial_used,Bangladesh,3323395.0
dist_epi_Solar Freeze_functional,Bangladesh,9.0
dist_epi_Fast Freezer_repairable,Bangladesh,20.0
dist_epi_Syringe (5 ml)_received,Bangladesh,4181000.0
dist_epi_TT_vial_PreviousStock,Bangladesh,7537725.0
dist_epi_Cold box_functional,Bangladesh,19536.0
dist_epi_Syringe (0.05 ml)_damaged,Bangladesh,5600.0
dist_epi_PCV vial previous stock,Bangladesh,1.485868E7
dist_epi_Plastic Bowl_available stock,Bangladesh,146600.0
dist_epi_Vaccine carrier 2 ice pack_functional,Bangladesh,85459.0
dist_epi_Women Report Book_PreviousStock,Bangladesh,37217.0
dist_epi_Gas/Electric/Kerosine Freeze_Not Installed,Bangladesh,0.0
dist_epi_Vaccine holder damaged,Bangladesh,1718.0
dist_epi_MR Diluent_damaged,Bangladesh,17347.0
dist_epi_OPV_vial_used,Bangladesh,2901657.0
dist_epi_Fridge Tag Temperature chart receive,Bangladesh,6970.0
dist_epi_IPV_vial current stock,Bangladesh,10697.0
dist_epi_BCG_vial_used,Bangladesh,2328292.0
dist_epi_Vaccine carrier 2 ice pack_repairable,Bangladesh,6468.0
dist_epi_Tally Book (child)_PreviousStock,Bangladesh,61328.0
dist_epi_Syringe (3 ml)_PreviousStock,Bangladesh,1.00704E7
dist_epi_Child register_damaged,Bangladesh,194.0
dist_epi_IPV vial_damaged,Bangladesh,43.4
dist_epi_Fast Freezer_irrepairable,Bangladesh,10.0
dist_epi_Syringe (3 ml)_used,Bangladesh,2183800.0
dist_epi_Solar Freeze_repairable,Bangladesh,0.0
dist_epi_Solar Freeze_Not Installed,Bangladesh,0.0
dist_epi_Moni Table Cloth_available stock,Bangladesh,149902.0
dist_epi_Vaccine carrier 4 ice pack_irrepairable,Bangladesh,38467.0
dist_epi_Pentavalent_Vial_received,Bangladesh,2.103577E7
dist_epi_IPV vial previous stock,Bangladesh,359798.0
dist_epi_Cotton 100gm_available stock,Bangladesh,2097118.0
dist_epi_Syringe (3 ml)_damaged,Bangladesh,26700.0
dist_epi_Voltage Stabilizer_repairable,Bangladesh,3849.0
dist_epi_Solar Freeze_Irrepairable,Bangladesh,4.0
dist_epi_Women Report Book_used,Bangladesh,24279.0
dist_epi_Women register_PreviousStock,Bangladesh,108190.0
dist_epi_Syringe (0.5 ml)_used,Bangladesh,7.1320565E7
dist_epi_Gas/Electric/Kerosine Freeze_Irrepairable,Bangladesh,20.0
dist_epi_Tally Book (child)_received,Bangladesh,40323.0
dist_epi_Fast Freezer_Not Installed,Bangladesh,1.0
dist_epi_Vaccine carrier 4 ice pack_repairable,Bangladesh,25037.0
dist_epi_Moni Flag_used,Bangladesh,10995.0
dist_epi_Vaccine carrier 2 ice pack_irrepairable,Bangladesh,6368.0
dist_epi_Cold box_repairable,Bangladesh,509.0
dist_epi_Child Card_damaged,Bangladesh,1200.0
dist_epi_PCV vial_damaged,Bangladesh,4647.3
dist_epi_OPV_vial_damaged,Bangladesh,14270.1
dist_epi_MR Diluent_received,Bangladesh,2848735.0
dist_epi_Child Report Book_damaged,Bangladesh,24.0
dist_epi_Moni Flag_received,Bangladesh,4216.0
dist_epi_OPV_vial_received,Bangladesh,2943538.0
dist_epi_MR_vial_PreviousStock,Bangladesh,4747109.0
dist_epi_Child Card_received,Bangladesh,6130200.0
dist_epi_Syringe (0.05 ml)_received,Bangladesh,8018960.0
dist_epi_TT Card_PreviousStock,Bangladesh,1.054148E7
dist_epi_PCV vial_used,Bangladesh,1.1313811E7
dist_epi_Tally Book (Women)_damaged,Bangladesh,209.0
dist_epi_BCG vial PreviousStock,Bangladesh,3288964.0
dist_epi_Fridge Tag Temperature chart_damaged,Bangladesh,130.0
