Data,Organisation unit,Value
rAHEGe7ojkW,dNLjKwsVjod,3803109.0
UjBPzgpdZld,dNLjKwsVjod,1855.0
PgqcWC1fMtv,dNLjKwsVjod,1.14314E7
o7EbOkvA7Mz,dNLjKwsVjod,23468.0
Z4qk8nfmByw,dNLjKwsVjod,2919147.0
MlNK8OmM5eZ,dNLjKwsVjod,338.0
gtEebAlxRtH,dNLjKwsVjod,6169134.0
fr1bKIp8I7i,dNLjKwsVjod,479.0
EdudPa6XKdj,dNLjKwsVjod,4808124.0
w5pQTE562o8,dNLjKwsVjod,44620.0
T6PJcVzNlsY,dNLjKwsVjod,54443.0
hHCzmfaeXIl,dNLjKwsVjod,4747508.0
FTFkUbgBYKX,dNLjKwsVjod,3814895.0
G77wLzA1L1O,dNLjKwsVjod,2376910.0
VFBlxubf91a,dNLjKwsVjod,42900.0
FMsHhz4dif1,dNLjKwsVjod,77.0
cc3m9THocqU,dNLjKwsVjod,1583.0
dduEFRLdBkG,dNLjKwsVjod,3304241.0
IBS2IqaR1tU,dNLjKwsVjod,217751.0
fYwQk0kZSGz,dNLjKwsVjod,2.116516E7
QO4D614g3Wi,dNLjKwsVjod,2895258.0
yxETk6879dc,dNLjKwsVjod,51961.0
Hg50j7QSZkj,dNLjKwsVjod,85450.0
iJNCzfcJQDP,dNLjKwsVjod,392407.0
vS8vKwOrvZb,dNLjKwsVjod,407611.0
oIC517k2BLE,dNLjKwsVjod,68125.0
GzBLG9h7Cbk,dNLjKwsVjod,159828.0
gEWalgNl9nv,dNLjKwsVjod,6332877.0
rD04ZzcaN5p,dNLjKwsVjod,25700.0
Rg4HIIY11SE,dNLjKwsVjod,10.0
vLWOqx67N7I,dNLjKwsVjod,0.0
HLf06LKb2uY,dNLjKwsVjod,0.0
ti2HwGvhfK0,dNLjKwsVjod,16.0
rI2KhvPB8bc,dNLjKwsVjod,2853245.0
XyDzBGgAFNa,dNLjKwsVjod,621.0
Np6aLfUKsiY,dNLjKwsVjod,34.0
J6sUepWcdon,dNLjKwsVjod,4551.0
xDlpgVnDwJI,dNLjKwsVjod,2.244534E7
Of9I5zs5k77,dNLjKwsVjod,2337300.0
Azd0uGUjGhE,dNLjKwsVjod,72612.0
ntSHXBaWBgd,dNLjKwsVjod,130.0
oRWiPL5MCHl,dNLjKwsVjod,0.0
lSu3LF8mZdf,dNLjKwsVjod,5059.0
CjREX74awT2,dNLjKwsVjod,132800.0
tU5blh4Sf1g,dNLjKwsVjod,6877028.0
TETsfOvYKRX,dNLjKwsVjod,3031.0
BiTjkJniRmp,dNLjKwsVjod,5070.1
ow9uyFraAg0,dNLjKwsVjod,1200.0
AqYTRr5SRQC,dNLjKwsVjod,167294.0
HwQXIC5FelW,dNLjKwsVjod,1506.0
LynCFTtD5ow,dNLjKwsVjod,1738221.0
Pwr85khlpyH,dNLjKwsVjod,68.0
gnjS23yYmsI,dNLjKwsVjod,12944.0
Kwub6SuKrE7,dNLjKwsVjod,151.0
UCEzCnZ2uMU,dNLjKwsVjod,920742.0
CCyX8bHkSlz,dNLjKwsVjod,19368.0
spnTnEPMoV2,dNLjKwsVjod,28918.1
mZEciaYEO2F,dNLjKwsVjod,7226.0
VouoJHkBGM2,dNLjKwsVjod,210447.0
XncbWOxNjAv,dNLjKwsVjod,61.0
ZN37IwOVKKE,dNLjKwsVjod,3323395.0
e4DqyRBgstB,dNLjKwsVjod,9.0
Xrz32A7vx1D,dNLjKwsVjod,20.0
vSs22KMgCMG,dNLjKwsVjod,4181000.0
DxD75aAjPZX,dNLjKwsVjod,7537725.0
b9vXmKRxlN4,dNLjKwsVjod,19536.0
HJv3z3HMfwe,dNLjKwsVjod,5600.0
sKDaMKl5l8B,dNLjKwsVjod,1.485868E7
zFNzY3y8r14,dNLjKwsVjod,146600.0
y6s47PZmAGR,dNLjKwsVjod,85459.0
dPmAWC4B6tk,dNLjKwsVjod,37217.0
zfUWfjfKICJ,dNLjKwsVjod,0.0
QArPEzTbmS1,dNLjKwsVjod,1718.0
xdFxvVan8cF,dNLjKwsVjod,17347.0
LJqc2PzQXUQ,dNLjKwsVjod,2901657.0
P7k5AQ3aiJt,dNLjKwsVjod,6970.0
XLocPEoGpt1,dNLjKwsVjod,10697.0
Dx7jTnmWeW0,dNLjKwsVjod,2328292.0
J3c2bNGLgsP,dNLjKwsVjod,6468.0
g8S260lkBzl,dNLjKwsVjod,61328.0
Ol1mHdriFTl,dNLjKwsVjod,1.00704E7
APwgxGQ8nfN,dNLjKwsVjod,194.0
KJJiogzjFXk,dNLjKwsVjod,43.4
MExbfLYYJiD,dNLjKwsVjod,10.0
eDqBl4pTJbg,dNLjKwsVjod,2183800.0
aQeq8aSOdVv,dNLjKwsVjod,0.0
rvJkdTgcL0d,dNLjKwsVjod,0.0
qrPiHf1K4tu,dNLjKwsVjod,149902.0
tVqp6tdC15a,dNLjKwsVjod,38467.0
m2gH7CIEE1I,dNLjKwsVjod,2.103577E7
z4H3Cf1TBdv,dNLjKwsVjod,359798.0
DizZN82ZWUi,dNLjKwsVjod,2097118.0
WZZYFo010BE,dNLjKwsVjod,26700.0
KbclS7eKPnj,dNLjKwsVjod,3849.0
ppc3Td7TJkO,dNLjKwsVjod,4.0
R3c4cZI6Y5P,dNLjKwsVjod,24279.0
yji357SKQuK,dNLjKwsVjod,108190.0
PRQ9vEkHewZ,dNLjKwsVjod,7.1320565E7
pRDJS9SHkcf,dNLjKwsVjod,20.0
Mb4JAEiVGMB,dNLjKwsVjod,40323.0
xKvytAGoej4,dNLjKwsVjod,1.0
xCfb2c0O3W7,dNLjKwsVjod,25037.0
hgLvmPIrqKY,dNLjKwsVjod,10995.0
lsZxT6F4VB7,dNLjKwsVjod,6368.0
qQqE82XaiOr,dNLjKwsVjod,509.0
RI8gr2keRVF,dNLjKwsVjod,1200.0
JSg8OVyQi60,dNLjKwsVjod,4647.3
JP5gc0KndnS,dNLjKwsVjod,14270.1
KOPQYkNFLCb,dNLjKwsVjod,2848735.0
xCP0qWMgkX8,dNLjKwsVjod,24.0
t7R1nPnijIS,dNLjKwsVjod,4216.0
cmOsp0Z3VzY,dNLjKwsVjod,2943538.0
B3cD6xw0bdd,dNLjKwsVjod,4747109.0
t0XOoSnjuh0,dNLjKwsVjod,6130200.0
ypha3z6EAQb,dNLjKwsVjod,8018960.0
MLls8Jn8MGZ,dNLjKwsVjod,1.054148E7
eFh3qRWUZ6J,dNLjKwsVjod,1.1313811E7
Pbb7Lp0qJax,dNLjKwsVjod,209.0
Rl95TqYGxUE,dNLjKwsVjod,3288964.0
W772FeICk0O,dNLjKwsVjod,130.0
uMYdRCYbQIx,dNLjKwsVjod,82166.0
PKADDt7JqKA,dNLjKwsVjod,449.0
vDJieZ8l3to,dNLjKwsVjod,77448.0
sFOBAM5f4Uv,dNLjKwsVjod,197682.0
gwttELKqxMI,dNLjKwsVjod,2.7942703E7
hX7tWBJGkHx,dNLjKwsVjod,606472.0
KdtFfYYba1N,dNLjKwsVjod,7712.0
x0niIhTQ6Zp,dNLjKwsVjod,2.5008755E7
UCGOdxDpp7f,dNLjKwsVjod,365256.0
TeI6FXouSXV,dNLjKwsVjod,8170440.0
F7hw1kZJEKH,dNLjKwsVjod,19665.0
Cow3HI16aVv,dNLjKwsVjod,3276309.0
aRUKLC0axHH,dNLjKwsVjod,4.0
iX6FkUt0WaO,dNLjKwsVjod,15399.0
HpMEzPSin8f,dNLjKwsVjod,7203650.0
agtTSoHQ1lC,dNLjKwsVjod,3849412.0
njaWSZ5yfUs,dNLjKwsVjod,93528.0
e7cvZaj2l9t,dNLjKwsVjod,16146.1
FYlIpwQfFz7,dNLjKwsVjod,232415.0
CFiPOHbyquo,dNLjKwsVjod,86340.0
RaQsDNh0mud,dNLjKwsVjod,6206150.0
N3uRZCdBUmD,dNLjKwsVjod,210345.0
HEBSBOLgzfx,dNLjKwsVjod,26480.0
NNOVbKmgtM9,dNLjKwsVjod,14802.0
Q3s3MHk9baj,dNLjKwsVjod,426530.0
knhP746XtKE,dNLjKwsVjod,106.0
PoJQRMOuBEU,dNLjKwsVjod,33936.0
OA4roSFWRqP,dNLjKwsVjod,14196.0
BODVbIiW0pv,dNLjKwsVjod,0.0
hw1CwIO7O8f,dNLjKwsVjod,23.0
wdwq9OjQM9X,dNLjKwsVjod,40714.0
JQQqrkSSyzu,dNLjKwsVjod,7.77712E7
TyueOFc3XNr,dNLjKwsVjod,6481.0
ZAF3vaG4A8a,dNLjKwsVjod,2342082.0
GKIvTeIzm8a,dNLjKwsVjod,3.87015823E8
wskS9shVRas,dNLjKwsVjod,29218.0
zFD68Gv9V81,dNLjKwsVjod,2213700.0
