Data,Organisation unit,Value
v14E6ijlPTY,dNLjKwsVjod,36298.0
Uu5b38eCJrX,dNLjKwsVjod,16918.0
H5jwGjCe1hW,dNLjKwsVjod,22799.0
U7yq7VegTbt,dNLjKwsVjod,7656.0
TvIQHOYIAVn,dNLjKwsVjod,3665.0
SL3jTdl5ZHQ,dNLjKwsVjod,187033.0
ebWeXsDZGNt,dNLjKwsVjod,135.0
SdTrHM6Dzmn,dNLjKwsVjod,75892.0
TDEXKtY0nMQ,dNLjKwsVjod,1355035.0
ueC7NN4M0UM,dNLjKwsVjod,874.0
EdudPa6XKdj,dNLjKwsVjod,6269129.0
lh0qUyqvy4G,dNLjKwsVjod,609.0
XiSj0LiwAd0,dNLjKwsVjod,50332.0
UqjHo8iSYjH,dNLjKwsVjod,755.0
iYuFEy4dN0z,dNLjKwsVjod,380.0
LnsXfjpyAS7,dNLjKwsVjod,68237.0
l5J3pzKfrKr,dNLjKwsVjod,2981077.0
obZECvjXt2E,dNLjKwsVjod,1156656.0
HlgLFnlwo8K,dNLjKwsVjod,2253.0
VsbnV2HwyPb,dNLjKwsVjod,12855.0
TtZyBNKA59j,dNLjKwsVjod,1110.0
LVKnkXh1H4N,dNLjKwsVjod,57341.0
if3pSLW4AH0,dNLjKwsVjod,645.0
qVEgzs8mvVp,dNLjKwsVjod,5365.0
UzM0OO694Lo,dNLjKwsVjod,20800.0
xUi6tySSiwZ,dNLjKwsVjod,61.0
gmQChP4ybbJ,dNLjKwsVjod,2368494.0
FYUtZTy7i5D,dNLjKwsVjod,315950.0
R5uzLTp7TYP,dNLjKwsVjod,1155637.0
xh8erK4DBX1,dNLjKwsVjod,1617960.0
cGIrAM2YR0L,dNLjKwsVjod,170290.0
Lxnsjoq1YHf,dNLjKwsVjod,1618462.0
tSBqdUR3hYs,dNLjKwsVjod,66900.0
JrEuoafflAV,dNLjKwsVjod,51572.0
ofaP2paBlvx,dNLjKwsVjod,11182.0
XyDzBGgAFNa,dNLjKwsVjod,1793.0
IrRSrosg4gJ,dNLjKwsVjod,599.0
wl5f7hgwfIr,dNLjKwsVjod,73298.0
nMJZ5CdOBUG,dNLjKwsVjod,5677969.0
OCvKJnO5CgH,dNLjKwsVjod,50418.0
LRDFSlC9p2C,dNLjKwsVjod,716.0
txe0XydlwxW,dNLjKwsVjod,39373.0
zse8L8L9gu8,dNLjKwsVjod,8189.0
TJJdtmyc5Wp,dNLjKwsVjod,21970.0
qMh3hamcxvG,dNLjKwsVjod,2176.0
FUInEoI31Pq,dNLjKwsVjod,1361493.0
mOxZbttzEAl,dNLjKwsVjod,1416063.0
pF2eW4jA7Ez,dNLjKwsVjod,10961.0
EN4AcNB9A9P,dNLjKwsVjod,246557.0
Lt0W8DunYXn,dNLjKwsVjod,93678.0
OrK9U6pY0En,dNLjKwsVjod,262513.0
U1i8Z7AhyVG,dNLjKwsVjod,208039.0
tRUI2X0Kra3,dNLjKwsVjod,1.0107453E7
dHDMsMhv4Gk,dNLjKwsVjod,1403315.0
TGej6yNQyS8,dNLjKwsVjod,1830458.0
InVy9zcySym,dNLjKwsVjod,424.0
RXwwdFKaGKp,dNLjKwsVjod,17576.0
UCEzCnZ2uMU,dNLjKwsVjod,1348431.0
mVpOGtEj75m,dNLjKwsVjod,42175.0
kaV4MxbmGqB,dNLjKwsVjod,457.0
L0c50o7cx0Q,dNLjKwsVjod,60664.0
hT7I1JzNEdx,dNLjKwsVjod,4898488.0
qgGpesVtv8g,dNLjKwsVjod,1.161663E7
ghvSmXUcTy4,dNLjKwsVjod,15926.0
dVNaICpmK7L,dNLjKwsVjod,56760.0
KozGLltVS2v,dNLjKwsVjod,3516210.0
ev6Z6hwSQRt,dNLjKwsVjod,7823.0
esGqTHqXnOA,dNLjKwsVjod,3681.0
AfTFVtCLn4l,dNLjKwsVjod,10027.0
jqFSRclpuuz,dNLjKwsVjod,2530.0
avXTeeUyYKI,dNLjKwsVjod,7610534.0
AD8axRxw2BL,dNLjKwsVjod,1520873.0
SGMC4fLW6rB,dNLjKwsVjod,1285084.0
M444heAlvoO,dNLjKwsVjod,10591.0
KyVLENlU5xd,dNLjKwsVjod,2873243.0
IxiN3NhjdSa,dNLjKwsVjod,98570.0
jkacRcJtBMH,dNLjKwsVjod,816800.0
XLocPEoGpt1,dNLjKwsVjod,56078.0
CEJT47dHxo5,dNLjKwsVjod,3121.0
euPa7NEZGSt,dNLjKwsVjod,1755512.0
ytJ1DrYsGft,dNLjKwsVjod,120509.0
PvJlIfNlDSw,dNLjKwsVjod,21319.0
eXt1Qzlhxcm,dNLjKwsVjod,739952.0
XeXsNiYQ9fg,dNLjKwsVjod,2340.0
oQWLIlKLm7K,dNLjKwsVjod,3289103.0
xrqr6j7gARA,dNLjKwsVjod,1792.0
TfuUqx1NZvg,dNLjKwsVjod,14618.0
Deqt5Ixa2rh,dNLjKwsVjod,1115325.0
cCHwSqMITo9,dNLjKwsVjod,38570.0
z6tXIV3eu5V,dNLjKwsVjod,5724.0
TrBCxqTdMzQ,dNLjKwsVjod,309537.0
PVpOy25FJrV,dNLjKwsVjod,290329.0
UhLuwao9bPX,dNLjKwsVjod,5466790.0
sMOrNoPEI2v,dNLjKwsVjod,3588.0
UPEk9qPfDNA,dNLjKwsVjod,19040.0
eYiEHiatC1I,dNLjKwsVjod,1989593.0
fqfXL8xarlm,dNLjKwsVjod,3596550.0
tL8A2LCpCIH,dNLjKwsVjod,40716.0
kaLNDPAQwkh,dNLjKwsVjod,626.0
gAqapfPwzBf,dNLjKwsVjod,8816.0
DlMAbzEwg0Y,dNLjKwsVjod,660318.0
s55BI6AF0PO,dNLjKwsVjod,54096.0
dcCeHUo2MAB,dNLjKwsVjod,1774.0
deiuP86fzQr,dNLjKwsVjod,7250.0
pvuVOaSa492,dNLjKwsVjod,538.0
aIPJhuBjH4d,dNLjKwsVjod,442094.0
Oqdt7G1RKJy,dNLjKwsVjod,6.6827151E7
etn5C721jHP,dNLjKwsVjod,180677.0
nro90eUryrL,dNLjKwsVjod,761.0
wciHsC0HTnR,dNLjKwsVjod,3.6491832E7
SLz2FHgFuv2,dNLjKwsVjod,4.0058344E7
cLNX65QOuYa,dNLjKwsVjod,51349.0
PWwOZD74r8J,dNLjKwsVjod,261433.0
mua5c0lu7BP,dNLjKwsVjod,18635.0
VV0A43kzi8S,dNLjKwsVjod,11.0
CraDFlSfOL8,dNLjKwsVjod,65587.0
Z51wc3vBOjh,dNLjKwsVjod,311537.0
lnkyUjyhWlq,dNLjKwsVjod,2361642.0
GJy5G7nsdFC,dNLjKwsVjod,9848.0
lKcO8hnI7yD,dNLjKwsVjod,25265.0
VCtn0paIdje,dNLjKwsVjod,42315.0
yWdsjCqwvsB,dNLjKwsVjod,81.0
eVVZbsAJ21z,dNLjKwsVjod,24056.0
Ut11985nNXI,dNLjKwsVjod,17717.0
GXwLNuy6aK7,dNLjKwsVjod,34132.0
O4ipJtBJE53,dNLjKwsVjod,12913.0
KVWfhVIMCKo,dNLjKwsVjod,1415.0
sQyQGmO5LGp,dNLjKwsVjod,31521.0
a5NrrGbVvVX,dNLjKwsVjod,1802.0
J102SfhJvhg,dNLjKwsVjod,41.0
W9eYgcZFN0Z,dNLjKwsVjod,5175.0
vX7z2PIhvmD,dNLjKwsVjod,1376.0
A5ETRGpncRJ,dNLjKwsVjod,772.0
z2BZ5yn2S4M,dNLjKwsVjod,23833.0
S4A1AW3ljYB,dNLjKwsVjod,657558.0
ptzz5181m1V,dNLjKwsVjod,40058.0
lTQZBDFRMzO,dNLjKwsVjod,2312.0
TTGUUrNqcuK,dNLjKwsVjod,7406.0
d8HUoghMVgY,dNLjKwsVjod,707.0
QmDH65vcoGA,dNLjKwsVjod,31757.0
EQF8oE6BajQ,dNLjKwsVjod,404611.0
GJwygSbmZXJ,dNLjKwsVjod,9651.0
ubWsUdMvICF,dNLjKwsVjod,689957.0
g4US4gQYOsT,dNLjKwsVjod,4592.0
i6Jt5OcJOXt,dNLjKwsVjod,26662.0
dbMnrpsK2ja,dNLjKwsVjod,83733.0
FlhsSrNRfu7,dNLjKwsVjod,12823.0
LZMWHDdztqK,dNLjKwsVjod,1354615.0
aJCqO4zweff,dNLjKwsVjod,1040170.0
cAulAobXL8G,dNLjKwsVjod,555.0
GpGuJhFnFmQ,dNLjKwsVjod,7720.0
IOpPbtcUuUs,dNLjKwsVjod,1687.0
bihFJUbh3sY,dNLjKwsVjod,57756.0
ZpGpOV2plqa,dNLjKwsVjod,13733.0
FfXu1jA3jTD,dNLjKwsVjod,79416.0
Q3s3MHk9baj,dNLjKwsVjod,510944.0
dd7XsVYDhQ3,dNLjKwsVjod,9628.0
pGgbnrYuaTI,dNLjKwsVjod,850.0
cawYjrf6sYw,dNLjKwsVjod,5449.0
YNSxcxU3qZ9,dNLjKwsVjod,23081.0
iWenmJFGsQb,dNLjKwsVjod,427319.0
U88MMlC0RFm,dNLjKwsVjod,36890.0
niaONsteGuU,dNLjKwsVjod,1368193.0
JXCDQqqE2BX,dNLjKwsVjod,1.0923294E7
JSRYymyoMOS,dNLjKwsVjod,1755612.0
