Data,Organisation unit,Value
upazilla_epi_Syringe (0.05 ml) supplied1,Chandpur District,2000.0
upazilla_epi_TT vial_supplied1,Kustia District,22137.0
upazilla_epi_Syringe (0.05 ml) supplied1,Satkhira District,34900.0
upazilla_epi_TT vial_supplied1,Shariatpur District,1635.0
upazilla_epi_OPV vial_supplied1,Jamalpur District,38757.0
upazilla_epi_Syringe (0.1 ml) supplied1,Noakhali District,147200.0
upazilla_epi_PCV vial_supplied1,Dhaka District,1684.0
upazilla_epi_TT vial_supplied1,Cumilla District,49061.0
upazilla_epi_TT vial_supplied1,Tangail District,35462.0
upazilla_epi_MR diluent_supplied1,Naogaon District,23005.0
upazilla_epi_BCG diluent_supplied1,Pirojpur District,9280.0
upazilla_epi_Syringe (0.05 ml) supplied1,Pabna District,39500.0
upazilla_epi_Pentavalent vial_supplied1,Pirojpur District,79158.0
upazilla_epi_BCG diluent_supplied1,Faridpur District,3715.0
upazilla_epi_PCV vial_supplied1,Faridpur District,13600.0
upazilla_epi_Syringe (0.05 ml) supplied1,Rajbari District,27700.0
upazilla_epi_Syringe (0.1 ml) supplied1,Dinajpur District,74800.0
upazilla_epi_OPV vial_supplied1,Joypurhat District,7812.0
upazilla_epi_MR vial_supplied1,Joypurhat District,9875.0
upazilla_epi_BCG vial_supplied1,Jhenaidaha District,15114.0
upazilla_epi_Syringe (5 ml) supplied1,Madaripur District,3600.0
upazilla_epi_OPV vial_supplied1,Barishal District,7655.0
upazilla_epi_TT vial_supplied1,Meherpur District,120.0
upazilla_epi_PCV vial_supplied1,Pirojpur District,41300.0
upazilla_epi_PCV vial_supplied1,Bandarban District,960.0
upazilla_epi_TT vial_supplied1,Sylhet District,15386.0
upazilla_epi_Pentavalent vial_supplied1,Faridpur District,27200.0
upazilla_epi_TT vial_supplied1,Dinajpur District,28276.0
upazilla_epi_MR diluent_supplied1,Jhenaidaha District,16420.0
upazilla_epi_MR vial_supplied1,Barishal District,8856.0
upazilla_epi_Syringe (0.05 ml) supplied1,Narshingdi District,32300.0
upazilla_epi_Pentavalent vial_supplied1,Natore District,10500.0
upazilla_epi_Pentavalent vial_supplied1,Dhaka District,3377.0
upazilla_epi_BCG vial_supplied1,Madaripur District,3013.0
upazilla_epi_BCG diluent_supplied1,Joypurhat District,6888.0
upazilla_epi_Pentavalent vial_supplied1,Jamalpur District,291485.0
upazilla_epi_Syringe (3 ml) supplied1,Gaibandha District,21285.0
upazilla_epi_MR vial_supplied1,Pirojpur District,11120.0
upazilla_epi_Syringe (0.05 ml) supplied1,Nilphamari District,50800.0
upazilla_epi_MR vial_supplied1,Jamalpur District,36962.0
upazilla_epi_MR vial_supplied1,Lalmonirhat District,13000.0
upazilla_epi_Syringe (3 ml) supplied1,Bandarban District,200.0
upazilla_epi_Syringe (5 ml) supplied1,Jhenaidaha District,54400.0
upazilla_epi_OPV vial_supplied1,Pirojpur District,9520.0
upazilla_epi_Syringe (3 ml) supplied1,Kishoreganj District,18670.0
upazilla_epi_MR diluent_supplied1,Feni District,442.0
upazilla_epi_Syringe (5 ml) supplied1,Magura District,8300.0
upazilla_epi_MR vial_supplied1,Faridpur District,4000.0
upazilla_epi_Syringe (0.05 ml) supplied1,Jhalokati District,8400.0
upazilla_epi_Syringe (0.1 ml) supplied1,Sunamganj District,50400.0
