Data,Organisation unit,Value
QcPVLGbkXPE,dNLjKwsVjod,1283030.0
MdeVOqoipzV,dNLjKwsVjod,7801964.0
kneuyiAUuhM,dNLjKwsVjod,1062637.0
jexpvG0UpEP,dNLjKwsVjod,1184055.0
kBxPfPkmkUZ,dNLjKwsVjod,2.3300363E7
iHhFjeFaUE2,dNLjKwsVjod,179978.0
HwX8sJbFytZ,dNLjKwsVjod,1.9212518E7
H9DPSXuy1Cq,dNLjKwsVjod,2461178.0
txbCZcGu9t7,dNLjKwsVjod,927671.0
Ew83LC7SZl0,dNLjKwsVjod,2395365.0
xE9S4yAH6JM,dNLjKwsVjod,1053677.0
tm4XzrA2ZJ4,dNLjKwsVjod,1054014.0
Va9YJe9mcJC,dNLjKwsVjod,911140.0
AhRkuUoR2Gh,dNLjKwsVjod,578779.0
