Data,Organisation unit,Value
upazilla_epi_Pentavalent vial_supplied1,Monohardi Upazila Health Complex,20274.0
upazilla_epi_Pentavalent vial_supplied1,Pangsha Upazila Health Complex,17000.0
upazilla_epi_BCG diluent_supplied1,Hijla Upazila Health Complex,552.0
upazilla_epi_PCV vial_supplied1,Keshabpur Upazila Health Complex,15673.0
upazilla_epi_PCV vial_supplied1,Kawkhali Upazila Health Complex,2850.0
upazilla_epi_Syringe (0.5 ml) supplied1,Alamdanga Upazila Health Complex,97600.0
upazilla_epi_MR vial_supplied1,Kathalia Upazila Health Complex,1200.0
upazilla_epi_MR diluent_supplied1,Haziganj Upazila Health Complex,400.0
upazilla_epi_BCG diluent_supplied1,Nangolkot Upazila Health Complex,1700.0
upazilla_epi_MR diluent_supplied1,Companiganj Upazila Health Complex,3108.0
upazilla_epi_Syringe (5 ml) supplied1,"Assasuni Upazila Health Complex, Satkhira",4900.0
upazilla_epi_IPV vial_supplied1,Rupganj Upazila Health Complex,675.0
upazilla_epi_Pentavalent vial_supplied1,Atrai Upazila Health Complex,10256.0
upazilla_epi_Syringe (0.1 ml) supplied1,Fulbaria Upazila Health Complex,18900.0
upazilla_epi_Syringe (0.1 ml) supplied1,Porsha Upazila Health Complex,6400.0
upazilla_epi_MR vial_supplied1,Sribordi Upazila health Complex,1880.0
upazilla_epi_Syringe (0.5 ml) supplied1,Kabirhat Upazila Health Complex,74000.0
upazilla_epi_Syringe (0.1 ml) supplied1,Durgapur Upazila Health Complex,9000.0
upazilla_epi_TT vial_supplied1,Ulipur Upazila Health Complex,5750.0
upazilla_epi_Pentavalent vial_supplied1,Zianagar Upazila Health Complex,5580.0
upazilla_epi_MR vial_supplied1,"Juri Upazila Health Complex,Moulvibazar",650.0
upazilla_epi_Syringe (3 ml) supplied1,Nandail Upazila Health Complex,3600.0
upazilla_epi_Syringe (3 ml) supplied1,Morrelganj Upazila Health Complex,0.0
upazilla_epi_Syringe (0.1 ml) supplied1,Fultala Upazila Health Complex,8300.0
upazilla_epi_Syringe (0.1 ml) supplied1,Kalapara Upazila Health Complex,6600.0
upazilla_epi_Syringe (5 ml) supplied1,Badarganj Upazila Health Complex,1900.0
upazilla_epi_MR vial_supplied1,Shailkupa Upazila Health Complex,3480.0
upazilla_epi_BCG vial_supplied1,Shalikha Upazila Health Complex,3072.0
upazilla_epi_OPV vial_supplied1,Boda Upazila Health Complex,4300.0
upazilla_epi_PCV vial_supplied1,"Sreemangal Upazila Health Complex,Moulvibazar",4600.0
upazilla_epi_Pentavalent vial_supplied1,Shailkupa Upazila Health Complex,23508.0
upazilla_epi_Syringe (5 ml) supplied1,Islampur Upazila Health Complex,8800.0
upazilla_epi_BCG vial_supplied1,Gurudashpur Upazila Health Complex,250.0
upazilla_epi_MR diluent_supplied1,Saidpur Upazila Health Complex,2650.0
upazilla_epi_TT vial_supplied1,"Kulaura Upazila Health Complex,Moulvibazar",1706.0
upazilla_epi_MR diluent_supplied1,Kashba Upazila Health Complex,5200.0
upazilla_epi_Syringe (0.1 ml) supplied1,Purbadhala Upazila Health Complex,13900.0
upazilla_epi_Pentavalent vial_supplied1,Madan Upazila Health Complex,14624.0
upazilla_epi_Syringe (0.05 ml) supplied1,Nachol Upazila Health Complex,2400.0
upazilla_epi_Syringe (5 ml) supplied1,Daudkandi Upazila Health Complex,1700.0
upazilla_epi_Pentavalent vial_supplied1,Pirganj RP Upazila Health Complex,25696.0
upazilla_epi_Pentavalent vial_supplied1,Kathalia Upazila Health Complex,7448.0
upazilla_epi_OPV vial_supplied1,Bagha Upazila Health Complex,650.0
upazilla_epi_BCG vial_supplied1,Dhanbari Upazila Health Complex,1280.0
upazilla_epi_MR vial_supplied1,Monohardi Upazila Health Complex,3150.0
upazilla_epi_TT vial_supplied1,Bandar Upazila Health Complex,2138.0
upazilla_epi_Syringe (0.5 ml) supplied1,Dimla Upazila Health Complex,123400.0
upazilla_epi_Pentavalent vial_supplied1,Kaliganj LH Upazila Health Complex,21384.0
upazilla_epi_Syringe (0.1 ml) supplied1,"Derai Upazila Health Complex, Sunamganj",8600.0
upazilla_epi_Syringe (0.05 ml) supplied1,Nalitabari Upazila Health Complex,3500.0
upazilla_epi_Pentavalent vial_supplied1,"Juri Upazila Health Complex,Moulvibazar",5000.0
upazilla_epi_OPV vial_supplied1,Modhupur Upazila Health Complex,2814.0
upazilla_epi_MR vial_supplied1,Atrai Upazila Health Complex,1624.0
upazilla_epi_Syringe (0.1 ml) supplied1,Mithapukur Upazila Health Complex,4400.0
upazilla_epi_Syringe (0.05 ml) supplied1,Belaichari Upazila Health Complex,800.0
upazilla_epi_Syringe (0.05 ml) supplied1,Jibannagar Upazila Health Complex,4800.0
upazilla_epi_Syringe (3 ml) supplied1,Karimganj Upazila Health Complex,1800.0
upazilla_epi_TT vial_supplied1,Dumki Upazila Health Complex,484.0
