Data,Organisation unit,Value
oLMIhDxyDdI,dNLjKwsVjod,7465.0
uTU4zCB25ti,dNLjKwsVjod,253400.0
lAG3wQPDtBx,dNLjKwsVjod,209253.0
HrnxboYS2pX,dNLjKwsVjod,139749.0
vZhW1lZlJbJ,dNLjKwsVjod,27416.0
ux5hjOaieWd,dNLjKwsVjod,101516.0
cDhyhRlvgjK,dNLjKwsVjod,722864.0
oBRiOKXWX0t,dNLjKwsVjod,56899.0
m8HgPVCalQa,dNLjKwsVjod,730628.0
ldL9DxovaGZ,dNLjKwsVjod,780915.0
PzjNbfRFWyP,dNLjKwsVjod,25150.0
mG4lyntANUW,dNLjKwsVjod,10706.0
edyPqwHl8xs,dNLjKwsVjod,469114.0
TBkdRxrRn6m,dNLjKwsVjod,784592.7
gxnpwZzuGdT,dNLjKwsVjod,5496.0
dG01gFyUUpJ,dNLjKwsVjod,5317.0
k4gDhfOM6U1,dNLjKwsVjod,9131.0
Rf6YaoD9pDU,dNLjKwsVjod,3891.0
Mdg4YwkZA3q,dNLjKwsVjod,656947.0
YQeVCHIodxu,dNLjKwsVjod,1832.0
Mj0dHA7IfiD,dNLjKwsVjod,52229.0
KBWEDXf1bhU,dNLjKwsVjod,546671.0
cJFpYp57f3g,dNLjKwsVjod,152362.0
WUiLXAWnm9n,dNLjKwsVjod,59909.0
Uh7k0aWkeAV,dNLjKwsVjod,94442.0
WGBL50m9U8y,dNLjKwsVjod,2813.0
h0i5ShDuD8r,dNLjKwsVjod,25867.0
Zxn1hY7kmiY,dNLjKwsVjod,11149.0
PpohESJv30p,dNLjKwsVjod,94490.0
HScaB3f35Z1,dNLjKwsVjod,70144.0
npKx146IC4n,dNLjKwsVjod,141314.0
DDmuj1o7sKy,dNLjKwsVjod,22337.0
reSF7Y9zouf,dNLjKwsVjod,93645.0
VxiFmwdJ2jf,dNLjKwsVjod,43402.0
pBUIU82QLXK,dNLjKwsVjod,148.0
PxMpuBloSvM,dNLjKwsVjod,26185.0
yl4jyQzjjY4,dNLjKwsVjod,1810.0
dKGmDv4ECXm,dNLjKwsVjod,14949.0
TUaZt44MekA,dNLjKwsVjod,326813.0
bqOKG6cJ9HC,dNLjKwsVjod,677380.0
aCaapVHHGTM,dNLjKwsVjod,6422.0
yTWRW7tqvCr,dNLjKwsVjod,44065.0
nHz5prD5MmK,dNLjKwsVjod,18949.0
hk3eorYt6l9,dNLjKwsVjod,12232.0
nbuIpWI5Q8d,dNLjKwsVjod,430379.0
Xca8sSvZIED,dNLjKwsVjod,3144.0
WpW4kIFC9C3,dNLjKwsVjod,46831.0
Pb1E9Ko3OwQ,dNLjKwsVjod,25801.0
UxIv7uHnTif,dNLjKwsVjod,68189.0
WLI1ZI7rmpW,dNLjKwsVjod,661943.0
vat7tr4Mb5Z,dNLjKwsVjod,31102.0
fXqUKhyfJHA,dNLjKwsVjod,43313.0
WebekThVMuW,dNLjKwsVjod,4373748.0
uMgEsjd1HCN,dNLjKwsVjod,578367.0
DWF6hmJga6Q,dNLjKwsVjod,1261.0
THeGZih2HUE,dNLjKwsVjod,2443.0
h61pZEsgvaD,dNLjKwsVjod,215.0
ZGi2mdScAOV,dNLjKwsVjod,1436549.0
poYsKiXiMsN,dNLjKwsVjod,89261.0
zEU0eGGX6tu,dNLjKwsVjod,34846.0
plQNV0jdrl2,dNLjKwsVjod,1264445.0
Epd0OyfDJSA,dNLjKwsVjod,125355.0
bDyr5KW2qCi,dNLjKwsVjod,202.0
