Data,Organisation unit,Value
No. of mother received PNC 2 services at facility,"Bhola District Hospital, Bhola",1935.0
No. of cases of full term pregnancy with Hand or Cord Prolapse (Complication4),"Chittagong General Hospital, Chittagong",1.0
No. of genital fistula patients discharged closed and dry (Indoor),"Munshiganj District Hospital, Munshiganj",12.0
No. of normal deliveries with AMTSL at facility level,"Chandpur District Hospital, Chandpur",3992.0
No. of Still Births,"Gopalganj District Hospital, Gopalganj",29.0
No. of Cesarean Section,"Pabna District Hospital, Pabna",2235.0
No. of cases with Ruptured Uterus (Complication5),Lakshmipur District Hospital,1.0
No. of babies born with less than 2000 gm of weight,"Hobiganj District Hospital, Hobiganj",66.0
No. of Live Births (LB),"Khulna District Hospital, Khulna",1076.0
No.  of mother received  ANC 1,"Bagerhat District Hospital, Bagerhat",5204.0
No. of pregnant women received Misoprostol tablets,"B.Baria District Hospital, B.Baria",1730.0
No. of genital fistula repair Surgeries (OT),"Chuadanga District Hospital, Chuadanga",120.0
No.  of mother received  ANC 2,"Noakhali District Hospital, Noakhali",424.0
No. of cases with other Pregnancy/ Delivery related Complications,"Chandpur District Hospital, Chandpur",156.0
No. of Cesarean Section,"Feni District Hospital, Feni",2555.0
No.  of mother received  ANC 3,"Natore District Hospital, Natore",226.0
No. of babies born with less than 2000 gm of weight,"Kishoreganj District Hospital, Kishoreganj",87.0
No. of Vaginal Deliveries with Breech or Face Presentation,"Chittagong General Hospital, Chittagong",8.0
Number of  3◦ /4◦ perineal tear  (with fecal incontinence) who were discharged closed and dry,Lakshmipur District Hospital,1.0
No. of mother received PNC 2 services at facility,"Coxs Bazar District Hospital, Coxs Bazar",4337.0
No. of newborn initiated breastfeeding within 1 hour after birth,"Natore District Hospital, Natore",1514.0
No. of total Neonatal Deaths,"Kustia District Hospital, Kustia",43.0
No. of newborn delivered in the facility referred out,"Tangail District Hospital, Tangail",82.0
No. of cases of full term pregnancy with Hand or Cord Prolapse (Complication4),"Jessore District Hospital, Jessore",10.0
No. of total Neonatal Deaths,Narayanganj General (Victoria) Hospital (100bed),0.0
No. of Vaginal Deliveries with Breech or Face Presentation,"Jessore District Hospital, Jessore",36.0
No. of mother received PNC 2 services at facility,Sirajganj General Hospital,949.0
No. of cases of full term pregnancy with Hand or Cord Prolapse (Complication4),"Noakhali District Hospital, Noakhali",51.0
No of newborn received skin to skin care immediate after birth,"Gaibandha District Hospital, Gaibandha",1152.0
No.  of mother received  ANC 1,"Joypurhat District Hospital, Joypurhat",9127.0
No. of cases with Post-Partum Hemorrhage (Complication11),"M.Bazar District Hospital, M.Bazar",124.0
No. of cases with Puerperal Sepsis (Complication9),"Rajbari District Hospital, Rajbari",2.0
No. of cases with non-specific Abortion (Complication7),"Nababganj District Hospital, Nababganj",776.0
