Data,Organisation unit,Value
No. of  newborn received 7.1 Chlorhexidine in the umbilical cord,HOBIGANJ District NGO,285.0
No. of total Neonatal Deaths,BOGRA District NGO,0.0
No. of babies born with less than 2000 gm of weight,TANGAIL District NGO,178.0
No. of cases with Antepartum Hemorrhage (Complication2),NARAYANGANJ District NGO,2.0
No. of postpartum mother/ pregnant women referred out,RAJBARI District Private Clinic,4.0
No. of cases with other Pregnancy/ Delivery related Complications,MEHERPUR District Private Clinic,445.0
No. of Live Births (LB),NATORE District NGO,0.0
No. of cases with retained Placenta (Complication10),Gazipur District NGO,0.0
No. of cases with Puerperal Sepsis (Complication9),RAJBARI District NGO,0.0
No. of cases with Post-Partum Hemorrhage (Complication11),KURIGRAM District NGO,0.0
No. of cases with Septic Abortion (Complication6),FENI District Private Clinic,0.0
No. of Still Births,NARSINGDI District NGO,0.0
No of newborn received skin to skin care immediate after birth,NARAYANGANJ District Private Clinic,21567.0
No. of cases with Leaking Membrane (Complication13),BHOLA District Private Clinic,9.0
No. of cases with Prolonged/ Obstructed Labor (Complication1),Bandarban District NGO,0.0
No. of mother received PNC 1 services at facility,CHITTAGONG District NGO,3428.0
No. of Normal Deliveries,RANGAMATI District NGO,1270.0
No. of cases with Hydatiform Mole (Complication12),SHERPUR District NGO,0.0
No. of cases with Septic Abortion (Complication6),MAGURA District Private Clinic,0.0
No. of cases with Antepartum Hemorrhage (Complication2),NARAYANGANJ District Private Clinic,21.0
No. of Maternal Deaths(MD),MANIKGANJ District Private Clinic,0.0
No. of mother received PNC 2 services at facility,BARISAL District NGO,539.0
No. of normal deliveries with AMTSL at facility level,MEHERPUR District Private Clinic,444.0
No. of newborn received PNC 1 services at facility,NARAIL District Private Clinic,1599.0
No.  of mother received  ANC 3,MUNSHIGANJ District Private Clinic,4352.0
No. of Normal Deliveries,SYLHET District Private Clinic,1356.0
No. of newborn received PNC 1 services at facility,"Cent vincent hospital, mission road, Dinajpur",1860.0
No. of total Neonatal Deaths,BHOLA District Private Clinic,0.0
No. of Vaginal Deliveries with Breech or Face Presentation,B.Baria District NGO,0.0
No. of cases with retained Placenta (Complication10),SHARIATPUR District NGO,0.0
No. of cases of full term pregnancy with Hand or Cord Prolapse (Complication4),B.Baria District NGO,0.0
No. of Still Births,MADARIPUR District Private Clinic,24.0
No. of Vaginal Deliveries with Breech or Face Presentation,PEROJPUR District NGO,0.0
No. of cases with Puerperal Sepsis (Complication9),JHALOKATI District Private Clinic,0.0
No. of cases with Hydatiform Mole (Complication12),SIRAJGANJ District NGO,0.0
No. of  newborn received 7.1 Chlorhexidine in the umbilical cord,SYLHET District NGO,2120.0
