Data,Organisation unit,Value
No. of mother received PNC 2 services at facility,Shariatpur District,3482.0
No. of cases with Puerperal Sepsis (Complication9),Natore District,19.0
No. of mother received PNC 2 services at facility,Kustia District,2190.0
No. of Maternal Deaths(MD),Netrokona District,6.0
No. of mother received PNC 1 services at facility,Sherpur District,9534.0
No. of mother received PNC 2 services at facility,Cumilla District,11023.0
No. of cases with non-specific Abortion (Complication7),Kishoreganj District,2385.0
No. of genital fistula repair Surgeries (OT),Manikganj District,17.0
No. of newborn resuscitated with bag-mask ventilation (after stimulation) after drying,Dhaka District,135.0
No. of postpartum mother/ pregnant women referred out,Panchagarh District,447.0
No. of mother received PNC 1 services at facility,Kishoreganj District,26754.0
No. of cases with other Pregnancy/ Delivery related Complications,Gazipur District,1225.0
Total No. of low birth weight babies ( less than 2500 ),Madaripur District,56.0
No. of cases with Prolonged/ Obstructed Labor (Complication1),Naogaon District,2032.0
No. of normal deliveries with AMTSL at facility level,Gazipur District,4382.0
No. of babies born with less than 2000 gm of weight,Barishal District,1213.0
Number of  3◦ /4◦ perineal tear repair surgery,Rajbari District,5.0
No. of cases with non-specific Abortion (Complication7),Sherpur District,590.0
No. of postpartum mother/ pregnant women referred out,Rangpur District,700.0
No. of cases with Septic Abortion (Complication6),Sylhet District,1192.0
No. of genital fistula repair Surgeries (OT),Sirajganj District,12.0
No. of women given birth between 24-34 completed gestational,Bandarban District,1.0
No. of  newborn received 7.1 Chlorhexidine in the umbilical cord,Narshingdi District,17129.0
Number of  3◦ /4◦ perineal tear  (with fecal incontinence) who were discharged closed and dry,Jhalokati District,4.0
Number of  3◦ /4◦ perineal tear repair surgery,Rangpur District,34.0
No. of mother received PNC 1 services at facility,Coxs Bazar District,14993.0
No. of  newborn received 7.1 Chlorhexidine in the umbilical cord,Mymensingh District,14195.0
No. of Destructive Operation,Feni District,68.0
No. of Maternal Deaths(MD),Patuakhali District,26.0
No. of patients Referred In,Satkhira District,753.0
No. of newborn delivered in the facility referred out,Narail District,19.0
No. of cases with Prolonged/ Obstructed Labor (Complication1),Jhenaidaha District,1651.0
No. of Destructive Operation,Bagerhat District,27.0
No. of newborn received delayed bath (after 3 days),Naogaon District,33.0
No.  of  postpartum  FP  method  was  used,Tangail District,239.0
No. of cases with Post-Partum Hemorrhage (Complication11),Lalmonirhat District,250.0
Number of  3◦ /4◦ perineal tear repair surgery,Munshiganj District,32.0
No. of women given birth between 24-34 completed gestational,Chattogram District,35.0
No. of cases with Pre-Eclampsia/ Eclampsia (Complication3),Kishoreganj District,1708.0
No. of patients Referred Out,Lalmonirhat District,581.0
No. of women received Post Natal Care (PNC),Narayanganj District,17092.0
No. of cases with non-specific Abortion (Complication7),Khulna District,660.0
No. of cases with other Pregnancy/ Delivery related Complications,Laksmipur District,2271.0
No. of normal deliveries with AMTSL at facility level,Laksmipur District,4613.0
No. of Forceps/ Vacuum/ Breech delivery,Brahmanbaria District,30.0
No. of newborn received delayed bath (after 3 days),Jhenaidaha District,439.0
No. of cases with Ectopic Pregnancy (Complication8),Faridpur District,519.0
No. of cases with Antepartum Hemorrhage (Complication2),Sherpur District,141.0
No. of normal deliveries with AMTSL at facility level,Meherpur District,3701.0
No. of babies born with less than 2000 gm of weight,Jashore District,275.0
No. of Cesarean Section,Jhenaidaha District,15521.0
No. of  neonatal  death reviewed,Gopalganj District,89.0
No. of cases with Ruptured Uterus (Complication5),Jhalokati District,1.0
No. of  neonatal  death reviewed,Maulavi Bazar District,32.0
No. of Vaginal Deliveries with Breech or Face Presentation,Jamalpur District,57.0
No. of cases with Pre-Eclampsia/ Eclampsia (Complication3),Khulna District,426.0
Number of  3◦ /4◦ perineal tear  (with fecal incontinence) who were discharged closed and dry,Jhenaidaha District,1.0
No. of Still Births,Tangail District,832.0
No. of Normal Deliveries,Gopalganj District,5243.0
No. of Live Births (LB),Bandarban District,2390.0
No. of genital fistula patients discharged with fistula not closed (Indoor),Jamalpur District,3.0
No. of Normal Deliveries,Maulavi Bazar District,12876.0
No. of women received Post Natal Care (PNC),Chattogram District,82097.0
No of newborn received skin to skin care immediate after birth,Sherpur District,2168.0
No. of women given birth between 24-34 completed gestational,Narayanganj District,2016.0
No. of babies born with less than 2000 gm of weight,Joypurhat District,738.0
Total No. of low birth weight babies ( less than 2500 ),Magura District,231.0
No. of babies born with less than 2000 gm of weight,Jamalpur District,1839.0
No. of newborn resuscitated with bag-mask ventilation (after stimulation) after drying,Kishoreganj District,782.0
No. of pregnant mother admitted for delivery or obstructed complication in facility,Bandarban District,2794.0
No. of Forceps/ Vacuum/ Breech delivery,Narayanganj District,108.0
No. of Vaginal Deliveries with Breech or Face Presentation,Joypurhat District,34.0
No. of newborn not breathe or cry spontaneously at birth,Faridpur District,762.0
No. of Cesarean Section,Satkhira District,10870.0
No. of cases with Hydatiform Mole (Complication12),Chuadanga District,7.0
No. of  newborn received 7.1 Chlorhexidine in the umbilical cord,Munshiganj District,26196.0
No. of Maternal Deaths(MD),Gaibandha District,15.0
No. of cases with Antepartum Hemorrhage (Complication2),Khulna District,576.0
No. of patients Referred In,Meherpur District,421.0
Other obstetric complications (Complication 14),Dhaka District,730.0
No. of cases with Hydatiform Mole (Complication12),Sylhet District,5.0
No. of postpartum mother/ pregnant women referred out,Narshingdi District,664.0
No. of cases with Pre-Eclampsia/ Eclampsia (Complication3),Sherpur District,198.0
No. of cases with Post-Partum Hemorrhage (Complication11),Dinajpur District,576.0
No.  of mother received  ANC 2,Maulavi Bazar District,1847.0
No. of Destructive Operation,Brahmanbaria District,7.0
No. of postpartum mother/ pregnant women referred out,Munshiganj District,382.0
No.  of mother received  ANC 4,Faridpur District,1145.0
No. of patients Referred In,Gazipur District,829.0
No. of mother received PNC 2 services at facility,Noakhali District,8051.0
No. of pregnant women received Misoprostol tablets,Brahmanbaria District,1361.0
No. of Live Births (LB),Narayanganj District,43324.0
