Data,Organisation unit,Value
h0i5ShDuD8r,10002028,0.0
npKx146IC4n,10001523,20.0
PzjNbfRFWyP,10001402,0.0
DDmuj1o7sKy,10001792,10.0
cJFpYp57f3g,10000544,30.0
dKGmDv4ECXm,10001265,13.0
npKx146IC4n,10002130,74.0
HrnxboYS2pX,10001885,15.0
nHz5prD5MmK,10002017,7.0
hk3eorYt6l9,10000458,28.0
PzjNbfRFWyP,10001033,0.0
ldL9DxovaGZ,10001056,418.0
hk3eorYt6l9,10000942,5.0
dKGmDv4ECXm,10000918,0.0
vZhW1lZlJbJ,10001189,18.0
uTU4zCB25ti,10000508,58.0
ZGi2mdScAOV,10000303,225.0
VxiFmwdJ2jf,10001272,3.0
cDhyhRlvgjK,10001473,357.0
dKGmDv4ECXm,10000541,16.0
m8HgPVCalQa,10002058,569.0
nHz5prD5MmK,10000141,21.0
cDhyhRlvgjK,10001500,472.0
h0i5ShDuD8r,10000083,13.0
h0i5ShDuD8r,10000191,19.0
edyPqwHl8xs,10002106,3.0
reSF7Y9zouf,10001902,0.0
WpW4kIFC9C3,10000928,22.0
VxiFmwdJ2jf,10000986,1.0
k4gDhfOM6U1,10002130,0.0
hk3eorYt6l9,10000663,0.0
TUaZt44MekA,10000317,26.0
Pb1E9Ko3OwQ,10000694,0.0
ZGi2mdScAOV,10002096,1854.0
WpW4kIFC9C3,10001575,2.0
Pb1E9Ko3OwQ,10000903,3.0
THeGZih2HUE,10001518,0.0
dKGmDv4ECXm,10002243,0.0
edyPqwHl8xs,10000420,175.0
HrnxboYS2pX,10000277,2.0
plQNV0jdrl2,10002189,1041.0
VxiFmwdJ2jf,10000404,133.0
Mj0dHA7IfiD,10001885,11.0
dG01gFyUUpJ,10000734,0.0
vZhW1lZlJbJ,10000064,0.0
TBkdRxrRn6m,10000565,478.0
ZGi2mdScAOV,10000842,364.0
vZhW1lZlJbJ,10002204,11.0
Mdg4YwkZA3q,10000546,836.0
fXqUKhyfJHA,10002006,58.0
hk3eorYt6l9,10002048,0.0
WLI1ZI7rmpW,10000288,178.0
KBWEDXf1bhU,10001159,269.0
ux5hjOaieWd,10002085,0.0
uMgEsjd1HCN,10001459,199.0
dKGmDv4ECXm,10001041,0.0
fXqUKhyfJHA,10001203,1.0
plQNV0jdrl2,10000619,153.0
cDhyhRlvgjK,10001481,295.0
edyPqwHl8xs,10002035,53.0
vZhW1lZlJbJ,10001696,2.0
nHz5prD5MmK,10000660,6.0
Mdg4YwkZA3q,10000173,167.0
poYsKiXiMsN,10001708,44.0
WpW4kIFC9C3,10001322,2.0
m8HgPVCalQa,10002231,1200.0
UxIv7uHnTif,10000781,715.0
nHz5prD5MmK,10002027,5.0
k4gDhfOM6U1,10001140,0.0
m8HgPVCalQa,10001417,63.0
poYsKiXiMsN,10000486,1.0
cJFpYp57f3g,10000333,121.0
UxIv7uHnTif,10000241,91.0
Mdg4YwkZA3q,10001417,51.0
fXqUKhyfJHA,10001280,41.0
cDhyhRlvgjK,10000482,336.0
lAG3wQPDtBx,10002209,85.0
Pb1E9Ko3OwQ,10001848,8.0
cJFpYp57f3g,10000887,56.0
ux5hjOaieWd,10000568,0.0
DWF6hmJga6Q,10001033,12.0
fXqUKhyfJHA,10000682,45.0
npKx146IC4n,10001797,51.0
ux5hjOaieWd,10000369,0.0
UxIv7uHnTif,10001370,13.0
uTU4zCB25ti,10001339,45.0
yTWRW7tqvCr,10001493,0.0
HScaB3f35Z1,10001928,284.0
TBkdRxrRn6m,10000973,215.0
uMgEsjd1HCN,10002088,383.0
uMgEsjd1HCN,10002094,1757.0
vZhW1lZlJbJ,10002160,1.0
WUiLXAWnm9n,10001624,495.0
TBkdRxrRn6m,10001011,481.0
reSF7Y9zouf,10001763,28.0
reSF7Y9zouf,10001824,7.0
plQNV0jdrl2,10001948,156.0
WLI1ZI7rmpW,10001792,52.0
HScaB3f35Z1,10001930,0.0
mG4lyntANUW,10000578,0.0
reSF7Y9zouf,10001426,30.0
TUaZt44MekA,10001817,265.0
nbuIpWI5Q8d,10002181,353.0
yTWRW7tqvCr,10000988,1.0
fXqUKhyfJHA,10001673,64.0
plQNV0jdrl2,10002056,220.0
hk3eorYt6l9,10001064,0.0
dG01gFyUUpJ,10001506,0.0
poYsKiXiMsN,10001355,50.0
Mdg4YwkZA3q,10002058,299.0
edyPqwHl8xs,10001737,637.0
dG01gFyUUpJ,10000897,0.0
UxIv7uHnTif,10001442,22.0
TBkdRxrRn6m,10000181,516.0
WpW4kIFC9C3,10002150,1.0
uMgEsjd1HCN,10001455,764.0
HrnxboYS2pX,10001506,88.0
yTWRW7tqvCr,10001074,0.0
PpohESJv30p,10001201,0.0
reSF7Y9zouf,10000470,0.0
Pb1E9Ko3OwQ,10000144,7.0
ZGi2mdScAOV,10000694,462.0
lAG3wQPDtBx,10001790,273.0
mG4lyntANUW,10001741,0.0
Mdg4YwkZA3q,10001678,272.0
uMgEsjd1HCN,10001937,65.0
m8HgPVCalQa,10001678,534.0
npKx146IC4n,10001622,53.0
TBkdRxrRn6m,10000946,664.0
PpohESJv30p,10000568,7.0
THeGZih2HUE,10000817,0.0
ldL9DxovaGZ,10000236,582.0
zEU0eGGX6tu,10000829,5.0
Pb1E9Ko3OwQ,10000567,11.0
dG01gFyUUpJ,10001168,0.0
nHz5prD5MmK,10000488,5.0
k4gDhfOM6U1,10001523,1.0
Epd0OyfDJSA,10000227,93.0
ux5hjOaieWd,10001826,22.0
zEU0eGGX6tu,10001238,81.0
poYsKiXiMsN,10002061,0.0
DDmuj1o7sKy,10001801,1.0
mG4lyntANUW,10001790,2.0
plQNV0jdrl2,10001984,138.0
UxIv7uHnTif,10000794,86.0
Mdg4YwkZA3q,10000232,300.0
yTWRW7tqvCr,10001527,1.0
m8HgPVCalQa,10000232,166.0
YQeVCHIodxu,10002085,32.0
HrnxboYS2pX,10001551,120.0
bqOKG6cJ9HC,10000802,113.0
ZGi2mdScAOV,10001984,171.0
DDmuj1o7sKy,10002304,63.0
h0i5ShDuD8r,10000373,2.0
Mj0dHA7IfiD,10000847,51.0
THeGZih2HUE,10001785,0.0
PpohESJv30p,10001662,37.0
VxiFmwdJ2jf,10000629,35.0
npKx146IC4n,10001140,30.0
reSF7Y9zouf,10000252,0.0
UxIv7uHnTif,10001785,20.0
vZhW1lZlJbJ,10001327,0.0
cDhyhRlvgjK,10001472,47.0
PzjNbfRFWyP,10000715,0.0
Zxn1hY7kmiY,10001712,1.0
npKx146IC4n,10002304,129.0
bqOKG6cJ9HC,10001633,116.0
Mj0dHA7IfiD,10001734,103.0
aCaapVHHGTM,10001741,0.0
bqOKG6cJ9HC,10002214,251.0
HScaB3f35Z1,10001224,0.0
reSF7Y9zouf,10001272,291.0
k4gDhfOM6U1,10001226,0.0
oLMIhDxyDdI,10002211,0.0
cDhyhRlvgjK,10001019,652.0
m8HgPVCalQa,10001450,703.0
DDmuj1o7sKy,10001226,15.0
fXqUKhyfJHA,10000659,4.0
HrnxboYS2pX,10001168,7.0
nbuIpWI5Q8d,10000988,74.0
oLMIhDxyDdI,10000939,0.0
cJFpYp57f3g,10001481,99.0
aCaapVHHGTM,10001771,0.0
WLI1ZI7rmpW,10001115,259.0
Epd0OyfDJSA,10001355,4.0
edyPqwHl8xs,10002077,203.0
DDmuj1o7sKy,10001794,45.0
