Data,Organisation unit,Value
No. of cases with Hydatiform Mole (Complication12),Bangladesh,8464.0
No. of Safe Blood Transfusions,Bangladesh,354622.0
No.  of mother received  ANC 2,Bangladesh,214101.0
No. of cases with Prolonged/ Obstructed Labor (Complication1),Bangladesh,149134.0
No. of cases with Post-Partum Hemorrhage (Complication11),Bangladesh,30249.0
No. of patients Referred In,Bangladesh,153141.0
No. of women received Post Natal Care (PNC),Bangladesh,41745.0
No. of women given birth between 24-34 completed gestational,Bangladesh,85994.0
No. of newborn received PNC 1 services at facility,Bangladesh,1430313.0
No. of mother received PNC 1 services at facility,Bangladesh,1528038.0
No. of other pregnancy related Surgeries,Bangladesh,1029.0
No. of cases of full term pregnancy with Hand or Cord Prolapse (Complication4),Bangladesh,12685.0
No. of mother received PNC 2 services at facility,Bangladesh,835519.0
No. of Normal Deliveries,Bangladesh,875702.0
No. of cases with Puerperal Sepsis (Complication9),Bangladesh,6545.0
No. of cases with Ruptured Uterus (Complication5),Bangladesh,6740.0
No. of cases with Ectopic Pregnancy (Complication8),Bangladesh,11571.0
Number of  3◦ /4◦ perineal tear repair surgery,Bangladesh,8939.0
No. of newborn initiated breastfeeding within 1 hour after birth,Bangladesh,1229421.0
Number of  3◦ /4◦ perineal tear  (with fecal incontinence) who were discharged closed and dry,Bangladesh,3836.0
No. of newborn received delayed bath (after 3 days),Bangladesh,52347.0
No. of normal deliveries with AMTSL at facility level,Bangladesh,718448.0
No.  of mother received  ANC 3,Bangladesh,155566.0
No. of newborn not breathe or cry spontaneously at birth,Bangladesh,95783.0
No. of newborn resuscitated with stimulation only (without bag-mask ventilation) after drying,Bangladesh,162330.0
No. of genital fistula repair Surgeries (OT),Bangladesh,6046.0
No. of cases with Antepartum Hemorrhage (Complication2),Bangladesh,35201.0
No. of cases with Septic Abortion (Complication6),Bangladesh,13939.0
No. of cases with other Pregnancy/ Delivery related Complications,Bangladesh,5509.0
No. of pregnant women received Misoprostol tablets,Bangladesh,4809.0
No.  of mother received  ANC 4,Bangladesh,143666.0
No. of newborn delivered in the facility referred out,Bangladesh,45314.0
no. of normal deliveries with Misoprostol,Bangladesh,9347.0
No. of newborn resuscitated with bag-mask ventilation (after stimulation) after drying,Bangladesh,70998.0
Number of  3◦ /4◦ perineal tear  (with fecal incontinence) who were discharged not closed,Bangladesh,532.0
No.  of  postpartum  FP  method  was  used,Bangladesh,26185.0
No. of  neonatal  death reviewed,Bangladesh,1810.0
No. of total Neonatal Deaths,Bangladesh,14821.0
Total No. of pregnant mothers with obstetric complication,Bangladesh,581098.0
No. of Cesarean Section,Bangladesh,838647.0
No. of Vaginal Deliveries with Breech or Face Presentation,Bangladesh,261.0
No. of cases with Pre-Eclampsia/ Eclampsia (Complication3),Bangladesh,53587.0
No. of babies born with less than 2000 gm of weight,Bangladesh,38124.0
No. of Forceps/ Vacuum/ Breech delivery,Bangladesh,16038.0
No. of newborn received PNC 2 services at facility,Bangladesh,770464.0
No. of Destructive Operation,Bangladesh,4752.0
Total No. of low birth weight babies ( less than 2500 ),Bangladesh,88202.0
No. of cases with retained Placenta (Complication10),Bangladesh,29213.0
No. of cases with Leaking Membrane (Complication13),Bangladesh,64693.0
No. of  newborn received 7.1 Chlorhexidine in the umbilical cord,Bangladesh,1198253.0
No. of Still Births,Bangladesh,33135.0
No. of patients Referred Out,Bangladesh,3445.0
No.  of mother received  ANC 1,Bangladesh,5226125.0
No of newborn received skin to skin care immediate after birth,Bangladesh,1034548.0
No. of genital fistula patients discharged closed and dry (Indoor),Bangladesh,1792.0
No. of Maternal Deaths(MD),Bangladesh,2409.0
No. of genital fistula patients discharged with fistula not closed (Indoor),Bangladesh,392.0
No. of Live Births (LB),Bangladesh,1691070.0
No. of cases with non-specific Abortion (Complication7),Bangladesh,98778.0
No. of postpartum mother/ pregnant women referred out,Bangladesh,70694.0
No. of pregnant mother admitted for delivery or obstructed complication in facility,Bangladesh,2495919.0
Other obstetric complications (Complication 14),Bangladesh,207578.0
No. of genital fistula patients discharged with a closed fistula but with remaining incontinence (Indoor),Bangladesh,400.0
