Data,Organisation unit,Value
QCGhrXxmJDb,5594,9.0
QCGhrXxmJDb,1004,1103.0
GZWzBoEhi1S,3082,2181.0
RTJbhrOb0LB,4041,12581.0
EC4hrF3y7p9,3093,1627.0
SW4mM4SA65U,3089,1174.0
GyTha0DmXeY,3061,8980.0
GZWzBoEhi1S,5573,3487.0
EfLoEHPMrUL,3048,737.0
Fnsa8A43USl,3035,69686.0
oPi0KdUUkmk,6058,15746.0
EfLoEHPMrUL,3089,407.0
LSNFSyDR2Ec,4001,15155.0
SW4mM4SA65U,3048,1911.0
fBurIvCJP0D,5532,64.0
GYGcXE0XEzA,5010,1667.0
p4sMIzLlIqk,2015,53069.0
NlEkfvUZ1TS,5552,178.0
GZWzBoEhi1S,5076,14815.0
EC4hrF3y7p9,4065,270.0
NlEkfvUZ1TS,4041,0.0
nyxjGxsZ3GY,3093,10847.0
Vsj168YcM0W,5070,23575.0
GZWzBoEhi1S,3059,1732.0
GyTha0DmXeY,5549,5480.0
EAN5GjcGP6k,2075,58.0
GyTha0DmXeY,4018,5527.0
Fnsa8A43USl,5532,39178.0
nnLPr1FqABz,3067,259.0
GZWzBoEhi1S,5585,7390.0
SW4mM4SA65U,3067,1090.0
nnLPr1FqABz,2003,148.0
GyTha0DmXeY,6091,14087.0
wwE5TRfBuhI,6036,25126.0
p4sMIzLlIqk,2003,3398.0
GyTha0DmXeY,3068,18915.0
GYGcXE0XEzA,4001,3988.0
EfLoEHPMrUL,2015,435.0
oPi0KdUUkmk,3035,8050.0
PoAojyGYuBr,6036,1508.0
oPi0KdUUkmk,5532,3554.0
nnLPr1FqABz,3048,81.0
fBurIvCJP0D,3035,1325.0
GyTha0DmXeY,3093,13294.0
RN4w5hxGHRk,6091,88096.0
CRZkTTALRSb,6036,59598.0
NlEkfvUZ1TS,1006,16.0
JBhv2WOYxSf,3026,366.0
EAN5GjcGP6k,5552,4.0
CRZkTTALRSb,3067,61651.0
GZWzBoEhi1S,5577,980.0
RN4w5hxGHRk,3093,79022.0
PoAojyGYuBr,3067,5279.0
AhQ1Net8U5z,5594,1089.0
PoAojyGYuBr,5081,777.0
NlEkfvUZ1TS,2075,2.0
CRZkTTALRSb,4047,58682.0
RN4w5hxGHRk,4065,40563.0
GYGcXE0XEzA,6036,2086.0
NlEkfvUZ1TS,5527,713.0
GyTha0DmXeY,5573,8783.0
f5G2bLJmbMP,5577,314.0
p4sMIzLlIqk,3089,24495.0
RTJbhrOb0LB,1009,15216.0
wwE5TRfBuhI,5081,25271.0
GyTha0DmXeY,4065,6103.0
EC4hrF3y7p9,4018,1423.0
RN4w5hxGHRk,5594,6618.0
EfLoEHPMrUL,3029,112.0
LSNFSyDR2Ec,6036,20985.0
CRZkTTALRSb,3089,45140.0
GZWzBoEhi1S,3068,1355.0
fBurIvCJP0D,3072,261.0
GYGcXE0XEzA,5081,445.0
EfLoEHPMrUL,4047,621.0
JBhv2WOYxSf,2003,61.0
EC4hrF3y7p9,6091,1702.0
nnLPr1FqABz,3026,65.0
nnLPr1FqABz,2015,1721.0
GyTha0DmXeY,3082,5177.0
nyxjGxsZ3GY,5594,1075.0
EC4hrF3y7p9,3061,1386.0
p4sMIzLlIqk,3029,19389.0
GyTha0DmXeY,5076,11495.0
GZWzBoEhi1S,5549,2726.0
nnLPr1FqABz,2022,844.0
SW4mM4SA65U,4047,536.0
EAN5GjcGP6k,4041,25.0
SW4mM4SA65U,3029,333.0
fBurIvCJP0D,6058,275.0
nyxjGxsZ3GY,4065,1451.0
OHsyGAoZxnG,6091,670812.0
LSNFSyDR2Ec,3054,1305.0
CRZkTTALRSb,5081,58305.0
flN1fjAmDCz,2015,2.0
GZWzBoEhi1S,6091,4362.0
fBurIvCJP0D,3039,194.0
f5G2bLJmbMP,5585,222.0
fBurIvCJP0D,5038,46.0
p4sMIzLlIqk,2022,26940.0
EC4hrF3y7p9,5573,456.0
QCGhrXxmJDb,4065,140.0
fBurIvCJP0D,1078,564.0
GyTha0DmXeY,3059,6874.0
SW4mM4SA65U,2012,1311.0
J4LMYIjzMDh,5070,698.0
Fnsa8A43USl,1079,37039.0
AhQ1Net8U5z,3026,9104.0
NlEkfvUZ1TS,5069,402.0
SW4mM4SA65U,3026,2561.0
GZWzBoEhi1S,4065,495.0
QCGhrXxmJDb,3061,449.0
RTJbhrOb0LB,5038,6448.0
NlEkfvUZ1TS,6090,0.0
PoAojyGYuBr,3048,5496.0
QCGhrXxmJDb,6091,552.0
wwE5TRfBuhI,4001,30414.0
GYGcXE0XEzA,2012,4339.0
EAN5GjcGP6k,3039,10.0
fBurIvCJP0D,1009,274.0
ji6q7h7TE3n,5070,30.0
f5G2bLJmbMP,5070,1.0
PoAojyGYuBr,3089,1642.0
NlEkfvUZ1TS,4057,0.0
nyxjGxsZ3GY,5549,2345.0
GyTha0DmXeY,5585,10798.0
GyTha0DmXeY,1004,4174.0
LSNFSyDR2Ec,5081,5590.0
GZWzBoEhi1S,3061,13424.0
nyxjGxsZ3GY,3068,8586.0
EC4hrF3y7p9,1004,375.0
CRZkTTALRSb,2046,20060.0
wwE5TRfBuhI,3067,19865.0
EAN5GjcGP6k,6090,4.0
EC4hrF3y7p9,5594,104.0
RN4w5hxGHRk,4018,30062.0
GyTha0DmXeY,5577,1700.0
PoAojyGYuBr,2030,859.0
EfLoEHPMrUL,2012,357.0
fBurIvCJP0D,1079,93.0
flN1fjAmDCz,5081,0.0
PoAojyGYuBr,5010,3644.0
RTJbhrOb0LB,5088,11355.0
wwE5TRfBuhI,4047,27789.0
GZWzBoEhi1S,3093,4193.0
RN4w5hxGHRk,3061,81958.0
EfLoEHPMrUL,3026,41.0
QCGhrXxmJDb,3093,6949.0
CRZkTTALRSb,2003,17219.0
Vsj168YcM0W,3035,56218.0
nyxjGxsZ3GY,3061,6257.0
p4sMIzLlIqk,3048,51448.0
RTJbhrOb0LB,3086,4696.0
EAN5GjcGP6k,2019,67.0
Fnsa8A43USl,3039,47760.0
EC4hrF3y7p9,3082,277.0
RN4w5hxGHRk,5549,33901.0
GYGcXE0XEzA,5064,1058.0
nyxjGxsZ3GY,4018,681.0
EC4hrF3y7p9,5076,558.0
oPi0KdUUkmk,1079,11708.0
RN4w5hxGHRk,3068,97625.0
RTJbhrOb0LB,1006,14461.0
EC4hrF3y7p9,5585,3951.0
RTJbhrOb0LB,5527,15548.0
GYGcXE0XEzA,2046,192.0
ji6q7h7TE3n,1078,21.0
JBhv2WOYxSf,4047,422.0
EfLoEHPMrUL,2084,28.0
CRZkTTALRSb,3026,83439.0
wwE5TRfBuhI,2046,8535.0
CRZkTTALRSb,4001,60129.0
CRZkTTALRSb,2012,44042.0
RTJbhrOb0LB,3033,20914.0
wwE5TRfBuhI,2084,7971.0
nnLPr1FqABz,6036,38.0
RTJbhrOb0LB,5552,6843.0
PVLH8nNufJv,3059,779.0
nyxjGxsZ3GY,6091,4733.0
fBurIvCJP0D,5070,51.0
QCGhrXxmJDb,3029,7720.0
SW4mM4SA65U,2003,84.0
NlEkfvUZ1TS,3056,7.0
SW4mM4SA65U,2046,642.0
GZWzBoEhi1S,4018,4666.0
CRZkTTALRSb,2084,16312.0
GYGcXE0XEzA,2084,239.0
EfLoEHPMrUL,2003,48.0
EfLoEHPMrUL,3067,269.0
nnLPr1FqABz,3029,124.0
