Data,Organisation unit,Value
IMCI Other Disease,Bangladesh,1671781.0
IMCI Anemia (0 - 5 years),Bangladesh,238793.0
IMCI Fever-malaria,Bangladesh,10555.0
IMCI Diarrhea,Bangladesh,850391.0
IMCI Pneumonia,Bangladesh,532682.0
IMCI counselling,Bangladesh,3627148.0
IMCI Pus draining from Umbilicus,Bangladesh,14857.0
IMCI Child Injury,Bangladesh,79044.0
IMCI Wasting (0 - 5 years),Bangladesh,81565.0
IMCI Ear problem,Bangladesh,207335.0
IMCI Underweight (0 - 5 years),Bangladesh,219992.0
IMCI Fever-no malaria,Bangladesh,1582267.0
IMCI Severe Acute Malnutrition,Bangladesh,21472.0
IMCI Cough & Cold no Pneumonia,Bangladesh,2493355.0
IMCI Complementary Feeding (6-23 months),Bangladesh,1262732.0
IMCI Drowning,Bangladesh,6306.0
IMCI Moderate Acute Malnutrition,Bangladesh,134943.0
IMCI Referral1,Bangladesh,891536.0
IMCI Breast Feed within 1 hour of birth,Bangladesh,593873.0
IMCI Very Severe Disease,Bangladesh,217555.0
IMCI Stunting (0 - 5 years),Bangladesh,128933.0
IMCI Measles,Bangladesh,6043.0
IMCI Fever-malaria Unlikely,Bangladesh,59807.0
IMCI Facilitator Training Information,Bangladesh,15.0
IMCI Female,Bangladesh,3690710.0
IMCI Male,Bangladesh,3740294.0
IMCI Low Birth Weight,Bangladesh,68687.0
IMCI Protein & energy malnutrition (PEM),Bangladesh,1176.0
IMCI Exclusive breast feeding,Bangladesh,1019412.0
IMCI Facilitator Code,Bangladesh,911496.0
