Data,Organisation unit,Value
LSNFSyDR2Ec,10002055,402.0
Fnsa8A43USl,10001710,4007.0
EC4hrF3y7p9,10000914,71.0
GZWzBoEhi1S,10000098,1.0
CRZkTTALRSb,10000191,5864.0
EfLoEHPMrUL,10002096,67.0
JBhv2WOYxSf,10000436,18.0
GYGcXE0XEzA,10001543,6.0
EfLoEHPMrUL,10000303,42.0
Fnsa8A43USl,10000973,5114.0
flN1fjAmDCz,10002048,12.0
fBurIvCJP0D,10002235,10.0
SW4mM4SA65U,10000842,240.0
flN1fjAmDCz,10001848,12.0
EAN5GjcGP6k,10001988,0.0
p4sMIzLlIqk,10001355,1344.0
RN4w5hxGHRk,10002182,3871.0
RN4w5hxGHRk,10001003,4409.0
GZWzBoEhi1S,10000461,74.0
EAN5GjcGP6k,10001768,536.0
GYGcXE0XEzA,10000727,42.0
OHsyGAoZxnG,10001003,3238281.0
GZWzBoEhi1S,10002177,428.0
AhQ1Net8U5z,10001417,551.0
EC4hrF3y7p9,10002004,1.0
RTJbhrOb0LB,10002006,2782.0
CRZkTTALRSb,10000083,28047.0
wwE5TRfBuhI,10001339,1785.0
RTJbhrOb0LB,10000347,3417.0
NlEkfvUZ1TS,10001189,0.0
EAN5GjcGP6k,10000223,104.0
p4sMIzLlIqk,10000988,1105.0
GZWzBoEhi1S,10002211,79.0
flN1fjAmDCz,10000694,10.0
GZWzBoEhi1S,10000939,36.0
nyxjGxsZ3GY,10001067,72.0
nyxjGxsZ3GY,10000489,225.0
NlEkfvUZ1TS,10001828,0.0
PVLH8nNufJv,10000838,184.0
RN4w5hxGHRk,10001917,1670.0
SW4mM4SA65U,10002096,254.0
Fnsa8A43USl,10000551,1040.0
GZWzBoEhi1S,10000323,119.0
AhQ1Net8U5z,10000085,0.0
CRZkTTALRSb,10001937,1979.0
J4LMYIjzMDh,10000234,328.0
J4LMYIjzMDh,10000838,287.0
Fnsa8A43USl,10001933,2606.0
RN4w5hxGHRk,10001539,1446.0
CRZkTTALRSb,10001459,5535.0
EAN5GjcGP6k,10002127,23.0
ji6q7h7TE3n,10000220,122.0
p4sMIzLlIqk,10002181,2219.0
RN4w5hxGHRk,10001450,2122.0
oPi0KdUUkmk,10002143,2541.0
GyTha0DmXeY,10001289,2876.0
NlEkfvUZ1TS,10001327,0.0
RN4w5hxGHRk,10001303,3118.0
JBhv2WOYxSf,10002056,69.0
SW4mM4SA65U,10000303,57.0
J4LMYIjzMDh,10000678,72.0
wwE5TRfBuhI,10001143,1261.0
NlEkfvUZ1TS,10000188,1.0
EC4hrF3y7p9,10000352,60.0
p4sMIzLlIqk,10001374,146.0
OHsyGAoZxnG,10001678,532534.0
CRZkTTALRSb,10002028,3799.0
PoAojyGYuBr,10001143,2.0
RTJbhrOb0LB,10001203,633.0
LSNFSyDR2Ec,10000472,5577.0
EC4hrF3y7p9,10002042,58.0
PoAojyGYuBr,10001074,14.0
GZWzBoEhi1S,10001712,308.0
LSNFSyDR2Ec,10000748,271.0
GyTha0DmXeY,10002119,243.0
wwE5TRfBuhI,10001074,313.0
PoAojyGYuBr,10000486,52.0
QCGhrXxmJDb,10001539,10.0
ji6q7h7TE3n,10002243,70.0
nyxjGxsZ3GY,10000379,703.0
RN4w5hxGHRk,10001476,5306.0
AhQ1Net8U5z,10002231,111.0
PoAojyGYuBr,10001493,440.0
QCGhrXxmJDb,10002058,44.0
RN4w5hxGHRk,10000232,8942.0
wwE5TRfBuhI,10000486,1201.0
GYGcXE0XEzA,10000979,31.0
GZWzBoEhi1S,10001330,8.0
JBhv2WOYxSf,10001948,171.0
p4sMIzLlIqk,10000740,6922.0
NlEkfvUZ1TS,10001707,0.0
GZWzBoEhi1S,10002033,57.0
oPi0KdUUkmk,10002164,198.0
ji6q7h7TE3n,10000862,58.0
oPi0KdUUkmk,10001070,21.0
oPi0KdUUkmk,10001308,800.0
CRZkTTALRSb,10002088,5335.0
J4LMYIjzMDh,10001033,286.0
AhQ1Net8U5z,10001678,1763.0
wwE5TRfBuhI,10001493,3462.0
NlEkfvUZ1TS,10002204,0.0
ji6q7h7TE3n,10000253,86.0
J4LMYIjzMDh,10000430,0.0
GyTha0DmXeY,10002034,609.0
fBurIvCJP0D,10001933,28.0
AhQ1Net8U5z,10000232,1415.0
Fnsa8A43USl,10000565,5692.0
GyTha0DmXeY,10001476,326.0
QCGhrXxmJDb,10001450,72.0
flN1fjAmDCz,10000903,11.0
nyxjGxsZ3GY,10001193,129.0
EfLoEHPMrUL,10000619,2.0
SW4mM4SA65U,10001848,587.0
GZWzBoEhi1S,10002212,232.0
p4sMIzLlIqk,10001708,1927.0
Vsj168YcM0W,10001156,1788.0
PVLH8nNufJv,10000678,177.0
RTJbhrOb0LB,10000415,1840.0
oPi0KdUUkmk,10000667,1330.0
LSNFSyDR2Ec,10001313,774.0
CRZkTTALRSb,10000373,13449.0
ji6q7h7TE3n,10000113,657.0
AhQ1Net8U5z,10001917,377.0
JBhv2WOYxSf,10002138,20.0
SW4mM4SA65U,10000903,68.0
RN4w5hxGHRk,10001037,1769.0
PoAojyGYuBr,10000250,682.0
nyxjGxsZ3GY,10002138,1656.0
QCGhrXxmJDb,10000232,32.0
f5G2bLJmbMP,10002243,1.0
NlEkfvUZ1TS,10000064,0.0
RTJbhrOb0LB,10001200,686.0
Fnsa8A43USl,10001991,2744.0
J4LMYIjzMDh,10000317,251.0
LSNFSyDR2Ec,10001575,431.0
LSNFSyDR2Ec,10000786,4990.0
RN4w5hxGHRk,10001678,244.0
RTJbhrOb0LB,10001904,2617.0
GYGcXE0XEzA,10001945,419.0
EfLoEHPMrUL,10001848,1.0
OHsyGAoZxnG,10002182,975936.0
Fnsa8A43USl,10000270,4096.0
Fnsa8A43USl,10002235,1002.0
NlEkfvUZ1TS,10002160,0.0
wwE5TRfBuhI,10002061,486.0
GyTha0DmXeY,10001037,23.0
flN1fjAmDCz,10000942,12.0
nyxjGxsZ3GY,10001629,257.0
J4LMYIjzMDh,10001470,10.0
NlEkfvUZ1TS,10001696,0.0
AhQ1Net8U5z,10002058,403.0
wwE5TRfBuhI,10000250,3093.0
PoAojyGYuBr,10002061,24.0
p4sMIzLlIqk,10001527,360.0
oPi0KdUUkmk,10000456,695.0
oPi0KdUUkmk,10001156,1689.0
RTJbhrOb0LB,10002063,982.0
EAN5GjcGP6k,10002017,0.0
QCGhrXxmJDb,10001003,226.0
CRZkTTALRSb,10002094,5666.0
fBurIvCJP0D,10001744,7.0
Vsj168YcM0W,10000234,6735.0
EAN5GjcGP6k,10002027,22.0
EfLoEHPMrUL,10000458,69.0
GYGcXE0XEzA,10000875,36.0
QCGhrXxmJDb,10000546,2.0
ji6q7h7TE3n,10000246,83.0
PoAojyGYuBr,10001117,301.0
fBurIvCJP0D,10002207,14.0
nyxjGxsZ3GY,10000307,516.0
Fnsa8A43USl,10000488,1359.0
nnLPr1FqABz,10002061,12.0
p4sMIzLlIqk,10002008,2651.0
wwE5TRfBuhI,10000409,2802.0
RTJbhrOb0LB,10000961,1774.0
flN1fjAmDCz,10000656,12.0
RTJbhrOb0LB,10000563,984.0
Fnsa8A43USl,10001011,14300.0
nyxjGxsZ3GY,10001948,252.0
SW4mM4SA65U,10000663,1.0
GyTha0DmXeY,10001395,74.0
Fnsa8A43USl,10000969,6317.0
GZWzBoEhi1S,10000074,342.0
AhQ1Net8U5z,10001003,378.0
nyxjGxsZ3GY,10001918,76.0
LSNFSyDR2Ec,10000144,362.0
QCGhrXxmJDb,10001289,1068.0
EfLoEHPMrUL,10000663,3.0
nyxjGxsZ3GY,10001656,179.0
LSNFSyDR2Ec,10000567,1473.0
p4sMIzLlIqk,10001074,585.0
GZWzBoEhi1S,10002186,6.0
J4LMYIjzMDh,10001817,497.0
flN1fjAmDCz,10000661,6.0
RTJbhrOb0LB,10001305,395.0
EAN5GjcGP6k,10002207,70.0
Vsj168YcM0W,10002143,6605.0
EfLoEHPMrUL,10000903,29.0
RN4w5hxGHRk,10000085,5673.0
nyxjGxsZ3GY,10001388,394.0
RTJbhrOb0LB,10001966,3960.0
GyTha0DmXeY,10001303,3250.0
PoAojyGYuBr,10000508,392.0
nyxjGxsZ3GY,10002056,149.0
EAN5GjcGP6k,10000141,332.0
EAN5GjcGP6k,10002069,0.0
GYGcXE0XEzA,10000196,700.0
PoAojyGYuBr,10001955,288.0
RTJbhrOb0LB,10001479,2642.0
EfLoEHPMrUL,10002189,37.0
NlEkfvUZ1TS,10001201,0.0
fBurIvCJP0D,10000565,4.0
