Data,Organisation unit,Value
p4sMIzLlIqk,dNLjKwsVjod,2681402.0
GZWzBoEhi1S,dNLjKwsVjod,240410.0
NlEkfvUZ1TS,dNLjKwsVjod,21805.0
RTJbhrOb0LB,dNLjKwsVjod,1518712.0
AhQ1Net8U5z,dNLjKwsVjod,942896.0
RN4w5hxGHRk,dNLjKwsVjod,3649344.0
fBurIvCJP0D,dNLjKwsVjod,15417.0
SW4mM4SA65U,dNLjKwsVjod,79826.0
JBhv2WOYxSf,dNLjKwsVjod,82112.0
nyxjGxsZ3GY,dNLjKwsVjod,406365.0
GYGcXE0XEzA,dNLjKwsVjod,221233.0
wwE5TRfBuhI,dNLjKwsVjod,2653164.4
EfLoEHPMrUL,dNLjKwsVjod,22155.0
Vsj168YcM0W,dNLjKwsVjod,4508267.0
oPi0KdUUkmk,dNLjKwsVjod,1267365.0
f5G2bLJmbMP,dNLjKwsVjod,7172.0
PVLH8nNufJv,dNLjKwsVjod,136292.0
J4LMYIjzMDh,dNLjKwsVjod,905773.0
GyTha0DmXeY,dNLjKwsVjod,599228.0
PoAojyGYuBr,dNLjKwsVjod,376969.0
QCGhrXxmJDb,dNLjKwsVjod,129504.0
EAN5GjcGP6k,dNLjKwsVjod,15649.0
nnLPr1FqABz,dNLjKwsVjod,60214.0
flN1fjAmDCz,dNLjKwsVjod,18032.0
CRZkTTALRSb,dNLjKwsVjod,6187596.0
Fnsa8A43USl,dNLjKwsVjod,6333737.0
EC4hrF3y7p9,dNLjKwsVjod,69677.0
ji6q7h7TE3n,dNLjKwsVjod,196410.0
LSNFSyDR2Ec,dNLjKwsVjod,1023875.0
OHsyGAoZxnG,dNLjKwsVjod,1.3996531872E9
