Data,Organisation unit,Value
EfLoEHPMrUL,HS_27430030000,181.0
AhQ1Net8U5z,HS_27421530000,8871.0
RN4w5hxGHRk,HS_27421860000,17167.0
GZWzBoEhi1S,HS_27421690000,290.0
nnLPr1FqABz,HS_27430030000,71.0
GZWzBoEhi1S,HS_27421920000,3483.0
fBurIvCJP0D,HS_27430180000,21.0
f5G2bLJmbMP,HS_27430100000,3.0
PoAojyGYuBr,HS_27421040000,1008.0
Vsj168YcM0W,HS_27421590000,3108.0
RN4w5hxGHRk,10002233,7751.0
GYGcXE0XEzA,HS_27430040000,23.0
nyxjGxsZ3GY,HS_27421860000,339.0
p4sMIzLlIqk,HS_27430050000,16868.0
J4LMYIjzMDh,HS_27421120000,131.0
LSNFSyDR2Ec,HS_27430040000,1221.0
RTJbhrOb0LB,10002067,2127.0
PVLH8nNufJv,HS_27430120000,1182.0
EAN5GjcGP6k,10000105,228.0
wwE5TRfBuhI,HS_27421040000,5371.0
JBhv2WOYxSf,HS_27430080000,3.0
EfLoEHPMrUL,HS_27421550000,108.0
Vsj168YcM0W,10000427,13429.0
PVLH8nNufJv,10000427,175.0
AhQ1Net8U5z,HS_27430080000,7201.0
QCGhrXxmJDb,HS_27421860000,77.0
NlEkfvUZ1TS,10002067,0.0
CRZkTTALRSb,10001254,10669.0
fBurIvCJP0D,10000129,125.0
PoAojyGYuBr,HS_27422070000,362.0
NlEkfvUZ1TS,HS_27430190000,1333.0
SW4mM4SA65U,10001254,88.0
GYGcXE0XEzA,HS_27421360000,7.0
nyxjGxsZ3GY,10002233,607.0
J4LMYIjzMDh,HS_27430120000,8616.0
CRZkTTALRSb,HS_27422070000,4119.0
LSNFSyDR2Ec,HS_27422130000,5640.0
EAN5GjcGP6k,HS_27421110000,0.0
fBurIvCJP0D,10001464,89.0
EC4hrF3y7p9,10000647,553.0
wwE5TRfBuhI,HS_27422070000,3132.0
EC4hrF3y7p9,HS_27421860000,119.0
JBhv2WOYxSf,HS_27421530000,3.0
EfLoEHPMrUL,10001254,160.0
GYGcXE0XEzA,HS_27421680000,17.0
RTJbhrOb0LB,HS_27421160000,3721.0
NlEkfvUZ1TS,10000105,180.0
LSNFSyDR2Ec,HS_27421680000,3924.0
EAN5GjcGP6k,10000922,0.0
Vsj168YcM0W,HS_27430150000,6132.0
GZWzBoEhi1S,HS_27421370000,68.0
NlEkfvUZ1TS,HS_27422150000,108.0
EAN5GjcGP6k,HS_27421880000,5.0
f5G2bLJmbMP,10000427,542.0
AhQ1Net8U5z,HS_27430220000,3418.0
nnLPr1FqABz,HS_27430050000,153.0
Fnsa8A43USl,HS_27430180000,9855.0
QCGhrXxmJDb,10002233,683.0
J4LMYIjzMDh,HS_27421030000,4545.0
NlEkfvUZ1TS,HS_27421110000,31.0
oPi0KdUUkmk,10000536,5684.0
Fnsa8A43USl,HS_27430020000,9628.0
RTJbhrOb0LB,HS_27430170000,5343.0
p4sMIzLlIqk,HS_27430080000,21094.0
Vsj168YcM0W,HS_27430210000,5215.0
oPi0KdUUkmk,HS_27430020000,7046.0
Fnsa8A43USl,10000536,8579.0
CRZkTTALRSb,HS_27430030000,8145.0
JBhv2WOYxSf,HS_27430050000,1.0
f5G2bLJmbMP,HS_27430090000,19.0
oPi0KdUUkmk,HS_27430180000,742.0
Vsj168YcM0W,HS_27430090000,13074.0
NlEkfvUZ1TS,10001317,79.0
f5G2bLJmbMP,HS_27421120000,251.0
fBurIvCJP0D,HS_27430010000,202.0
RTJbhrOb0LB,HS_27421880000,3954.0
p4sMIzLlIqk,HS_27430030000,6959.0
SW4mM4SA65U,HS_27421550000,27.0
fBurIvCJP0D,HS_27430110000,2.0
NlEkfvUZ1TS,HS_27421210000,0.0
p4sMIzLlIqk,HS_27421550000,1006.0
NlEkfvUZ1TS,10002002,0.0
f5G2bLJmbMP,HS_27421590000,38.0
Fnsa8A43USl,HS_27430010000,21663.0
EAN5GjcGP6k,10000425,24.0
CRZkTTALRSb,HS_27421550000,4293.0
JBhv2WOYxSf,HS_27421550000,509.0
GYGcXE0XEzA,HS_27421040000,233.0
nnLPr1FqABz,HS_27421040000,546.0
NlEkfvUZ1TS,HS_27430170000,0.0
oPi0KdUUkmk,HS_27430010000,4905.0
GyTha0DmXeY,HS_27421370000,618.0
J4LMYIjzMDh,HS_27430150000,314.0
