Data,Organisation unit,Value
IMCI Other Disease,Bangladesh,2779001.0
IMCI Anemia (0 - 5 years),Bangladesh,323812.0
IMCI Fever-malaria,Bangladesh,21443.0
IMCI Diarrhea,Bangladesh,1545142.0
IMCI Pneumonia,Bangladesh,988058.0
IMCI counselling,Bangladesh,4079408.0
IMCI Pus draining from Umbilicus,Bangladesh,23582.0
IMCI Child Injury,Bangladesh,127975.0
IMCI Wasting (0 - 5 years),Bangladesh,100600.0
IMCI Ear problem,Bangladesh,385571.0
IMCI Underweight (0 - 5 years),Bangladesh,315825.0
IMCI Fever-no malaria,Bangladesh,2738293.0
IMCI Severe Acute Malnutrition,Bangladesh,38248.0
IMCI Cough & Cold no Pneumonia,Bangladesh,4414349.0
IMCI Complementary Feeding (6-23 months),Bangladesh,1543930.0
IMCI Drowning,Bangladesh,17892.0
IMCI Moderate Acute Malnutrition,Bangladesh,181802.0
IMCI Referral1,Bangladesh,1253438.0
IMCI Breast Feed within 1 hour of birth,Bangladesh,792661.0
IMCI Very Severe Disease,Bangladesh,390743.0
IMCI Stunting (0 - 5 years),Bangladesh,151240.0
IMCI Measles,Bangladesh,13367.0
IMCI Fever-malaria Unlikely,Bangladesh,106141.0
IMCI Facilitator Training Information,Bangladesh,3.0
IMCI Female,Bangladesh,6434530.0
IMCI Male,Bangladesh,6591884.0
IMCI Low Birth Weight,Bangladesh,100502.0
IMCI Protein & energy malnutrition (PEM),Bangladesh,739.0
IMCI Exclusive breast feeding,Bangladesh,1249257.0
