Data,Organisation unit,Value
GZWzBoEhi1S,HS_27430120000,1504.0
f5G2bLJmbMP,HS_27421680000,1.0
EC4hrF3y7p9,10002051,493.0
fBurIvCJP0D,HS_27421690000,2.0
JBhv2WOYxSf,10001648,177.0
RN4w5hxGHRk,HS_27421860000,17237.0
GZWzBoEhi1S,HS_27421690000,303.0
CRZkTTALRSb,10001648,9272.0
fBurIvCJP0D,HS_27430120000,140.0
p4sMIzLlIqk,HS_27421860000,7680.0
Vsj168YcM0W,HS_27421860000,6149.0
wwE5TRfBuhI,10002051,3653.0
PoAojyGYuBr,10002051,1238.0
nnLPr1FqABz,HS_27421690000,116.0
Vsj168YcM0W,HS_27422130000,6626.0
nyxjGxsZ3GY,HS_27421860000,329.0
EC4hrF3y7p9,HS_27430170000,4587.0
EfLoEHPMrUL,HS_27421690000,60.0
AhQ1Net8U5z,HS_27422150000,602.0
GyTha0DmXeY,HS_27422070000,1770.0
wwE5TRfBuhI,HS_27430170000,3636.0
QCGhrXxmJDb,HS_27430120000,2658.0
GyTha0DmXeY,HS_27422150000,2078.0
EAN5GjcGP6k,HS_27430120000,0.0
GZWzBoEhi1S,HS_27422130000,345.0
PVLH8nNufJv,HS_27430120000,1448.0
nyxjGxsZ3GY,HS_27430170000,792.0
RTJbhrOb0LB,HS_27421690000,2232.0
QCGhrXxmJDb,HS_27422130000,237.0
PoAojyGYuBr,HS_27430170000,1199.0
JBhv2WOYxSf,10002051,7.0
EAN5GjcGP6k,HS_27422130000,0.0
CRZkTTALRSb,10002051,17967.0
AhQ1Net8U5z,HS_27421680000,425.0
GyTha0DmXeY,HS_27421680000,6529.0
p4sMIzLlIqk,HS_27430170000,24107.0
NlEkfvUZ1TS,HS_27430120000,0.0
Fnsa8A43USl,HS_27422150000,10375.0
J4LMYIjzMDh,HS_27422150000,5975.0
QCGhrXxmJDb,HS_27421860000,77.0
RN4w5hxGHRk,HS_27430170000,15656.0
oPi0KdUUkmk,HS_27422150000,2680.0
PoAojyGYuBr,HS_27422070000,565.0
NlEkfvUZ1TS,HS_27421690000,0.0
p4sMIzLlIqk,HS_27422130000,164.0
GyTha0DmXeY,10001648,694.0
EfLoEHPMrUL,HS_27422130000,68.0
CRZkTTALRSb,HS_27430170000,19845.0
nyxjGxsZ3GY,HS_27422130000,545.0
EC4hrF3y7p9,HS_27422070000,183.0
RN4w5hxGHRk,HS_27422130000,10170.0
CRZkTTALRSb,HS_27422150000,9274.0
fBurIvCJP0D,HS_27421860000,61.0
