Data,Organisation unit,Value
p4sMIzLlIqk,dNLjKwsVjod,2946357.5
GZWzBoEhi1S,dNLjKwsVjod,354815.0
NlEkfvUZ1TS,dNLjKwsVjod,18683.0
RTJbhrOb0LB,dNLjKwsVjod,1587014.0
AhQ1Net8U5z,dNLjKwsVjod,977596.0
RN4w5hxGHRk,dNLjKwsVjod,4744981.4
fBurIvCJP0D,dNLjKwsVjod,25644.0
SW4mM4SA65U,dNLjKwsVjod,136443.0
JBhv2WOYxSf,dNLjKwsVjod,106664.0
nyxjGxsZ3GY,dNLjKwsVjod,399187.0
GYGcXE0XEzA,dNLjKwsVjod,320406.0
wwE5TRfBuhI,dNLjKwsVjod,2782647.0
EfLoEHPMrUL,dNLjKwsVjod,39033.0
Vsj168YcM0W,dNLjKwsVjod,4541907.0
oPi0KdUUkmk,dNLjKwsVjod,3107608.0
f5G2bLJmbMP,dNLjKwsVjod,18979.0
PVLH8nNufJv,dNLjKwsVjod,211595.0
J4LMYIjzMDh,dNLjKwsVjod,1398355.0
GyTha0DmXeY,dNLjKwsVjod,918764.0
PoAojyGYuBr,dNLjKwsVjod,383616.0
QCGhrXxmJDb,dNLjKwsVjod,162181.0
EAN5GjcGP6k,dNLjKwsVjod,13844.0
nnLPr1FqABz,dNLjKwsVjod,120859.0
CRZkTTALRSb,dNLjKwsVjod,6603710.0
Fnsa8A43USl,dNLjKwsVjod,6747022.0
EC4hrF3y7p9,dNLjKwsVjod,109783.0
ji6q7h7TE3n,dNLjKwsVjod,960.0
LSNFSyDR2Ec,dNLjKwsVjod,1.0778442E7
