Data,Organisation unit,Value
IMCI Other Disease,Bangladesh,3075882.0
IMCI Anemia (0 - 5 years),Bangladesh,388494.0
IMCI Fever-malaria,Bangladesh,16098.0
IMCI Diarrhea,Bangladesh,1643213.0
IMCI Pneumonia,Bangladesh,1010604.0
IMCI counselling,Bangladesh,5699379.0
IMCI Pus draining from Umbilicus,Bangladesh,27197.0
IMCI Child Injury,Bangladesh,142220.0
IMCI Wasting (0 - 5 years),Bangladesh,119797.0
IMCI Ear problem,Bangladesh,401323.0
IMCI Underweight (0 - 5 years),Bangladesh,379288.0
IMCI Fever-no malaria,Bangladesh,2828738.0
IMCI Severe Acute Malnutrition,Bangladesh,40917.0
IMCI Cough & Cold no Pneumonia,Bangladesh,4632611.0
IMCI Complementary Feeding (6-23 months),Bangladesh,2045574.0
IMCI Drowning,Bangladesh,18378.0
IMCI Moderate Acute Malnutrition,Bangladesh,227774.0
IMCI Referral1,Bangladesh,1642531.0
IMCI Breast Feed within 1 hour of birth,Bangladesh,1015334.0
IMCI Very Severe Disease,Bangladesh,416528.0
IMCI Stunting (0 - 5 years),Bangladesh,197925.0
IMCI Measles,Bangladesh,12247.0
IMCI Fever-malaria Unlikely,Bangladesh,136182.0
IMCI Female,Bangladesh,6836723.0
IMCI Male,Bangladesh,6962727.0
IMCI Low Birth Weight,Bangladesh,122224.0
IMCI Protein & energy malnutrition (PEM),Bangladesh,743.0
IMCI Exclusive breast feeding,Bangladesh,1688844.0
