Data,Organisation unit,Value
IMCI counselling,Pangsha Upazila,6741.0
IMCI Underweight (0 - 5 years),Atrai Upazila,726.0
IMCI Stunting (0 - 5 years),Nangalkot Upazila,73.0
IMCI Pneumonia,Bholahat Upazila,471.0
IMCI Breast Feed within 1 hour of birth,Panchgarh Sadar Upazila,16.0
IMCI Breast Feed within 1 hour of birth,Bochaganj Upazila,526.0
IMCI Pus draining from Umbilicus,Purbadhala Upazila,2.0
IMCI Breast Feed within 1 hour of birth,Baghai Chhari Upazila,15.0
IMCI Stunting (0 - 5 years),Ghior Upazila,22.0
IMCI Pus draining from Umbilicus,Atgharia Upazila,37.0
IMCI Anemia (0 - 5 years),Ulipur Upazila,424.0
IMCI Exclusive breast feeding,Kalapara Upazila,3778.0
IMCI Complementary Feeding (6-23 months),Palashbari Upazila,2178.0
IMCI Breast Feed within 1 hour of birth,Ramgarh Upazila,21.0
IMCI Diarrhea,Chaugachha Upazila,4136.0
IMCI Wasting (0 - 5 years),Mithamain Upazila,80.0
IMCI Cough & Cold no Pneumonia,Dupchanchia Upazila,7488.0
IMCI Wasting (0 - 5 years),Atwari Upazila,419.0
IMCI Breast Feed within 1 hour of birth,Nazirpur Upazila,2773.0
IMCI Very Severe Disease,Fatikchhari Upazila,205.0
IMCI Breast Feed within 1 hour of birth,Raipur Upazila,6386.0
IMCI Child Injury,Kazipur Upazila,303.0
IMCI Low Birth Weight,Boalkhali Upazila,29.0
IMCI Cough & Cold no Pneumonia,Ajmiriganj Upazila,4912.0
IMCI Severe Acute Malnutrition,Khansama Upazila,102.0
IMCI Stunting (0 - 5 years),Bhola Sadar Upazila,125.0
IMCI Cough & Cold no Pneumonia,Rampal Upazila,4156.0
IMCI Drowning,Batiaghata Upazila,14.0
IMCI Moderate Acute Malnutrition,Fulbaria Upazila,149.0
IMCI Exclusive breast feeding,Bauphal Upazila,1503.0
IMCI Fever-malaria Unlikely,Haluaghat Upazila,46.0
IMCI Low Birth Weight,Hathazari Upazila,261.0
IMCI Wasting (0 - 5 years),Golachipa Upazila,24.0
IMCI Breast Feed within 1 hour of birth,Bandar Upazila,125.0
IMCI Stunting (0 - 5 years),Hatiya Upazila,4.0
IMCI Fever-no malaria,Rowangchhari Upazila,715.0
IMCI Fever-no malaria,Fatikchhari Upazila,4011.0
IMCI Male,Keraniganj Upazila,42337.0
IMCI Child Injury,Chandpur Sadar Upazila,30.0
IMCI Measles,Netrokona Sadar Upazila,1.0
IMCI Wasting (0 - 5 years),Chauhali Upazila,10.0
IMCI counselling,Banaripara Upazila,21069.0
IMCI Complementary Feeding (6-23 months),Chunarughat Upazila,1861.0
IMCI Ear problem,Rani Nagar Upazila,899.0
IMCI Exclusive breast feeding,Komolnogor Upazila,1214.0
IMCI Female,Biral Upazila,8756.0
IMCI Other Disease,Pirojpur Sadar Upazila,5481.0
IMCI Stunting (0 - 5 years),Pakundia Upazila,1085.0
IMCI Breast Feed within 1 hour of birth,Modhukhali Upazila,1658.0
IMCI Complementary Feeding (6-23 months),Lohagara Upazila,2630.0
IMCI Wasting (0 - 5 years),Debidwar Upazila,385.0
IMCI Complementary Feeding (6-23 months),Durgapur Upazila,4253.0
IMCI Severe Acute Malnutrition,Dighalia Upazila,43.0
IMCI Child Injury,Bagherpara Upazila,46.0
IMCI Drowning,Shibganj Bogra Upazila,27.0
IMCI Very Severe Disease,Rowangchhari Upazila,7.0
IMCI counselling,Nangalkot Upazila,7863.0
IMCI Child Injury,Banshkhali Upazila,159.0
IMCI Fever-malaria Unlikely,Bagatipara Upazila,22.0
IMCI Fever-malaria,Barkal Upazila,10.0
IMCI Cough & Cold no Pneumonia,Rupganj Upazila,8556.0
IMCI Female,Boda Upazila,4687.0
IMCI Pneumonia,Jessore Sadar Upazila,6.0
IMCI Severe Acute Malnutrition,Bahubal Upazila,172.0
IMCI Child Injury,Khansama Upazila,23.0
IMCI Other Disease,Baraigram Upazila,8758.0
IMCI Diarrhea,Shib Char Upazila,2949.0
IMCI Measles,Mongla Upazila,1.0
IMCI Wasting (0 - 5 years),Dohar Upazila,6.0
IMCI Fever-no malaria,Birampur Upazila,3487.0
IMCI Diarrhea,Patgram Upazila,2712.0
IMCI Male,Bandarban Sadar Upazila,2164.0
IMCI Stunting (0 - 5 years),Banaripara Upazila,100.0
IMCI Male,Nilphamari Sadar Upazila,1657.0
IMCI Moderate Acute Malnutrition,Rampal Upazila,99.0
IMCI Exclusive breast feeding,Ghoraghat Upazila,637.0
IMCI Other Disease,Haluaghat Upazila,2500.0
IMCI counselling,Hijla Upazila,16796.0
IMCI Fever-malaria Unlikely,Baraigram Upazila,17.0
IMCI counselling,Kachua BH Upazila,18264.0
IMCI Exclusive breast feeding,Shibpur Upazila,1626.0
IMCI Other Disease,Barura Upazila,10038.0
IMCI Very Severe Disease,Gaffargaon Upazila,1264.0
IMCI Ear problem,Rangpur Sadar Upazila,1288.0
IMCI Cough & Cold no Pneumonia,Raozan Upazila,3298.0
IMCI Stunting (0 - 5 years),Pangsha Upazila,128.0
IMCI Fever-no malaria,Gaffargaon Upazila,2094.0
IMCI Child Injury,Dighalia Upazila,94.0
IMCI Breast Feed within 1 hour of birth,Habiganj Sadar Upazila,941.0
IMCI Diarrhea,Kaptai Upazila,331.0
IMCI Complementary Feeding (6-23 months),Manohardi Upazila,583.0
IMCI Moderate Acute Malnutrition,Rupganj Upazila,66.0
IMCI Measles,Kasba Upazila,0.0
IMCI Underweight (0 - 5 years),Nabiganj Upazila,337.0
IMCI Other Disease,Lama Upazila,4366.0
IMCI Breast Feed within 1 hour of birth,Sonaimuri Upazila,472.0
IMCI Diarrhea,Fakirhat Upazila,3715.0
IMCI Female,Shibganj NG Upazila,47884.0
IMCI Breast Feed within 1 hour of birth,Bheramara Upazila,3.0
IMCI Underweight (0 - 5 years),Char Bhadrasan Upazila,35.0
IMCI Fever-malaria,Madhupur Upazila,0.0
IMCI Wasting (0 - 5 years),Roumari Upazila,25.0
IMCI Diarrhea,Gopalganj Sadar Upazila,345.0
IMCI Fever-malaria,Maheshkhali Upazila,13.0
IMCI Complementary Feeding (6-23 months),Kalaroa Upazila,761.0
IMCI Pneumonia,Kachua BH Upazila,573.0
IMCI Fever-no malaria,Kaliakair Upazila,5942.0
IMCI Measles,Kulaura Upazila,81.0
IMCI Child Injury,Sulla Upazila,3.0
IMCI Pus draining from Umbilicus,Baniachong Upazila,95.0
IMCI Very Severe Disease,Burichang Upazila,1623.0
IMCI Exclusive breast feeding,Singair Upazila,2758.0
IMCI Cough & Cold no Pneumonia,Lakshmipur Sadar Upazilla,9557.0
IMCI Fever-malaria,Sarankhola Upazila,0.0
IMCI Pus draining from Umbilicus,Keraniganj Upazila,30.0
IMCI Complementary Feeding (6-23 months),Chandina Upazila,2613.0
IMCI Referral1,Ajmiriganj Upazila,652.0
IMCI Fever-no malaria,Burichang Upazila,699.0
IMCI Wasting (0 - 5 years),Kapasia Upazila,2.0
IMCI Anemia (0 - 5 years),Dhanbari Upzila,345.0
IMCI Anemia (0 - 5 years),Dashmina Upazila,28.0
IMCI Male,Hajiganj Upazila,4746.0
IMCI Cough & Cold no Pneumonia,Fulbaria Upazila,8596.0
IMCI Fever-malaria,Tangail Sadar Upazila,0.0
IMCI Very Severe Disease,Gauripur Upazila,60.0
IMCI Pneumonia,Patuakhali Sadar Upazila,277.0
IMCI Fever-malaria,Sitakunda Upazila,18.0
IMCI Breast Feed within 1 hour of birth,Araihazar Upazila,2623.0
IMCI Ear problem,Chandanaish Upazila,166.0
IMCI Very Severe Disease,Manda Upazila,338.0
IMCI Low Birth Weight,Assasuni Upazila,487.0
IMCI Wasting (0 - 5 years),Sakhipur Upazila,123.0
IMCI Moderate Acute Malnutrition,Ajmiriganj Upazila,714.0
IMCI Pneumonia,Pakundia Upazila,1195.0
IMCI Referral1,Dupchanchia Upazila,1315.0
IMCI Other Disease,Ruma Upazila,119.0
IMCI counselling,Titas Upazila,14853.0
IMCI Wasting (0 - 5 years),Sadarpur Upazila,45.0
IMCI Pneumonia,Nangalkot Upazila,2133.0
IMCI Fever-malaria,Koyra Upazila,0.0
IMCI Severe Acute Malnutrition,Gomastapur Upazila,21.0
IMCI Anemia (0 - 5 years),Rajapur Upazila,1401.0
IMCI Ear problem,Hakimpur Upazila,189.0
IMCI Cough & Cold no Pneumonia,Coxs Bazar Sadar Upazila,775.0
IMCI Severe Acute Malnutrition,Sulla Upazila,22.0
IMCI Fever-no malaria,Gauripur Upazila,9804.0
IMCI Child Injury,Kamalganj Upazila,473.0
IMCI Fever-no malaria,Manda Upazila,18500.0
IMCI Other Disease,Mollahat Upazila,3889.0
IMCI Pneumonia,Lalmonirhat Sadar Upazila,668.0
IMCI Diarrhea,Ramu Upazila,3862.0
IMCI Child Injury,Sreenagar Upazila,284.0
IMCI Breast Feed within 1 hour of birth,Titas Upazila,1643.0
IMCI Fever-malaria,Rangamati Sadar Upazila,0.0
IMCI Diarrhea,Alfadanga Upazila,1505.0
IMCI Female,Baliadangi Upazila,2207.0
IMCI Fever-no malaria,Belai Chhari Upazila,80.0
IMCI Fever-malaria Unlikely,Itna Upazila,51.0
IMCI counselling,Parbatipur Upazila,936.0
IMCI Exclusive breast feeding,Dacope Upazila,797.0
IMCI Measles,Maheshpur Upazila,0.0
IMCI Cough & Cold no Pneumonia,Chandina Upazila,7585.0
IMCI Pneumonia,Nawabganj DP Upazila,1726.0
IMCI Breast Feed within 1 hour of birth,Sherpur Upazila,1861.0
IMCI Underweight (0 - 5 years),Durgapur NK Upazila,3437.0
IMCI Low Birth Weight,Barisal Sadar Upazila,9.0
IMCI Anemia (0 - 5 years),Sirajganj Sadar Upazila,17.0
IMCI Cough & Cold no Pneumonia,Shalikha Upazila,5839.0
IMCI Other Disease,Fenchuganj Upazila,3466.0
IMCI Pus draining from Umbilicus,Boalmari Upazila,10.0
IMCI Severe Acute Malnutrition,Banshkhali Upazila,38.0
IMCI Very Severe Disease,Kaliakair Upazila,156.0
IMCI Anemia (0 - 5 years),Madan Upazila,51.0
IMCI Severe Acute Malnutrition,Kamalganj Upazila,119.0
IMCI Female,Dumuria Upazila,21813.0
IMCI Moderate Acute Malnutrition,Dupchanchia Upazila,119.0
IMCI Measles,Bajitpur Upazila,0.0
IMCI Pus draining from Umbilicus,Nagarpur Upazila,11.0
IMCI Very Severe Disease,Mollahat Upazila,821.0
IMCI Stunting (0 - 5 years),Bholahat Upazila,67.0
IMCI Severe Acute Malnutrition,Bagherpara Upazila,25.0
IMCI Fever-malaria Unlikely,Haripur Upazila,4.0
IMCI Drowning,Kotchandpur Upazila,2.0
IMCI Ear problem,Gobindaganj Upazila,1036.0
IMCI Anemia (0 - 5 years),Gobindaganj Upazila,1055.0
IMCI Complementary Feeding (6-23 months),Shalikha Upazila,1107.0
IMCI Breast Feed within 1 hour of birth,Parbatipur Upazila,447.0
IMCI Very Severe Disease,Jagannathpur Upazila,1097.0
IMCI counselling,Dighinala Upazila,10194.0
IMCI Underweight (0 - 5 years),Sarail Upazila,503.0
IMCI Fever-malaria,Rajasthali Upazila,21.0
IMCI Breast Feed within 1 hour of birth,Dighinala Upazila,412.0
IMCI Ear problem,Kapasia Upazila,939.0
IMCI Complementary Feeding (6-23 months),Savar Upazila,1921.0
IMCI Stunting (0 - 5 years),Kachua BH Upazila,105.0
IMCI Complementary Feeding (6-23 months),Chitalmari Upazila,3394.0
IMCI Fever-no malaria,Jagannathpur Upazila,4104.0
IMCI Wasting (0 - 5 years),Bakshiganj Upazila,362.0
IMCI Fever-no malaria,Mollahat Upazila,5422.0
IMCI Child Injury,Gomastapur Upazila,86.0
IMCI Anemia (0 - 5 years),Wazirpur Upazila,147.0
IMCI Pneumonia,Companiganj NK Upazila,1354.0
IMCI Fever-no malaria,Trishal Upazila,6912.0
IMCI Measles,Mohanganj Upazila,27.0
IMCI Fever-malaria Unlikely,Lama Upazila,53.0
IMCI Moderate Acute Malnutrition,Lakshmipur Sadar Upazilla,475.0
IMCI Low Birth Weight,Narsingdi Sadar Upazila,21.0
IMCI counselling,Ramgarh Upazila,1711.0
IMCI Complementary Feeding (6-23 months),Ramganj Upazila,9335.0
IMCI counselling,Bandar Upazila,6096.0
IMCI Breast Feed within 1 hour of birth,Hijla Upazila,3991.0
IMCI Ear problem,Bakshiganj Upazila,563.0
IMCI Severe Acute Malnutrition,Zakiganj Upazila,142.0
IMCI Referral1,Comilla Sadar South Upazila,255.0
IMCI Pneumonia,Pangsha Upazila,946.0
IMCI Ear problem,Senbag Upazila,995.0
IMCI Stunting (0 - 5 years),Titas Upazila,431.0
IMCI Complementary Feeding (6-23 months),Kamarkhanda Upazila,1430.0
IMCI Moderate Acute Malnutrition,Coxs Bazar Sadar Upazila,3.0
IMCI counselling,Panchgarh Sadar Upazila,7.0
IMCI counselling,Nazirpur Upazila,15235.0
IMCI Male,Dumki Upazila,3008.0
IMCI Breast Feed within 1 hour of birth,Pangsha Upazila,2544.0
IMCI Low Birth Weight,Kathalia Upazila,72.0
IMCI Low Birth Weight,Mirzaganj Upazila,69.0
IMCI Fever-malaria,Satkania Upazila,0.0
IMCI Male,Amtali Upazila,19638.0
IMCI counselling,Raipur Upazila,14200.0
IMCI Pneumonia,Banaripara Upazila,3089.0
IMCI Fever-no malaria,Kendua Upazila,1601.0
IMCI Other Disease,Monpura Upazila,2523.0
IMCI Very Severe Disease,Belai Chhari Upazila,0.0
IMCI Other Disease,Alamdanga Upazila,5996.0
