Data,Organisation unit,Value
IMCI Anemia (0 - 5 years),"Bagerhat District Hospital, Bagerhat",1835.0
IMCI Drowning,"Thakurgaon District Hospital, Thakurgaon",14.0
IMCI Low Birth Weight,"Patuakhali District Hospital, Patuakhali",729.0
IMCI Wasting (0 - 5 years),Sirajganj General Hospital,521.0
IMCI counselling,"Narail District Hospital, Narail",30675.0
IMCI Anemia (0 - 5 years),"Panchagarh District Hospital, Panchagarh",653.0
IMCI Female,Sirajganj General Hospital,9587.0
IMCI Pus draining from Umbilicus,"Bagerhat District Hospital, Bagerhat",77.0
IMCI Other Disease,"Narail District Hospital, Narail",11365.0
IMCI Cough & Cold no Pneumonia,"Narail District Hospital, Narail",8668.0
IMCI Fever-no malaria,"Patuakhali District Hospital, Patuakhali",2672.0
IMCI Very Severe Disease,"Patuakhali District Hospital, Patuakhali",3882.0
IMCI Fever-malaria Unlikely,"Panchagarh District Hospital, Panchagarh",191.0
IMCI Cough & Cold no Pneumonia,"Sunamganj District Hospital, Sunamganj",10477.0
IMCI Ear problem,"Narail District Hospital, Narail",436.0
IMCI Low Birth Weight,"Jamalpur District Hospital, Jamalpur",4365.0
IMCI Severe Acute Malnutrition,"Panchagarh District Hospital, Panchagarh",137.0
IMCI Pneumonia,"M.Bazar District Hospital, M.Bazar",506.0
IMCI Breast Feed within 1 hour of birth,"Barguna District Hospital, Barguna",2393.0
IMCI Fever-no malaria,"Jamalpur District Hospital, Jamalpur",2553.0
IMCI Stunting (0 - 5 years),"Bagerhat District Hospital, Bagerhat",3660.0
IMCI Breast Feed within 1 hour of birth,"M.Bazar District Hospital, M.Bazar",3731.0
IMCI Measles,"Bagerhat District Hospital, Bagerhat",0.0
IMCI Anemia (0 - 5 years),"Sunamganj District Hospital, Sunamganj",629.0
IMCI Moderate Acute Malnutrition,"Bagerhat District Hospital, Bagerhat",1867.0
IMCI Ear problem,"Jamalpur District Hospital, Jamalpur",813.0
IMCI Diarrhea,"Panchagarh District Hospital, Panchagarh",3227.0
IMCI Stunting (0 - 5 years),"Sunamganj District Hospital, Sunamganj",370.0
IMCI Very Severe Disease,"Jamalpur District Hospital, Jamalpur",1189.0
IMCI Measles,"Sunamganj District Hospital, Sunamganj",0.0
IMCI Female,"Patuakhali District Hospital, Patuakhali",17679.0
IMCI Pneumonia,"Thakurgaon District Hospital, Thakurgaon",634.0
IMCI Breast Feed within 1 hour of birth,"Thakurgaon District Hospital, Thakurgaon",10411.0
IMCI Other Disease,"Jamalpur District Hospital, Jamalpur",30456.0
IMCI Fever-malaria,"Bagerhat District Hospital, Bagerhat",0.0
IMCI Male,"M.Bazar District Hospital, M.Bazar",13733.0
IMCI Referral1,"M.Bazar District Hospital, M.Bazar",7153.0
IMCI Stunting (0 - 5 years),"Narail District Hospital, Narail",229.0
IMCI counselling,"Jamalpur District Hospital, Jamalpur",26488.0
IMCI Complementary Feeding (6-23 months),"M.Bazar District Hospital, M.Bazar",7931.0
IMCI Very Severe Disease,"Barguna District Hospital, Barguna",592.0
IMCI Fever-malaria,"Panchagarh District Hospital, Panchagarh",0.0
