Data,Organisation unit,Value
i6QEYClHdq0,dNLjKwsVjod,17974.0
u9OhIVDEWsy,dNLjKwsVjod,96616.0
SfAMOtgRGMl,dNLjKwsVjod,35382.0
MHYV3eFwGZU,dNLjKwsVjod,26718.0
GrWwPolhzSH,dNLjKwsVjod,39371.0
EIYwrOwQp1b,dNLjKwsVjod,52218.0
MjZc6wdibMI,dNLjKwsVjod,7282.0
aCNUUnn9WRa,dNLjKwsVjod,60706.0
Nx1PwHixPdu,dNLjKwsVjod,9797573.0
JAyhRsqgHlq,dNLjKwsVjod,23569.0
LJUDUzZRzM9,dNLjKwsVjod,3789.0
v772UnlCScj,dNLjKwsVjod,11909.0
gqhJ7uUEVvH,dNLjKwsVjod,23988.0
QBuqiBnunbj,dNLjKwsVjod,51954.0
WbJrqc7RiNR,dNLjKwsVjod,82432.0
vhYNM40e45e,dNLjKwsVjod,1767.0
tZJ5q911iIz,dNLjKwsVjod,50775.0
