Data,Organisation unit,Value
Nx1PwHixPdu,4047,102212.0
GrWwPolhzSH,3093,283.0
EIYwrOwQp1b,3093,518.0
QBuqiBnunbj,5573,3519.0
WbJrqc7RiNR,5573,3876.0
gqhJ7uUEVvH,3039,1631.0
v772UnlCScj,3093,162.0
MHYV3eFwGZU,3093,198.0
tZJ5q911iIz,1009,4596.0
vhYNM40e45e,1009,577.0
i6QEYClHdq0,1009,2547.0
u9OhIVDEWsy,3093,1602.0
MjZc6wdibMI,3093,73.0
SfAMOtgRGMl,3039,1915.0
WbJrqc7RiNR,3039,1465.0
JAyhRsqgHlq,3033,724.0
LJUDUzZRzM9,4047,3164.0
QBuqiBnunbj,3093,313.0
aCNUUnn9WRa,4047,46967.0
GrWwPolhzSH,5573,2609.0
i6QEYClHdq0,3039,321.0
EIYwrOwQp1b,5573,5988.0
JAyhRsqgHlq,1009,3121.0
JAyhRsqgHlq,3039,982.0
LJUDUzZRzM9,5573,1223.0
EIYwrOwQp1b,3039,1348.0
u9OhIVDEWsy,5573,10197.0
MjZc6wdibMI,5573,309.0
u9OhIVDEWsy,4047,83481.0
aCNUUnn9WRa,5573,12905.0
vhYNM40e45e,3033,8.0
MHYV3eFwGZU,5573,2755.0
JAyhRsqgHlq,4047,20067.0
tZJ5q911iIz,3033,1660.0
i6QEYClHdq0,5573,972.0
v772UnlCScj,3033,116.0
EIYwrOwQp1b,4047,40706.0
Nx1PwHixPdu,5573,9694036.0
SfAMOtgRGMl,3033,2377.0
gqhJ7uUEVvH,5573,4157.0
QBuqiBnunbj,3039,854.0
u9OhIVDEWsy,3039,4170.0
v772UnlCScj,1009,2074.0
QBuqiBnunbj,4047,52122.0
SfAMOtgRGMl,3093,462.0
vhYNM40e45e,3093,19.0
SfAMOtgRGMl,1009,2482.0
gqhJ7uUEVvH,4047,18134.0
WbJrqc7RiNR,3033,1672.0
Nx1PwHixPdu,3039,4876.0
MjZc6wdibMI,1009,2633.0
SfAMOtgRGMl,4047,29989.0
u9OhIVDEWsy,1009,9388.0
LJUDUzZRzM9,1009,325.0
JAyhRsqgHlq,3093,183.0
aCNUUnn9WRa,1009,4969.0
QBuqiBnunbj,3033,1243.0
MHYV3eFwGZU,1009,3684.0
JAyhRsqgHlq,5573,2203.0
MHYV3eFwGZU,3033,1502.0
tZJ5q911iIz,5573,4761.0
MjZc6wdibMI,3039,115.0
LJUDUzZRzM9,3039,530.0
i6QEYClHdq0,4047,18503.0
tZJ5q911iIz,3093,440.0
MjZc6wdibMI,3033,153.0
GrWwPolhzSH,3033,739.0
EIYwrOwQp1b,3033,2242.0
aCNUUnn9WRa,3039,2330.0
WbJrqc7RiNR,4047,80888.0
GrWwPolhzSH,1009,1576.0
EIYwrOwQp1b,1009,5330.0
MHYV3eFwGZU,3039,1118.0
tZJ5q911iIz,4047,43623.0
LJUDUzZRzM9,3033,65.0
v772UnlCScj,4047,11890.0
vhYNM40e45e,4047,1118.0
QBuqiBnunbj,1009,1556.0
MHYV3eFwGZU,4047,21584.0
v772UnlCScj,3039,258.0
tZJ5q911iIz,3039,2147.0
vhYNM40e45e,3039,100.0
aCNUUnn9WRa,3033,2062.0
i6QEYClHdq0,3033,183.0
aCNUUnn9WRa,3093,510.0
gqhJ7uUEVvH,3093,344.0
GrWwPolhzSH,3039,734.0
MjZc6wdibMI,4047,7024.0
WbJrqc7RiNR,1009,5222.0
LJUDUzZRzM9,3093,29.0
i6QEYClHdq0,3093,200.0
GrWwPolhzSH,4047,38274.0
gqhJ7uUEVvH,3033,900.0
Nx1PwHixPdu,3033,3406.0
Nx1PwHixPdu,1009,11700.0
v772UnlCScj,5573,606.0
vhYNM40e45e,5573,210.0
gqhJ7uUEVvH,1009,1960.0
u9OhIVDEWsy,3033,2581.0
WbJrqc7RiNR,3093,420.0
Nx1PwHixPdu,3093,1842.0
SfAMOtgRGMl,5573,6369.0
