Data,Organisation unit,Value
bxWM44vSK5Y,10002235,1.0
RQc18l3wDSO,10002125,26.0
SO5FPIMwAc5,10002085,1.0
bxWM44vSK5Y,10002085,0.0
RQc18l3wDSO,10001817,0.0
SO5FPIMwAc5,10001636,0.0
RQc18l3wDSO,10000456,1.0
qO8CgZ4vKfP,10001636,0.0
qO8CgZ4vKfP,10000461,0.0
lRRI95T2oSz,10001028,0.0
pHhXDcv67eW,10001003,0.0
RQc18l3wDSO,10002029,2.0
qO8CgZ4vKfP,10002235,5.0
SO5FPIMwAc5,10002235,1.0
eMADOufSiyY,10001011,6.0
RQc18l3wDSO,10001322,4.0
pHhXDcv67eW,10001011,0.0
pHhXDcv67eW,10002088,0.0
eMADOufSiyY,10002088,12.0
eMADOufSiyY,10001801,3.0
SO5FPIMwAc5,10002077,0.0
SO5FPIMwAc5,10001056,0.0
RQc18l3wDSO,10001830,2.0
SWlC9SrLpke,10002075,13.0
SO5FPIMwAc5,10000461,0.0
JHJDbG6o4qf,10001003,0.0
qwYNKZORbss,10000992,0.0
eMADOufSiyY,10001003,1.0
eMADOufSiyY,10000601,34.0
eMADOufSiyY,10000218,2.0
eMADOufSiyY,10002094,27.0
qO8CgZ4vKfP,10002085,2.0
JHJDbG6o4qf,10001019,0.0
RQc18l3wDSO,10000212,0.0
eMADOufSiyY,10001338,4.0
bxWM44vSK5Y,10002077,0.0
JHJDbG6o4qf,10001801,0.0
JHJDbG6o4qf,10001064,0.0
bxWM44vSK5Y,10001056,0.0
bxWM44vSK5Y,10001636,0.0
SWlC9SrLpke,10001870,1.0
SWlC9SrLpke,10002106,1.0
qO8CgZ4vKfP,10001830,17.0
lRRI95T2oSz,10002048,0.0
qwYNKZORbss,10001061,0.0
RQc18l3wDSO,10001667,0.0
eMADOufSiyY,10002106,4.0
SO5FPIMwAc5,10000992,1.0
bxWM44vSK5Y,10000212,0.0
JHJDbG6o4qf,10002094,6.0
qwYNKZORbss,10002075,0.0
qO8CgZ4vKfP,10002077,0.0
RQc18l3wDSO,10000613,0.0
qO8CgZ4vKfP,10001056,0.0
lRRI95T2oSz,10001076,0.0
qwYNKZORbss,10001037,1.0
SO5FPIMwAc5,10001076,0.0
