Data,Organisation unit,Value
Received KMC and 1st followed up,"Narsingdi District Hospital, Narsingdi",0.0
Babies died during KMC,"Hobiganj District Hospital, Hobiganj",0.0
Received KMC and referred/discontinued,"Noakhali District Hospital, Noakhali",2.0
Received KMC and referred/discontinued,"M.Bazar District Hospital, M.Bazar",0.0
Discharged after KMC as per protocol,Sirajganj General Hospital,4.0
Received KMC and 3rd followed up,"Pirojpur District Hospital, Pirojpur",2.0
Received KMC and 2nd followed up,"Hobiganj District Hospital, Hobiganj",1.0
Received KMC and 1st followed up,Sirajganj General Hospital,2.0
Babies born in facility received KMC,Lakshmipur District Hospital,9.0
Babies received KMC,"Coxs Bazar District Hospital, Coxs Bazar",191.0
Received KMC and 2nd followed up,"Rangamati District Hospital, Rangamati",0.0
Received KMC and 4th followed up,"Hobiganj District Hospital, Hobiganj",0.0
Received KMC and 3rd followed up,"Narsingdi District Hospital, Narsingdi",0.0
Discharged after KMC as per protocol,Lakshmipur District Hospital,9.0
Discharged after KMC as per protocol,"Jhalokati District Hospital, Jhalokati",11.0
Babies died during KMC,"Rangamati District Hospital, Rangamati",0.0
Received KMC and 2nd followed up,"Noakhali District Hospital, Noakhali",0.0
Received KMC and 2nd followed up,"M.Bazar District Hospital, M.Bazar",0.0
Received KMC and 4th followed up,"Noakhali District Hospital, Noakhali",0.0
Received KMC and 4th followed up,"M.Bazar District Hospital, M.Bazar",0.0
Babies died during KMC,"Noakhali District Hospital, Noakhali",0.0
Babies died during KMC,"M.Bazar District Hospital, M.Bazar",0.0
Discharged after KMC on request,"Rangamati District Hospital, Rangamati",1.0
Received KMC and 3rd followed up,Lakshmipur District Hospital,0.0
Received KMC and referred/discontinued,"Hobiganj District Hospital, Hobiganj",0.0
Discharged after KMC as per protocol,"Kustia District Hospital, Kustia",11.0
Discharged after KMC on request,"Hobiganj District Hospital, Hobiganj",28.0
Babies received KMC,"Hobiganj District Hospital, Hobiganj",61.0
Babies born in facility received KMC,"Pirojpur District Hospital, Pirojpur",5.0
Discharged after KMC as per protocol,"Narsingdi District Hospital, Narsingdi",0.0
Babies received KMC,"Rangamati District Hospital, Rangamati",10.0
Babies born in facility received KMC,"Kustia District Hospital, Kustia",91.0
Received KMC and 3rd followed up,"Kustia District Hospital, Kustia",10.0
Received KMC and 1st followed up,"Pirojpur District Hospital, Pirojpur",2.0
Received KMC and 2nd followed up,"Coxs Bazar District Hospital, Coxs Bazar",15.0
Received KMC and referred/discontinued,"Kustia District Hospital, Kustia",49.0
Received KMC and referred/discontinued,"Rangamati District Hospital, Rangamati",0.0
Received KMC and 1st followed up,"Kustia District Hospital, Kustia",105.0
Discharged after KMC as per protocol,"Pirojpur District Hospital, Pirojpur",0.0
Received KMC and 4th followed up,"Jamalpur District Hospital, Jamalpur",0.0
Received KMC and 2nd followed up,"Bhola District Hospital, Bhola",0.0
Babies born in facility received KMC,"Kurigram District Hospital, Kurigram",1.0
Received KMC and 3rd followed up,"Bhola District Hospital, Bhola",0.0
Received KMC and referred/discontinued,Lakshmipur District Hospital,0.0
Received KMC and 3rd followed up,"Jamalpur District Hospital, Jamalpur",0.0
Received KMC and 1st followed up,"Coxs Bazar District Hospital, Coxs Bazar",142.0
Babies born in facility received KMC,"Noakhali District Hospital, Noakhali",71.0
Discharged after KMC on request,"Coxs Bazar District Hospital, Coxs Bazar",13.0
Received KMC and referred/discontinued,"Jhalokati District Hospital, Jhalokati",1.0
Discharged after KMC as per protocol,"M.Bazar District Hospital, M.Bazar",10.0
Received KMC and 4th followed up,Lakshmipur District Hospital,0.0
Babies received KMC,"Noakhali District Hospital, Noakhali",110.0
Babies born in facility received KMC,"Bhola District Hospital, Bhola",7.0
Received KMC and referred/discontinued,"Bhola District Hospital, Bhola",0.0
Discharged after KMC as per protocol,"Coxs Bazar District Hospital, Coxs Bazar",174.0
Received KMC and referred/discontinued,Sirajganj General Hospital,0.0
Received KMC and 3rd followed up,"Kurigram District Hospital, Kurigram",5.0
Babies born in facility received KMC,Sirajganj General Hospital,3.0
Babies received KMC,Sirajganj General Hospital,12.0
Received KMC and 3rd followed up,"Noakhali District Hospital, Noakhali",0.0
Received KMC and 3rd followed up,"Jhalokati District Hospital, Jhalokati",0.0
Babies received KMC,"Kurigram District Hospital, Kurigram",24.0
Received KMC and 2nd followed up,"Kustia District Hospital, Kustia",45.0
Received KMC and 2nd followed up,"Pirojpur District Hospital, Pirojpur",2.0
Babies died during KMC,"Coxs Bazar District Hospital, Coxs Bazar",0.0
Babies born in facility received KMC,"Jhalokati District Hospital, Jhalokati",3.0
Discharged after KMC on request,"M.Bazar District Hospital, M.Bazar",12.0
Babies received KMC,"Bhola District Hospital, Bhola",19.0
Received KMC and 3rd followed up,Sirajganj General Hospital,0.0
Received KMC and referred/discontinued,"Kurigram District Hospital, Kurigram",4.0
Babies died during KMC,"Pirojpur District Hospital, Pirojpur",0.0
Discharged after KMC as per protocol,"Rangamati District Hospital, Rangamati",0.0
Received KMC and 4th followed up,"Narsingdi District Hospital, Narsingdi",0.0
Babies died during KMC,Sirajganj General Hospital,12.0
MBFFI|Number of LBW given KMC,"Kurigram District Hospital, Kurigram",91.0
Received KMC and 2nd followed up,"Narsingdi District Hospital, Narsingdi",0.0
Discharged after KMC as per protocol,"Hobiganj District Hospital, Hobiganj",34.0
Received KMC and 1st followed up,"Hobiganj District Hospital, Hobiganj",1.0
Received KMC and 4th followed up,Sirajganj General Hospital,0.0
Received KMC and 2nd followed up,Sirajganj General Hospital,0.0
Discharged after KMC on request,"Kurigram District Hospital, Kurigram",1.0
Babies died during KMC,"Jhalokati District Hospital, Jhalokati",1.0
Babies born in facility received KMC,"Coxs Bazar District Hospital, Coxs Bazar",76.0
Babies received KMC,"Jhalokati District Hospital, Jhalokati",10.0
Received KMC and 2nd followed up,"Jhalokati District Hospital, Jhalokati",0.0
Received KMC and referred/discontinued,"Narsingdi District Hospital, Narsingdi",0.0
Babies received KMC,Lakshmipur District Hospital,72.0
Discharged after KMC on request,"Pirojpur District Hospital, Pirojpur",14.0
Received KMC and 1st followed up,"Noakhali District Hospital, Noakhali",46.0
Received KMC and 1st followed up,"M.Bazar District Hospital, M.Bazar",0.0
Received KMC and 2nd followed up,Lakshmipur District Hospital,3.0
Received KMC and 2nd followed up,"Kurigram District Hospital, Kurigram",5.0
Received KMC and 4th followed up,"Jhalokati District Hospital, Jhalokati",0.0
Received KMC and 4th followed up,"Kurigram District Hospital, Kurigram",5.0
Babies born in facility received KMC,"Hobiganj District Hospital, Hobiganj",28.0
Babies died during KMC,"Kustia District Hospital, Kustia",0.0
Received KMC and referred/discontinued,"Jamalpur District Hospital, Jamalpur",0.0
Received KMC and 1st followed up,"Rangamati District Hospital, Rangamati",0.0
Babies died during KMC,"Narsingdi District Hospital, Narsingdi",0.0
Babies born in facility received KMC,"Rangamati District Hospital, Rangamati",9.0
Discharged after KMC on request,"Jamalpur District Hospital, Jamalpur",0.0
Received KMC and referred/discontinued,"Pirojpur District Hospital, Pirojpur",0.0
Babies received KMC,"Kustia District Hospital, Kustia",259.0
Received KMC and 4th followed up,"Bhola District Hospital, Bhola",0.0
Received KMC and 3rd followed up,"Rangamati District Hospital, Rangamati",0.0
Babies received KMC,"Pirojpur District Hospital, Pirojpur",14.0
Received KMC and 3rd followed up,"Hobiganj District Hospital, Hobiganj",0.0
Discharged after KMC on request,Lakshmipur District Hospital,63.0
Received KMC and 1st followed up,"Jamalpur District Hospital, Jamalpur",0.0
Babies born in facility received KMC,"M.Bazar District Hospital, M.Bazar",12.0
Received KMC and 4th followed up,"Coxs Bazar District Hospital, Coxs Bazar",0.0
Babies died during KMC,"Bhola District Hospital, Bhola",0.0
Received KMC and referred/discontinued,"Coxs Bazar District Hospital, Coxs Bazar",2.0
Received KMC and 3rd followed up,"Coxs Bazar District Hospital, Coxs Bazar",0.0
Babies died during KMC,"Kurigram District Hospital, Kurigram",0.0
Babies died during KMC,"Jamalpur District Hospital, Jamalpur",0.0
Discharged after KMC as per protocol,"Noakhali District Hospital, Noakhali",91.0
Received KMC and 2nd followed up,"Jamalpur District Hospital, Jamalpur",0.0
Discharged after KMC on request,"Kustia District Hospital, Kustia",193.0
Received KMC and 1st followed up,Lakshmipur District Hospital,21.0
Babies received KMC,"M.Bazar District Hospital, M.Bazar",34.0
Discharged after KMC on request,"Bhola District Hospital, Bhola",5.0
Discharged after KMC as per protocol,"Jamalpur District Hospital, Jamalpur",0.0
Received KMC and 1st followed up,"Kurigram District Hospital, Kurigram",5.0
Received KMC and 1st followed up,"Jhalokati District Hospital, Jhalokati",4.0
Discharged after KMC on request,Sirajganj General Hospital,0.0
Discharged after KMC on request,"Jhalokati District Hospital, Jhalokati",10.0
Received KMC and 3rd followed up,"M.Bazar District Hospital, M.Bazar",0.0
Received KMC and 4th followed up,"Rangamati District Hospital, Rangamati",0.0
Babies died during KMC,Lakshmipur District Hospital,0.0
Discharged after KMC as per protocol,"Bhola District Hospital, Bhola",14.0
Received KMC and 4th followed up,"Pirojpur District Hospital, Pirojpur",0.0
Discharged after KMC as per protocol,"Kurigram District Hospital, Kurigram",2.0
Discharged after KMC on request,"Narsingdi District Hospital, Narsingdi",0.0
Received KMC and 4th followed up,"Kustia District Hospital, Kustia",7.0
Received KMC and 1st followed up,"Bhola District Hospital, Bhola",3.0
Discharged after KMC on request,"Noakhali District Hospital, Noakhali",16.0
