Data,Organisation unit,Value
Received KMC and 4th followed up,Bangladesh,258.0
Babies received KMC,Bangladesh,2641.0
Received KMC and 1st followed up,Bangladesh,1626.0
MBFFI|Number of LBW given KMC,Bangladesh,171.0
Discharged after KMC as per protocol,Bangladesh,1664.0
Received KMC and 3rd followed up,Bangladesh,469.0
Received KMC and 2nd followed up,Bangladesh,832.0
Received KMC and referred/discontinued,Bangladesh,222.0
Babies born in facility received KMC,Bangladesh,1601.0
Babies died during KMC,Bangladesh,35.0
Discharged after KMC on request,Bangladesh,793.0
