Data,Organisation unit,Value
W1PLGTdbLgB,dNLjKwsVjod,30.0
JVxL7kfHERM,dNLjKwsVjod,205.0
LxkL3DDPkWQ,dNLjKwsVjod,44.0
oQ6mhgi3zUA,dNLjKwsVjod,3103.0
XSILZrhb4Ha,dNLjKwsVjod,3559.0
fUMh5eXVP4M,dNLjKwsVjod,785.0
ZOvd4lIV2YS,dNLjKwsVjod,118.0
jL0psEd7e4y,dNLjKwsVjod,502.0
DsKLoeFOo5s,dNLjKwsVjod,139.0
eemtMsC2eIM,dNLjKwsVjod,23589.0
SZOl5tatteh,dNLjKwsVjod,4673.0
PQJuVOlDIgP,dNLjKwsVjod,1460.0
MFiuOXgcblM,dNLjKwsVjod,21069.0
GW6NR7b0Jn5,dNLjKwsVjod,158.0
TcLYWe9quMK,dNLjKwsVjod,3535.0
HRsGzjZ50Sy,dNLjKwsVjod,296.0
R14scGNyutk,dNLjKwsVjod,80.0
lVwvLd0GAP3,dNLjKwsVjod,3525.0
zpWJXw2iwMr,dNLjKwsVjod,48.0
HmhcJzqjjAy,dNLjKwsVjod,54.0
SRhGzNOw4HM,dNLjKwsVjod,3.0
fkLjLa1i5pa,dNLjKwsVjod,1512.0
xiBm1dF4cMz,dNLjKwsVjod,91.0
DDfQMknwALS,dNLjKwsVjod,23.0
MhJ01rtQdCr,dNLjKwsVjod,3.0
xkdyzgQ2Z0d,dNLjKwsVjod,212.0
reiXmfEmly3,dNLjKwsVjod,26.0
sJ74iV0Q4AA,dNLjKwsVjod,98.0
mXMEeRyNVvu,dNLjKwsVjod,366.0
PQiTIVSaMG3,dNLjKwsVjod,3633.0
que9GdwI0zB,dNLjKwsVjod,236.0
CMdnu5HPkNB,dNLjKwsVjod,151.0
J9jN4eRuv8d,dNLjKwsVjod,1703.0
zS6CEpgg3al,dNLjKwsVjod,30.0
DacIgCB0RAq,dNLjKwsVjod,108.0
NZlZ49U6SjN,dNLjKwsVjod,2382.0
fHemCItaWHF,dNLjKwsVjod,1728.0
ScXHMiqi29p,dNLjKwsVjod,97.0
WSSK1CdD3SW,dNLjKwsVjod,38.0
hZ6jBmRWMMG,dNLjKwsVjod,99.0
yjuOWGwYmqc,dNLjKwsVjod,3381.0
qrxQLBXC9Ry,dNLjKwsVjod,3584.0
W9514hLTG6D,dNLjKwsVjod,3898.0
fETzFyk0L4v,dNLjKwsVjod,249.0
wSSzPT37iM4,dNLjKwsVjod,3706.0
DluAR5bBgRS,dNLjKwsVjod,373.0
zfH93frNrj6,dNLjKwsVjod,61.0
aCSagugDtr8,dNLjKwsVjod,3433.0
kwH34qQEGNe,dNLjKwsVjod,51.0
cIgnSCyTsD4,dNLjKwsVjod,84.0
olXUCkZ7oUM,dNLjKwsVjod,811.0
rRaxpV4NkJw,dNLjKwsVjod,2861.0
mCxbDcAGOgu,dNLjKwsVjod,4491.0
OhSA5dQh6mc,dNLjKwsVjod,55.0
mmVezK4CFhA,dNLjKwsVjod,4008.0
dqWONERQ49X,dNLjKwsVjod,12029.0
zK4EvnpVDUR,dNLjKwsVjod,1302.0
Z7Auvk7R12c,dNLjKwsVjod,1104.0
kpb5RtES4WQ,dNLjKwsVjod,774.0
ef0DNqKwhSC,dNLjKwsVjod,1033.0
YwdIxr7PYd3,dNLjKwsVjod,1162.0
k3nn0MjnBYN,dNLjKwsVjod,11140.0
ew7rcDGbAJG,dNLjKwsVjod,1234.0
BFTYWO479aO,dNLjKwsVjod,9027.0
