Data,Organisation unit,Value
EPI Session Planned,Bangladesh,2984559.0
TT3 dose (15-49y women),Bangladesh,3933570.0
OPV 0 given (0-11m),Bangladesh,1052832.0
IPV given 12-23m,Bangladesh,3550.0
OPV 1 given (12-23m),Bangladesh,42610.0
Penta 1 given (0-11m),Bangladesh,6888164.0
Penta 3 given 12-23m,Bangladesh,3951.0
MR given 15-18m,Bangladesh,3762389.0
OPV 2 given (12-23m),Bangladesh,41865.0
MR given 0-11m,Bangladesh,4224235.0
EPI Birth Registration done,Bangladesh,5362688.0
PCV3 given 0-11m,Bangladesh,3933980.0
TT4 dose pregnant women,Bangladesh,707291.0
OPV 4 given (12-23m),Bangladesh,59058.0
PCV3 given 12-23m,Bangladesh,4877.0
TT5 dose pregnant women,Bangladesh,957893.0
BCG given (0-11m),Bangladesh,6952017.0
TT3 dose pregnant women,Bangladesh,753032.0
EPI Gavi_Vol,Bangladesh,117878.0
EPI HA,Bangladesh,2684396.0
EPI Infant Monthly Target,Bangladesh,7874688.1
PCV2 given 12-23m,Bangladesh,3818.0
EPI FWA,Bangladesh,929716.0
EPI U1 Death,Bangladesh,16735.0
OPV 2 given (0-11m),Bangladesh,6786194.0
TT1 dose (15-49y women),Bangladesh,3096270.0
OPV 1 given (0-11),Bangladesh,6849242.0
EPI Session Held,Bangladesh,2826209.0
Penta 2 given (12-23m),Bangladesh,31120.0
Penta 1 given (12-23m),Bangladesh,36890.0
TT1 dose pregnant women,Bangladesh,1021650.0
TT2 dose (15-49y women),Bangladesh,3317412.0
Penta 3 given 0-11m,Bangladesh,4223157.0
TT5 dose (15-49y women),Bangladesh,3874250.0
TT4 dose (15-49y women),Bangladesh,3891841.0
Penta 2 given (0-11m),Bangladesh,6777554.0
fIPV2 given (0-11m),Bangladesh,2730620.0
PCV1 given 0-11m,Bangladesh,4163285.0
Fully Immunized Child,Bangladesh,4193937.0
fIPV1 given (0-11m),Bangladesh,3240672.0
TT2 dose pregnant women,Bangladesh,1449963.0
OPV 3 given (12-23m),Bangladesh,38854.0
IPV given 0-11m,Bangladesh,612089.0
OPV 3 given (0-11m),Bangladesh,6755299.0
PCV1 given 12-23m,Bangladesh,4893.0
PCV2 given 0-11m,Bangladesh,4094587.0
EPI Women Given Vitamin A Dose,Bangladesh,3489917.0
