Data,Organisation unit,Value
Xi0rEcM2dnU,201974,9895.0
tVMfryQtVPM,307238,1005.0
HgCvJyeV8s1,557734,487.0
lXY1Qn1Xmym,107987,0.0
Pmkei3034T3,202290,3678.0
esdiLuANYzJ,305994,1409.0
Pmkei3034T3,508894,4160.0
PsvlF5jSgI3,405039,0.0
S7WmD2KXggR,501085,0.0
uCak0uhIKX5,303907,4500.0
OM8Cr8d7NOm,609027,4600.0
SeHc7pKhNZ3,507672,0.0
bWQSZuLmC4h,603605,0.0
ejwMhgWnnjp,309338,34.0
jeJ3ZSbbg2z,305994,0.0
qRf4BEqDWEO,207580,120.0
He5rkYQTRXc,609131,40.0
tfs4ubhi7aS,203014,6.0
GsVpkzuOvvr,305454,7500.0
GsVpkzuOvvr,302910,4800.0
Z1LFCojJ3oU,609159,2800.0
lGxUawh9Rgq,104273,1110.0
faixFpbou4s,552717,6100.0
j9BXR3fcgBU,501027,9800.0
JTzAgZJknnZ,605865,30.0
Xi0rEcM2dnU,309325,3815.0
qC35JBYiNvW,107857,511.0
Gf6lEllg2nM,609047,0.0
hveFMwiLEd6,100419,0.0
tJmmzGcJpAJ,30-72-18,314.0
zpxBh06iewG,603602,776.0
iHhFjeFaUE2,400173,265.0
ViTJ0SouxHk,507633,0.0
wyYeZ43DyVh,554979,1500.0
sk1epOoCbSF,507639,58540.0
esdiLuANYzJ,306704,5604.0
avwgDjGy5QN,503858,4900.0
KUD3k3ABNzE,552756,0.0
gCFmCwtKtG9,304876,375.0
YmH96Ob0NBP,208478,0.0
aiQep6Y8DiC,100610,57600.0
iPOIupRRbet,405595,1613.0
Gf6lEllg2nM,605874,0.0
oHx6fAhrdRw,400114,2587.0
iJaOVK1TYbc,203025,7680.0
ViTJ0SouxHk,306116,0.0
CcyZexM0LpH,405760,24.0
ildWGF3ceBO,305480,1835.0
oFuUltZt2kL,506991,2818.0
wl7rSTXZnYH,553282,18534.0
KUD3k3ABNzE,609108,0.0
L3D8zpb45fV,202249,15400.0
lzDaUMzu2sB,204661,0.0
F7SY1nlzxsh,554918,0.0
He5rkYQTRXc,508867,93.0
TW5OuZHpb6D,100954,3479.5
CzNDOBhTozp,201504,32964.0
jeJ3ZSbbg2z,605880,0.0
xej1sxYYCYM,555202,85.0
bZlOe4y8Mh5,506460,36.0
gCFmCwtKtG9,506963,789.0
CCYijZzjjn0,303915,20.0
GMuJ1q2PFFJ,107876,0.0
xej1sxYYCYM,609047,14.0
faixFpbou4s,557725,2900.0
PsvlF5jSgI3,306172,0.0
oHx6fAhrdRw,408743,4047.0
OM8Cr8d7NOm,609047,3060.0
CcyZexM0LpH,306807,29.0
KrtijNiVXQd,508194,7405.0
LfeSJhYeM50,204667,1082.0
aiQep6Y8DiC,308273,100400.0
KUD3k3ABNzE,558527,0.0
ViTJ0SouxHk,609131,0.0
upazilla_epi_Safety Box_d,306131,0.0
cLca60N5Sz5,302984,2118.0
eb3ByhaTJPc,104284,1392.0
xej1sxYYCYM,609027,27.0
f6Klhc8cltP,552717,15.0
ejwMhgWnnjp,552730,25.0
avwgDjGy5QN,554906,5000.0
jeJ3ZSbbg2z,306704,0.0
OM8Cr8d7NOm,555202,17784.0
CMuwZf2vDD3,201202,1775.0
eNTRf5caxYa,554908,13.0
L2LsEE6nsv0,308625,2200.0
xej1sxYYCYM,605874,8.0
eb3ByhaTJPc,207580,1433.0
hveFMwiLEd6,405079,0.0
YRp9K1grg0T,309376,47.0
Ya0KM6n2lnV,201512,9040.0
SxNM9MR02Fq,100603,23.0
aiQep6Y8DiC,100485,67000.0
avwgDjGy5QN,208421,800.0
XcI4Wjp5L7i,201915,81600.0
iPOIupRRbet,201975,1496.0
eb3ByhaTJPc,507622,1928.0
YRp9K1grg0T,202245,25.0
bUhksJVFOU1,507616,2666.0
CCYijZzjjn0,553230,60.0
sk1epOoCbSF,609127,65830.0
Pmkei3034T3,400134,1464.0
wl7rSTXZnYH,508153,8516.0
HgCvJyeV8s1,104273,268.0
VExs9bwa6Mb,506450,0.0
jeJ3ZSbbg2z,508134,0.0
ENYJhlIJkdD,208475,0.0
WsDcPVFfFdD,506486,0
j9BXR3fcgBU,400134,4370.0
PsvlF5jSgI3,605814,0.0
Xi0rEcM2dnU,508878,1100.0
KUD3k3ABNzE,201345,0.0
L3D8zpb45fV,208487,4558.0
bsS9xrHNN7k,558573,411.0
GLsAX7CoejC,404442,0.0
HH3mbuLQ3Fy,605865,35.0
ViTJ0SouxHk,508867,0.0
VExs9bwa6Mb,405760,40.0
CSmnrn14bzc,100954,32.0
uCak0uhIKX5,609194,3900.0
qC35JBYiNvW,302984,373.0
uCak0uhIKX5,557704,1826.0
SxNM9MR02Fq,552764,22.0
avwgDjGy5QN,400177,2200.0
Gl0BEtUdHIo,309319,11624.0
CMuwZf2vDD3,508861,2920.0
oFuUltZt2kL,507683,2597.0
CcyZexM0LpH,553221,21.0
Z1LFCojJ3oU,609018,1175.0
XcI4Wjp5L7i,554994,0.0
S7WmD2KXggR,307240,0.0
aiQep6Y8DiC,405015,47200.0
tVMfryQtVPM,508110,719.0
oHx6fAhrdRw,406576,3766.0
XdBa916vNo2,609018,8748.0
nAHhMwgUTIC,203025,11944.0
tVMfryQtVPM,203029,3105.0
CCYijZzjjn0,552747,18.0
GMuJ1q2PFFJ,308937,81.0
JTzAgZJknnZ,305440,0.0
tVMfryQtVPM,201379,1664.0
lzDaUMzu2sB,204665,0.0
F7SY1nlzxsh,507619,0.0
j9BXR3fcgBU,303532,8800.0
ViTJ0SouxHk,404730,0.0
lGxUawh9Rgq,557734,700.0
upazilla_epi_Safety Box_d,204677,0.0
eNTRf5caxYa,552738,45.0
eb3ByhaTJPc,302947,1288.0
KUD3k3ABNzE,506403,0.0
tVMfryQtVPM,303985,836.0
avwgDjGy5QN,559486,7300.0
mxdYJga4Oj9,558592,253.0
HwX8sJbFytZ,201586,0.0
upazilla_epi_Safety Box_d,609138,0.0
vg24BsDISHx,304833,2561.0
YRp9K1grg0T,405747,0.0
qC35JBYiNvW,302618,386.0
Pmkei3034T3,303532,2973.0
YmH96Ob0NBP,208421,200.0
He5rkYQTRXc,404730,40.0
lzDaUMzu2sB,506469,0.0
XNiO6llG6XA,104273,32.0
cLca60N5Sz5,302618,1271.0
mxdYJga4Oj9,305944,750.0
aK1cbe954yX,306768,20.0
TW5OuZHpb6D,506963,2754.0
vg24BsDISHx,303332,3900.0
eNTRf5caxYa,308937,31.0
GsVpkzuOvvr,302921,2100.0
PsvlF5jSgI3,208429,0.0
esdiLuANYzJ,201981,1337.0
HH3mbuLQ3Fy,503861,63.0
Ya0KM6n2lnV,306860,0.0
Gf6lEllg2nM,303551,0.0
aiQep6Y8DiC,400160,65200.0
TW5OuZHpb6D,501006,1196.0
aiQep6Y8DiC,552777,161718.0
CSmnrn14bzc,304876,0.0
CzNDOBhTozp,308694,8127.0
oHx6fAhrdRw,208425,1258.0
hDbw2Z8FinI,405079,0.0
oFuUltZt2kL,404190,2487.0
CMuwZf2vDD3,208436,633.0
xhXpgEsWEv9,507616,3460.0
sk1epOoCbSF,306758,197412.0
qRf4BEqDWEO,507622,275.0
FHj891Dd9IO,305994,40.0
j9BXR3fcgBU,508894,21150.0
mxdYJga4Oj9,201233,280.0
avwgDjGy5QN,208478,800.0
qC35JBYiNvW,404740,512.0
wl7rSTXZnYH,406528,12909.0
oFuUltZt2kL,100965,704.0
uv5CVs53ise,559408,1600.0
OM8Cr8d7NOm,303551,6000.0
mxdYJga4Oj9,405566,700.0
iPOIupRRbet,609159,2384.0
zpF9PXuVzFb,501081,0.0
SxNM9MR02Fq,400108,30.0
sthqDXmS4Nm,559494,9.0
L2LsEE6nsv0,306123,2400.0
SeHc7pKhNZ3,603611,0.0
XdBa916vNo2,201975,2350.0
nAHhMwgUTIC,307204,5386.0
Ya0KM6n2lnV,104243,4100.0
hTPF3SgOJWH,306194,11200.0
lGxUawh9Rgq,208475,336.0
tJmmzGcJpAJ,609092,93.0
qC35JBYiNvW,605856,356.0
lXY1Qn1Xmym,508112,0.0
sthqDXmS4Nm,302614,0.0
Pmkei3034T3,201578,2935.0
XNiO6llG6XA,557734,33.0
oHx6fAhrdRw,609153,2466.0
XNiO6llG6XA,507619,18.0
Xi0rEcM2dnU,553230,4065.0
Ya0KM6n2lnV,408747,2840.0
XdBa916vNo2,609159,300.0
iJaOVK1TYbc,558573,7100.0
mxdYJga4Oj9,305610,400.0
CdbqCEN6J1I,609153,0.0
faixFpbou4s,104240,4500.0
uCak0uhIKX5,404480,8000.0
iWNq47wSHeH,508194,0.0
CdbqCEN6J1I,553288,0.0
F6Sj0Nemixl,202245,333.0
hTPF3SgOJWH,404161,7295.0
Z1LFCojJ3oU,100651,1750.0
jSXbWOsbeVM,552743,690.0
j9BXR3fcgBU,202290,20200.0
mxdYJga4Oj9,507672,450.0
ENYJhlIJkdD,304811,0.0
zpxBh06iewG,202224,2826.0
CMuwZf2vDD3,555270,617.0
eb3ByhaTJPc,107958,2648.0
FHj891Dd9IO,605880,26.0
wl7rSTXZnYH,203041,9013.0
aiQep6Y8DiC,552721,24000.0
upazilla_epi_Safety Box_d,208447,0.0
ildWGF3ceBO,309319,838.0
uCak0uhIKX5,558549,14176.0
LfeSJhYeM50,408725,1128.0
YmH96Ob0NBP,554906,2800.0
iWNq47wSHeH,404730,6.0
faixFpbou4s,603671,9400.0
PsvlF5jSgI3,405557,0.0
lzDaUMzu2sB,501067,0.0
mkS9tKtFJwg,309319,10310.0
ENYJhlIJkdD,104273,0.0
FHj891Dd9IO,501033,158.0
bZlOe4y8Mh5,404442,18.0
sk1epOoCbSF,503847,33600.0
tVMfryQtVPM,305974,631.0
lzDaUMzu2sB,404764,0.0
Gf6lEllg2nM,306120,0.0
GLsAX7CoejC,302956,0.0
GsVpkzuOvvr,506403,7000.0
SeHc7pKhNZ3,201233,0.0
OM8Cr8d7NOm,201967,3200.0
lzDaUMzu2sB,201347,0.0
Z1LFCojJ3oU,201975,1050.0
ejwMhgWnnjp,201582,52.0
WsDcPVFfFdD,404794,0
Gf6lEllg2nM,555202,0.0
HgCvJyeV8s1,208475,42.0
L3D8zpb45fV,404769,4138.0
uCak0uhIKX5,552760,2000.0
ejwMhgWnnjp,309328,38.0
qC35JBYiNvW,508850,633.0
aK1cbe954yX,553267,0.0
tJmmzGcJpAJ,207587,30.0
HH3mbuLQ3Fy,305440,7.0
sthqDXmS4Nm,404775,0.0
JTzAgZJknnZ,308247,15.0
L2LsEE6nsv0,304802,9800.0
F6Sj0Nemixl,508172,456.0
L3D8zpb45fV,201213,19445.0
tVMfryQtVPM,304849,1003.0
tVMfryQtVPM,100662,888.0
sthqDXmS4Nm,305622,0.0
F6DqE5xpTOZ,305678,0.0
CzNDOBhTozp,404414,4869.0
He5rkYQTRXc,304854,25.0
qRf4BEqDWEO,558549,2116.0
SeHc7pKhNZ3,305610,0.0
iPOIupRRbet,609018,1249.0
lzDaUMzu2sB,501094,0.0
sthqDXmS4Nm,100607,0.0
uv5CVs53ise,507655,2600.0
Xi0rEcM2dnU,305974,6519.0
CzNDOBhTozp,306181,35685.0
oFuUltZt2kL,100632,1494.0
bsS9xrHNN7k,554906,37.0
hDbw2Z8FinI,100419,0.0
esdiLuANYzJ,605880,510.0
lGxUawh9Rgq,506944,1945.0
OM8Cr8d7NOm,557385,4000.0
xej1sxYYCYM,202216,41.0
Xi0rEcM2dnU,201358,19565.0
upazilla_epi_Safety Box_d,603668,0.0
lXY1Qn1Xmym,207521,0.0
uv5CVs53ise,201972,2619.0
WsDcPVFfFdD,555270,409
bsS9xrHNN7k,203025,0.0
Gl0BEtUdHIo,30-72-18,18484.0
vg24BsDISHx,554909,1510.0
qC35JBYiNvW,201940,460.0
F7SY1nlzxsh,506944,0.0
oHx6fAhrdRw,205165,3354.0
L3D8zpb45fV,609029,10700.0
lXY1Qn1Xmym,107895,0.0
XNiO6llG6XA,603677,46.0
tVMfryQtVPM,201358,1110.0
CdbqCEN6J1I,100991,0.0
hveFMwiLEd6,501081,0.0
Z1LFCojJ3oU,100669,1850.0
iJaOVK1TYbc,554906,5800.0
eb3ByhaTJPc,305678,702.0
Gf6lEllg2nM,557385,0.0
zpxBh06iewG,605874,2220.0
zpxBh06iewG,405585,1560.0
L3D8zpb45fV,308988,14979.0
aiQep6Y8DiC,303558,40800.0
YRp9K1grg0T,408725,20.0
L2LsEE6nsv0,309338,2400.0
F6Sj0Nemixl,309376,649.0
tfs4ubhi7aS,609138,0.0
QUvmRKu2SHI,303915,0.0
ViTJ0SouxHk,201290,0.0
f6Klhc8cltP,557725,0.0
