Data,Organisation unit,Value
upazilla_epi_Syringe (5 ml)_damaged,Khulna District,7361.0
upazilla_epi_Syringe (0.1 ml)_used,Naogaon District,84049.0
upazilla_epi_Safety Box_damaged,Jhenaidaha District,300.0
upazilla_epi_Women register_damaged,Netrokona District,12.0
upazilla_epi_BCG Diluent_receive,Sherpur District,12755.0
upazilla_epi_Child register previous stock,Rajshahi District,1260.0
upazilla_epi_Syringe (5 ml) previous stock,Chandpur District,642164.0
upazilla_epi_Tally Book (child)_damaged,Gazipur District,12.0
upazilla_epi_TT Card previous stock,Tangail District,250621.0
upazilla_epi_Women Report Book_used,Pabna District,536.0
upazilla_epi_BCG vial previous stock,Madaripur District,11518.0
upazilla_epi_Moni Flag_damaged,Bhola District,0.0
upazilla_epi_Syringe (3 ml)_used,Shariatpur District,25553.0
upazilla_epi_Women Report Book_receive,Sylhet District,706.0
upazilla_epi_Measles vial_damaged,Mymensingh District,7.0
upazilla_epi_TT vial previous stock,Nilphamari District,19519.0
upazilla_epi_Women Report Book previous stock,Sirajganj District,456.0
upazilla_epi_Pentavalent vial previous stock,Natore District,52152.0
upazilla_epi_Tally Book (Women)_used,Sherpur District,191.0
upazilla_epi_Women register_used,Satkhira District,733.0
upazilla_epi_Syringe (0.5 ml)_receive,Barguna District,620839.0
upazilla_epi_TT Card_damaged,Rangpur District,0.0
upazilla_epi_Tally Book (child)_receive,Jhalokati District,198.0
upazilla_epi_Women Report Book_used,Narshingdi District,312.0
upazilla_epi_Vitamin A Capsule_damaged,Coxs Bazar District,21158.0
upazilla_epi_MR Diluent_damaged,Gazipur District,7.0
upazilla_epi_BCG vial previous stock,Magura District,9569.0
upazilla_epi_Child Report Book_damaged,Thakurgaon District,10.0
upazilla_epi_OPV vial_used,Patuakhali District,38397.0
upazilla_epi_Women Report Book_used,Rajbari District,326.0
upazilla_epi_TT vial_used,Shariatpur District,16214.0
upazilla_epi_Measles Diluent_used,Kurigram District,5964.0
upazilla_epi_TT Card_received,Magura District,47442.0
upazilla_epi_TT vial previous stock,Chuadanga District,19034.0
upazilla_epi_Pentavalent vial_receive,Bogura District,321342.0
upazilla_epi_Syringe (0.1 ml)_used,Jhenaidaha District,50451.0
upazilla_epi_Women Report Book_used,Munshiganj District,600.0
upazilla_epi_Child Report Book_receive,Manikganj District,400.0
upazilla_epi_Moni Flag_damaged,Lalmonirhat District,0.0
upazilla_epi_Child register_receive,Panchagarh District,146.0
upazilla_epi_Tally Book (child) previous stock,Coxs Bazar District,500.0
upazilla_epi_Vitamin A Capsule_damaged,Sherpur District,3990.0
upazilla_epi_BCG Diluent_receive,Kishoreganj District,293329.0
upazilla_epi_TT Card previous stock,Mymensingh District,2650431.0
upazilla_epi_PCV need,Sunamganj District,116797.0
upazilla_epi_MR vial_used,Bhola District,27177.0
upazilla_epi_BCG Diluent previous stock,Thakurgaon District,12396.0
upazilla_epi_Pentavalent vial previous stock,Pirojpur District,84991.0
upazilla_epi_Tally Book (child) previous stock,Sherpur District,23.0
