Data,Organisation unit,Value
upazilla_epi_TT Card_damaged,Bangladesh,581058.0
upazilla_epi_Child register_damaged,Bangladesh,2395.0
upazilla_epi_Syringe (0.1 ml)_used,Bangladesh,5142284.0
upazilla_epi_Child Card_damaged,Bangladesh,235727.0
upazilla_epi_Child Report Bookprevious stock,Bangladesh,57236.0
upazilla_epi_PCV vial_receive,Bangladesh,5458988.0
upazilla_epi_Syringe (3 ml)_receive,Bangladesh,2448445.0
upazilla_epi_Women register_receive,Bangladesh,39872.0
upazilla_epi_Vitamin A Capsule_used,Bangladesh,5714145.0
upazilla_epi_Syringe (0.5 ml)_receive,Bangladesh,5.6944235E7
upazilla_epi_Moni Flag_used,Bangladesh,34645.0
upazilla_epi_Measles vial_damaged,Bangladesh,85375.0
upazilla_epi_Syringe (0.5 ml) previous stock,Bangladesh,1.67794913E8
upazilla_epi_Safety Box_receive,Bangladesh,466209.0
upazilla_epi_Syringe (0.05 ml)_damaged,Bangladesh,298780.2
upazilla_epi_MR vial_damaged,Bangladesh,85422.0
upazilla_epi_PCV vial previous stock,Bangladesh,3139111.0
upazilla_epi_Tally Book (Women)_receive,Bangladesh,35864.0
upazilla_epi_Women Report Book previous stock,Bangladesh,111315.0
upazilla_epi_BCG Diluent_damaged,Bangladesh,192283.0
upazilla_epi_Child Report Book_damaged,Bangladesh,1850.0
upazilla_epi_MR vial_used,Bangladesh,2013095.0
upazilla_epi_Women register_damaged,Bangladesh,6139.0
upazilla_epi_Moni Flag_damaged,Bangladesh,1631.0
upazilla_epi_OPV vial_receive,Bangladesh,2634650.0
upazilla_epi_BCG vial_used,Bangladesh,6105392.0
upazilla_epi_TT vial_receive,Bangladesh,2470779.0
upazilla_epi_BCG Diluent_used,Bangladesh,1810905.0
upazilla_epi_Syringe (5 ml) previous stock,Bangladesh,1.4120463E7
upazilla_epi_PCV vial_supplied1,Bangladesh,3194759.0
upazilla_epi_Tally Book (Women)_damaged,Bangladesh,1717.0
upazilla_epi_Safety Box_used,Bangladesh,357383.0
upazilla_epi_Child register previous stock,Bangladesh,134809.0
upazilla_epi_IPV vial_used,Bangladesh,274299.4
upazilla_epi_IPV vial_receive,Bangladesh,283646.4
upazilla_epi_OPV vial_used,Bangladesh,2517106.3
upazilla_epi_IPV vial previous stock,Bangladesh,198950.0
