Data,Organisation unit,Value
DxD75aAjPZX,207547,276.0
J3c2bNGLgsP,207547,4.0
Hg50j7QSZkj,207547,13.0
yxETk6879dc,207547,21.0
y6s47PZmAGR,207547,100.0
NNOVbKmgtM9,207547,4.0
zFNzY3y8r14,207547,10.0
HwQXIC5FelW,207547,2.0
b9vXmKRxlN4,207547,2.0
JQQqrkSSyzu,207547,4800.0
t0XOoSnjuh0,207547,1000.0
Dx7jTnmWeW0,207547,314.0
ypha3z6EAQb,207547,700.0
LJqc2PzQXUQ,207547,537.0
B3cD6xw0bdd,207547,174.0
GKIvTeIzm8a,207547,17260.0
wdwq9OjQM9X,207547,21.0
x0niIhTQ6Zp,207547,393.0
oRWiPL5MCHl,207547,575.0
xDlpgVnDwJI,207547,963.0
MLls8Jn8MGZ,207547,1130.0
OA4roSFWRqP,207547,6.0
ZAF3vaG4A8a,207547,314.0
qrPiHf1K4tu,207547,13.0
DizZN82ZWUi,207547,30.0
vDJieZ8l3to,207547,22.0
Cow3HI16aVv,207547,177.0
m2gH7CIEE1I,207547,2900.0
tVqp6tdC15a,207547,13.0
g8S260lkBzl,207547,9.0
LynCFTtD5ow,207547,92.0
TeI6FXouSXV,207547,725.0
Mb4JAEiVGMB,207547,24.0
R3c4cZI6Y5P,207547,22.0
dPmAWC4B6tk,207547,23.0
FTFkUbgBYKX,207547,1200.0
G77wLzA1L1O,207547,300.0
njaWSZ5yfUs,207547,23.0
XncbWOxNjAv,207547,1.0
Z4qk8nfmByw,207547,312.0
gtEebAlxRtH,207547,300.0
rAHEGe7ojkW,207547,250.0
AqYTRr5SRQC,207547,26.0
cmOsp0Z3VzY,207547,500.0
gEWalgNl9nv,207547,341.0
fYwQk0kZSGz,207547,2764.0
ZN37IwOVKKE,207547,401.0
vS8vKwOrvZb,207547,8.0
PRQ9vEkHewZ,207547,5000.0
QO4D614g3Wi,207547,312.0
GzBLG9h7Cbk,207547,13.0
zFD68Gv9V81,207547,400.0
fr1bKIp8I7i,207547,1.0
rI2KhvPB8bc,207547,350.0
Ol1mHdriFTl,207547,166.0
vSs22KMgCMG,207547,300.0
Rl95TqYGxUE,207547,177.0
eDqBl4pTJbg,207547,300.0
Azd0uGUjGhE,207547,27.0
gwttELKqxMI,207547,1286.0
iX6FkUt0WaO,207547,1.0
tU5blh4Sf1g,207547,250.0
Of9I5zs5k77,207547,300.0
xCfb2c0O3W7,207547,10.0
ow9uyFraAg0,207547,3005.0
yji357SKQuK,207547,29.0
agtTSoHQ1lC,207547,212.0
KOPQYkNFLCb,207547,350.0
hHCzmfaeXIl,207547,174.0
VouoJHkBGM2,207547,4.0
w5pQTE562o8,207547,24.0
dduEFRLdBkG,207547,450.0
