Data,Organisation unit,Value
dist_epi_TT_vial_PreviousStock,Kabirhat Upazila,276.0
dist_epi_Vaccine carrier 2 ice pack_repairable,Kabirhat Upazila,4.0
dist_epi_Vaccine carrier 4 ice pack_functional,Kabirhat Upazila,13.0
dist_epi_Tally Book (Women)_used,Kabirhat Upazila,21.0
dist_epi_Vaccine carrier 2 ice pack_functional,Kabirhat Upazila,100.0
dist_epi_Vaccine carrier 1 ice pack_irrepairable,Kabirhat Upazila,4.0
dist_epi_Plastic Bowl_available stock,Kabirhat Upazila,10.0
dist_epi_Cold box_irrepairable,Kabirhat Upazila,2.0
dist_epi_Cold box_functional,Kabirhat Upazila,2.0
dist_epi_Syringe (0.5 ml)_received,Kabirhat Upazila,4800.0
dist_epi_Child Card_received,Kabirhat Upazila,1000.0
dist_epi_BCG_vial_used,Kabirhat Upazila,314.0
dist_epi_Syringe (0.05 ml)_received,Kabirhat Upazila,700.0
dist_epi_OPV_vial_used,Kabirhat Upazila,537.0
dist_epi_MR_vial_PreviousStock,Kabirhat Upazila,174.0
dist_epi_Syringe (0.5 ml)_PreviousStock,Kabirhat Upazila,17260.0
dist_epi_Tally Book (child)_used,Kabirhat Upazila,21.0
dist_epi_Syringe (5 ml)_PreviousStock,Kabirhat Upazila,393.0
dist_epi_Vitamin A Capsule_used,Kabirhat Upazila,575.0
dist_epi_Syringe (0.05 ml)_PreviousStock,Kabirhat Upazila,963.0
dist_epi_TT Card_PreviousStock,Kabirhat Upazila,1130.0
dist_epi_Vaccine carrier 1 ice pack_repairable,Kabirhat Upazila,6.0
dist_epi_BCG_diluent_used,Kabirhat Upazila,314.0
dist_epi_Moni Table Cloth_available stock,Kabirhat Upazila,13.0
dist_epi_Cotton 100gm_available stock,Kabirhat Upazila,30.0
dist_epi_Child Report Book_used,Kabirhat Upazila,22.0
dist_epi_BCG Diluent PreviousStock,Kabirhat Upazila,177.0
dist_epi_Pentavalent_Vial_received,Kabirhat Upazila,2900.0
dist_epi_Vaccine carrier 4 ice pack_irrepairable,Kabirhat Upazila,13.0
dist_epi_Tally Book (child)_PreviousStock,Kabirhat Upazila,9.0
dist_epi_Safety Box_PreviousStock,Kabirhat Upazila,92.0
dist_epi_Syringe (0.05 ml)_used,Kabirhat Upazila,725.0
dist_epi_Tally Book (child)_received,Kabirhat Upazila,24.0
dist_epi_Women Report Book_used,Kabirhat Upazila,22.0
dist_epi_Women Report Book_PreviousStock,Kabirhat Upazila,23.0
dist_epi_TT Card_received,Kabirhat Upazila,1200.0
dist_epi_BCG_vial_receive,Kabirhat Upazila,300.0
dist_epi_Child Report Book PreviousStock,Kabirhat Upazila,23.0
dist_epi_Fast Freezer_functional,Kabirhat Upazila,1.0
dist_epi_MR vial_used,Kabirhat Upazila,312.0
dist_epi_Child Card_used,Kabirhat Upazila,300.0
dist_epi_TT Card_used,Kabirhat Upazila,250.0
dist_epi_Vaccine carrier 1 ice pack_functional,Kabirhat Upazila,26.0
dist_epi_OPV_vial_received,Kabirhat Upazila,500.0
dist_epi_OPV_vial_PreviousStock,Kabirhat Upazila,341.0
dist_epi_Pentavalent_Vial_used,Kabirhat Upazila,2764.0
dist_epi_TT vial_used,Kabirhat Upazila,401.0
dist_epi_Safety Box_used,Kabirhat Upazila,8.0
dist_epi_Syringe (0.5 ml)_used,Kabirhat Upazila,5000.0
dist_epi_MR Diluent_used,Kabirhat Upazila,312.0
dist_epi_Tally Book (Women)_PreviousStock,Kabirhat Upazila,13.0
dist_epi_Syringe (3 ml)_received,Kabirhat Upazila,400.0
dist_epi_ILR_Functional,Kabirhat Upazila,1.0
dist_epi_MR vial_received,Kabirhat Upazila,350.0
dist_epi_Syringe (3 ml)_PreviousStock,Kabirhat Upazila,166.0
dist_epi_Syringe (5 ml)_received,Kabirhat Upazila,300.0
dist_epi_BCG vial PreviousStock,Kabirhat Upazila,177.0
dist_epi_Syringe (3 ml)_used,Kabirhat Upazila,300.0
dist_epi_Child register PreviousStock,Kabirhat Upazila,27.0
dist_epi_Pentavalent_vial_PreviousStock,Kabirhat Upazila,1286.0
dist_epi_Fridge Tag_functional,Kabirhat Upazila,1.0
dist_epi_Child Card PreviousStock,Kabirhat Upazila,250.0
dist_epi_BCG_diluent_receive,Kabirhat Upazila,300.0
dist_epi_Vaccine carrier 4 ice pack_repairable,Kabirhat Upazila,10.0
dist_epi_Vitamin A Capsule_PreviousStock,Kabirhat Upazila,3005.0
dist_epi_Women register_PreviousStock,Kabirhat Upazila,29.0
dist_epi_Syringe (5 ml)_used,Kabirhat Upazila,212.0
dist_epi_MR Diluent_received,Kabirhat Upazila,350.0
dist_epi_MR_Diluent_PreviousStock,Kabirhat Upazila,174.0
dist_epi_Carry bag_available stock,Kabirhat Upazila,4.0
dist_epi_Tally Book (Women)_received,Kabirhat Upazila,24.0
dist_epi_TT vial_received,Kabirhat Upazila,450.0
