Data,Organisation unit,Value
dist_epi_TT Card_used,Bangladesh,4529164.0
dist_epi_PCV vial_receive,Bangladesh,4897700.0
dist_epi_Syringe (5 ml)_damaged,Bangladesh,45605.6
dist_epi_MR vial_used,Bangladesh,1791496.0
dist_epi_Women register_damaged,Bangladesh,68.0
dist_epi_Child Card_used,Bangladesh,4351596.0
dist_epi_ILR_Functional,Bangladesh,7719.0
dist_epi_Tally Book (Women)_received,Bangladesh,26465.0
dist_epi_Women register_received,Bangladesh,22595.0
dist_epi_MR_Diluent_PreviousStock,Bangladesh,2835354.0
dist_epi_TT Card_received,Bangladesh,4727100.0
dist_epi_BCG_vial_receive,Bangladesh,1606475.0
dist_epi_ILR_Repairable,Bangladesh,1617.0
dist_epi_Safety Box_damaged,Bangladesh,300.0
dist_epi_TT vial_received,Bangladesh,2183052.0
dist_epi_Duster_available stock,Bangladesh,126957.0
dist_epi_Pentavalent_Vial_used,Bangladesh,1.4344308E7
dist_epi_MR Diluent_used,Bangladesh,1769496.0
dist_epi_Tally Book (Women)_used,Bangladesh,26416.0
dist_epi_Vaccine carrier 4 ice pack_functional,Bangladesh,120188.0
dist_epi_IPV vial_used,Bangladesh,269159.0
dist_epi_Safety Box_used,Bangladesh,390217.0
dist_epi_Pentavalent_Vial_Damaged,Bangladesh,112540.0
dist_epi_Tally Book (Women)_PreviousStock,Bangladesh,74792.0
dist_epi_OPV_vial_PreviousStock,Bangladesh,4823595.0
dist_epi_TT Card_damaged,Bangladesh,80000.0
dist_epi_ILR_Not Installed,Bangladesh,180.0
dist_epi_Vitamin A Capsule_received,Bangladesh,5436800.0
dist_epi_Gas/Electric/Kerosine Freeze_Repairable,Bangladesh,106.0
dist_epi_MR vial_received,Bangladesh,1811620.0
dist_epi_Fridge Tag_repairable,Bangladesh,182.0
dist_epi_Fridge Tag Temperature chart used,Bangladesh,4237.0
dist_epi_Syringe (0.05 ml)_PreviousStock,Bangladesh,1.4025728E7
dist_epi_BCG_diluent_receive,Bangladesh,1602600.0
dist_epi_Child register PreviousStock,Bangladesh,75089.0
dist_epi_ILR_Irrepairable,Bangladesh,1864.0
dist_epi_Vitamin A Capsule_used,Bangladesh,5457225.0
dist_epi_Fridge Tag small functional,Bangladesh,3538.0
