Data,Organisation unit,Value
dist_epi_Syringe (5 ml)_PreviousStock,Khulna District,308500.0
dist_epi_Deep freezer_Not Installed,Narayanganj District,0.0
dist_epi_Vitamin A Capsule_received,Patuakhali District,0.0
dist_epi_Voltage Stabilizer_irrepairable,Maulavi Bazar District,396.0
dist_epi_Syringe (5 ml)_PreviousStock,Coxs Bazar District,291100.0
dist_epi_Moni Flag_received,Panchagarh District,0.0
dist_epi_Voltage Stabilizer_irrepairable,Gopalganj District,0.0
dist_epi_Child Report Book_received,Dhaka District,300.0
dist_epi_MR vial_used,Bhola District,33870.0
dist_epi_PCV vial previous stock,Meherpur District,15900.0
dist_epi_Pentavalent_Vial_used,Noakhali District,561256.0
dist_epi_MR vial_received,Habiganj District,32400.0
dist_epi_MR_vial_PreviousStock,Magura District,46530.0
dist_epi_Syringe (0.05 ml)_damaged,Gopalganj District,0.0
dist_epi_TT_vial_PreviousStock,Brahmanbaria District,62935.0
dist_epi_TT Card_used,Laksmipur District,64500.0
dist_epi_PCV vial_used,Sunamganj District,104400.0
dist_epi_IPV vial_receive,Panchagarh District,1770.0
dist_epi_Child Card PreviousStock,Madaripur District,0.0
dist_epi_MR vial_received,Khagrachhari District,6300.0
dist_epi_OPV_vial_used,Tangail District,96550.0
dist_epi_Tally Book (child)_used,Pirojpur District,189.0
dist_epi_Vaccine carrier 4 ice pack_functional,Mymensingh District,8232.0
dist_epi_Carry bag_available stock,Gopalganj District,80.0
dist_epi_Deep freezer_functional,Lalmonirhat District,119.0
dist_epi_Syringe (0.5 ml)_PreviousStock,Jhalokati District,9600.0
dist_epi_OPV_vial_PreviousStock,Thakurgaon District,31900.0
dist_epi_TT vial_received,Barguna District,10200.0
dist_epi_OPV_vial_damaged,Panchagarh District,0.0
dist_epi_IPV vial previous stock,Rajshahi District,4206.0
dist_epi_Tally Book (child)_used,Natore District,261.0
dist_epi_BCG_diluent_damaged,Satkhira District,0.0
dist_epi_Vaccine carrier 4 ice pack_repairable,Shariatpur District,0.0
dist_epi_Syringe (0.05 ml)_received,Faridpur District,21000.0
dist_epi_Moni Flag_damaged,Madaripur District,0.0
dist_epi_TT vial_damaged,Manikganj District,0.0
dist_epi_Deep freezer_functional,Bhola District,104.0
dist_epi_Vaccine carrier 2 ice pack_irrepairable,Rajbari District,26.0
dist_epi_Vaccine carrier 2 ice pack_irrepairable,Pabna District,588.0
dist_epi_ILR_Irrepairable,Cumilla District,52.0
dist_epi_Syringe (3 ml)_PreviousStock,Thakurgaon District,15000.0
dist_epi_Syringe (5 ml)_used,Brahmanbaria District,32900.0
dist_epi_MR_vial_PreviousStock,Madaripur District,12650.0
dist_epi_Tally Book (Women)_received,Coxs Bazar District,320.0
dist_epi_Women Report Book_PreviousStock,Bogura District,675.0
dist_epi_Women Report Book_PreviousStock,Feni District,20.0
dist_epi_Vitamin A Capsule_received,Netrokona District,0.0
dist_epi_MR vial_used,Lalmonirhat District,23400.0
dist_epi_Voltage Stabilizer_repairable,Habiganj District,23.0
dist_epi_Moni Flag_received,Rangpur District,0.0
dist_epi_Syringe (5 ml)_PreviousStock,Sherpur District,196900.0
dist_epi_Tally Book (Women)_received,Khulna District,300.0
dist_epi_Syringe (0.05 ml)_PreviousStock,Faridpur District,4400.0
dist_epi_Safety Box_received,Panchagarh District,4500.0
dist_epi_Child Card PreviousStock,Magura District,66750.0
dist_epi_Soap Box_available stock,Mymensingh District,10756.0
dist_epi_MR Diluent_received,Jashore District,42500.0
dist_epi_Syringe (0.5 ml)_used,Brahmanbaria District,958400.0
dist_epi_Vaccine carrier 1 ice pack_repairable,Netrokona District,53.0
dist_epi_Vaccine carrier 2 ice pack_functional,Bogura District,1210.0
dist_epi_Vaccine carrier 2 ice pack_repairable,Rajbari District,294.0
dist_epi_Child Card_received,Satkhira District,38000.0
dist_epi_Vaccine carrier 2 ice pack_functional,Feni District,0.0
