Data,Organisation unit,Value
rAHEGe7ojkW,dNLjKwsVjod,4973204.0
PgqcWC1fMtv,dNLjKwsVjod,4983900.0
o7EbOkvA7Mz,dNLjKwsVjod,34268.0
Z4qk8nfmByw,dNLjKwsVjod,2317302.0
MlNK8OmM5eZ,dNLjKwsVjod,416.0
gtEebAlxRtH,dNLjKwsVjod,5401152.0
fr1bKIp8I7i,dNLjKwsVjod,14666.0
w5pQTE562o8,dNLjKwsVjod,34257.0
T6PJcVzNlsY,dNLjKwsVjod,45207.0
hHCzmfaeXIl,dNLjKwsVjod,3884133.0
FTFkUbgBYKX,dNLjKwsVjod,5399200.0
G77wLzA1L1O,dNLjKwsVjod,2087560.0
FMsHhz4dif1,dNLjKwsVjod,2516.0
cc3m9THocqU,dNLjKwsVjod,1395.0
dduEFRLdBkG,dNLjKwsVjod,2924747.0
IBS2IqaR1tU,dNLjKwsVjod,228129.0
fYwQk0kZSGz,dNLjKwsVjod,1.8159694E7
QO4D614g3Wi,dNLjKwsVjod,2395072.0
yxETk6879dc,dNLjKwsVjod,34365.0
Hg50j7QSZkj,dNLjKwsVjod,159006.0
iJNCzfcJQDP,dNLjKwsVjod,274054.0
vS8vKwOrvZb,dNLjKwsVjod,425617.0
oIC517k2BLE,dNLjKwsVjod,126471.0
GzBLG9h7Cbk,dNLjKwsVjod,88135.0
gEWalgNl9nv,dNLjKwsVjod,5976464.0
rD04ZzcaN5p,dNLjKwsVjod,55830.0
Rg4HIIY11SE,dNLjKwsVjod,546.0
vLWOqx67N7I,dNLjKwsVjod,0.0
HLf06LKb2uY,dNLjKwsVjod,6111520.0
ti2HwGvhfK0,dNLjKwsVjod,252.0
rI2KhvPB8bc,dNLjKwsVjod,2442800.0
Np6aLfUKsiY,dNLjKwsVjod,179.0
J6sUepWcdon,dNLjKwsVjod,4237.0
xDlpgVnDwJI,dNLjKwsVjod,1.5673998E7
Of9I5zs5k77,dNLjKwsVjod,2053363.0
Azd0uGUjGhE,dNLjKwsVjod,122000.0
ntSHXBaWBgd,dNLjKwsVjod,3287.0
oRWiPL5MCHl,dNLjKwsVjod,6838022.0
lSu3LF8mZdf,dNLjKwsVjod,3538.0
CjREX74awT2,dNLjKwsVjod,355800.0
tU5blh4Sf1g,dNLjKwsVjod,7473653.0
TETsfOvYKRX,dNLjKwsVjod,3354.0
BiTjkJniRmp,dNLjKwsVjod,20105.1
ow9uyFraAg0,dNLjKwsVjod,2937288.0
AqYTRr5SRQC,dNLjKwsVjod,297400.0
HwQXIC5FelW,dNLjKwsVjod,1889.0
LynCFTtD5ow,dNLjKwsVjod,1886326.0
Pwr85khlpyH,dNLjKwsVjod,1610.0
gnjS23yYmsI,dNLjKwsVjod,13815.0
Kwub6SuKrE7,dNLjKwsVjod,5213.0
CCyX8bHkSlz,dNLjKwsVjod,69236.0
spnTnEPMoV2,dNLjKwsVjod,27971.1
mZEciaYEO2F,dNLjKwsVjod,6959.0
VouoJHkBGM2,dNLjKwsVjod,233676.0
XncbWOxNjAv,dNLjKwsVjod,1452.0
ZN37IwOVKKE,dNLjKwsVjod,2847500.0
e4DqyRBgstB,dNLjKwsVjod,428.0
Xrz32A7vx1D,dNLjKwsVjod,427.0
vSs22KMgCMG,dNLjKwsVjod,4147600.0
DxD75aAjPZX,dNLjKwsVjod,6659682.0
