Data,Organisation unit,Value
upazilla_epi_Syringe (0.05 ml) supplied1,Nakla Upazila,4700.0
upazilla_epi_BCG diluent_supplied1,Debidwar Upazila,4050.0
upazilla_epi_BCG vial_supplied1,Lakhai Upazila,1230.0
upazilla_epi_Pentavalent vial_supplied1,Nagarpur Upazila,18764.0
upazilla_epi_Syringe (0.05 ml) supplied1,Chirir Bandar Upazila,5400.0
upazilla_epi_Syringe (3 ml) supplied1,Haluaghat Upazila,3600.0
upazilla_epi_BCG vial_supplied1,Mahadebpur Upazila,1880.0
upazilla_epi_Syringe (0.1 ml) supplied1,Satkhira Sadar Upazila,7300.0
upazilla_epi_Syringe (3 ml) supplied1,Kalia Upazila,1200.0
upazilla_epi_OPV vial_supplied1,Sreepur Upazila magura,1380.0
upazilla_epi_MR vial_supplied1,Narail Sadar Upazila,2350.0
upazilla_epi_BCG vial_supplied1,Daulat Khan Upazila,1400.0
upazilla_epi_TT vial_supplied1,Char Fassion Upazila,5440.0
upazilla_epi_Syringe (0.5 ml) supplied1,Atpara Upazila,26200.0
upazilla_epi_MR vial_supplied1,Hossainpur Upazila,1450.0
upazilla_epi_MR diluent_supplied1,Gowainghat Upazila,2720.0
upazilla_epi_BCG diluent_supplied1,Muktagachha Upazila,2440.0
upazilla_epi_PCV vial_supplied1,Sapahar Upazila,6477.0
upazilla_epi_TT vial_supplied1,Kalkini Upazila,550.0
upazilla_epi_IPV vial_supplied1,Rampal Upazila,265.0
upazilla_epi_MR diluent_supplied1,Chauddagram Upazila,3500.0
upazilla_epi_Syringe (3 ml) supplied1,Kuliar Char Upazila,1500.0
upazilla_epi_PCV vial_supplied1,Fulbari KG Upazila,7400.0
upazilla_epi_TT vial_supplied1,Badalgachhi Upazila,1656.0
upazilla_epi_BCG vial_supplied1,Damudya Upazila,70.0
upazilla_epi_PCV vial_supplied1,"Dakshin Sunamganj Upazila, Sunamganj",4600.0
upazilla_epi_MR diluent_supplied1,Chhatak Upazila,2400.0
upazilla_epi_Syringe (0.1 ml) supplied1,Assasuni Upazila,4800.0
upazilla_epi_BCG vial_supplied1,Ishwarganj Upazila,2750.0
upazilla_epi_Syringe (0.5 ml) supplied1,Naogaon Sadar Upazila,68900.0
upazilla_epi_BCG diluent_supplied1,Damurhuda Upazila,1610.0
upazilla_epi_IPV vial_supplied1,Rupganj Upazila,755.0
upazilla_epi_MR diluent_supplied1,Bagerhat Sadar Upazila,1705.0
upazilla_epi_MR vial_supplied1,Kalukhali Upazila,1280.0
upazilla_epi_Syringe (0.05 ml) supplied1,Austagram Upazila,1200.0
upazilla_epi_MR vial_supplied1,Nagarpur Upazila,2850.0
upazilla_epi_MR diluent_supplied1,Manikchhari Upazila,980.0
upazilla_epi_TT vial_supplied1,Nalchity Upazila,1904.0
upazilla_epi_BCG diluent_supplied1,Golachipa Upazila,1500.0
upazilla_epi_Syringe (0.05 ml) supplied1,Magura Sadar Upazila,3200.0
upazilla_epi_IPV vial_supplied1,Ashuganj Upazila,265.0
upazilla_epi_IPV vial_supplied1,Jamalpur Sadar Upazila,637.0
upazilla_epi_Syringe (0.05 ml) supplied1,Badarganj Upazila,3600.0
upazilla_epi_MR vial_supplied1,Saghata Upazila,2700.0
upazilla_epi_Syringe (0.05 ml) supplied1,Fulchhari Upazila,3600.0
upazilla_epi_Syringe (0.05 ml) supplied1,Belabo Upazila,3900.0
upazilla_epi_PCV vial_supplied1,Kalai Upazila,4200.0
upazilla_epi_TT vial_supplied1,Bajitpur Upazila,2289.0
upazilla_epi_Syringe (0.1 ml) supplied1,Juri Upazila,2300.0
upazilla_epi_MR vial_supplied1,Kawkhali RM Upazila,410.0
