Data,Organisation unit,Value
jexpvG0UpEP,4050,21307.0
H9DPSXuy1Cq,4087,34900.0
jexpvG0UpEP,3086,1325.0
kneuyiAUuhM,3039,21525.0
Ew83LC7SZl0,2075,149600.0
jexpvG0UpEP,3093,34789.0
jexpvG0UpEP,2019,69312.0
xE9S4yAH6JM,5064,23576.0
Va9YJe9mcJC,1079,9980.0
H9DPSXuy1Cq,5076,41400.0
MdeVOqoipzV,1079,83178.0
Va9YJe9mcJC,3029,4885.0
HwX8sJbFytZ,3029,19950.0
H9DPSXuy1Cq,3082,30700.0
Ew83LC7SZl0,5527,81500.0
kneuyiAUuhM,5038,7950.0
tm4XzrA2ZJ4,5038,10325.0
txbCZcGu9t7,4044,13020.0
kneuyiAUuhM,1006,8350.0
jexpvG0UpEP,4057,120.0
HwX8sJbFytZ,1079,40100.0
jexpvG0UpEP,6091,30482.0
MdeVOqoipzV,3029,39650.0
jexpvG0UpEP,5527,28726.0
xE9S4yAH6JM,4044,14785.0
tm4XzrA2ZJ4,1006,10800.0
H9DPSXuy1Cq,3068,49400.0
txbCZcGu9t7,3054,1360.0
Va9YJe9mcJC,5038,7300.0
MdeVOqoipzV,3039,169460.0
AhRkuUoR2Gh,5532,11700.0
tm4XzrA2ZJ4,1079,11970.0
H9DPSXuy1Cq,5573,39500.0
tm4XzrA2ZJ4,3039,21400.0
tm4XzrA2ZJ4,5552,13450.0
QcPVLGbkXPE,4044,48000.0
kneuyiAUuhM,1079,10185.0
AhRkuUoR2Gh,3048,18200.0
QcPVLGbkXPE,4055,8300.0
tm4XzrA2ZJ4,3029,5800.0
H9DPSXuy1Cq,1042,8400.0
Ew83LC7SZl0,6090,50400.0
txbCZcGu9t7,5577,10060.0
QcPVLGbkXPE,5010,0.0
iHhFjeFaUE2,5081,2224.0
jexpvG0UpEP,3061,47896.0
Ew83LC7SZl0,6091,97400.0
Va9YJe9mcJC,1009,17630.0
xE9S4yAH6JM,4001,16279.0
iHhFjeFaUE2,6036,2785.0
xE9S4yAH6JM,5010,0.0
kneuyiAUuhM,5552,11525.0
iHhFjeFaUE2,4001,3092.0
QcPVLGbkXPE,5577,19600.0
MdeVOqoipzV,1006,64050.0
H9DPSXuy1Cq,4018,26400.0
Va9YJe9mcJC,1006,6940.0
AhRkuUoR2Gh,6058,5200.0
kBxPfPkmkUZ,6036,617200.0
Ew83LC7SZl0,3093,132300.0
Ew83LC7SZl0,4065,19800.0
Ew83LC7SZl0,3086,900.0
MdeVOqoipzV,5552,94530.0
Va9YJe9mcJC,3039,19631.0
QcPVLGbkXPE,5585,22200.0
MdeVOqoipzV,2015,18500.0
txbCZcGu9t7,5010,0.0
kBxPfPkmkUZ,4001,37500.0
Ew83LC7SZl0,4050,95900.0
Ew83LC7SZl0,5594,36700.0
H9DPSXuy1Cq,3061,152100.0
kneuyiAUuhM,2015,2100.0
H9DPSXuy1Cq,2051,0.0
tm4XzrA2ZJ4,4041,30050.0
jexpvG0UpEP,2075,39200.0
QcPVLGbkXPE,5064,38816.0
QcPVLGbkXPE,3059,17900.0
xE9S4yAH6JM,1042,7720.0
AhRkuUoR2Gh,2015,5400.0
txbCZcGu9t7,5064,20730.0
AhRkuUoR2Gh,2022,2700.0
jexpvG0UpEP,1004,10068.0
tm4XzrA2ZJ4,1009,20000.0
HwX8sJbFytZ,2015,0.0
iHhFjeFaUE2,1078,1206.0
HwX8sJbFytZ,2022,1100.0
HwX8sJbFytZ,4047,72690.0
kBxPfPkmkUZ,4044,535800.0
kneuyiAUuhM,1004,7450.0
jexpvG0UpEP,3068,18594.0
xE9S4yAH6JM,3059,14350.0
Ew83LC7SZl0,2051,0.0
MdeVOqoipzV,3048,165464.0
AhRkuUoR2Gh,1009,11400.0
AhRkuUoR2Gh,5038,17600.0
Ew83LC7SZl0,1006,0.0
jexpvG0UpEP,5549,28194.0
MdeVOqoipzV,4041,201099.0
AhRkuUoR2Gh,3039,18100.0
Ew83LC7SZl0,5552,24400.0
kneuyiAUuhM,4041,30850.0
AhRkuUoR2Gh,3072,14800.0
txbCZcGu9t7,3059,10810.0
txbCZcGu9t7,2046,6715.0
H9DPSXuy1Cq,6091,73300.0
QcPVLGbkXPE,5573,16400.0
xE9S4yAH6JM,3082,10555.0
MdeVOqoipzV,1004,65740.0
txbCZcGu9t7,4087,16210.0
xE9S4yAH6JM,5076,15700.0
txbCZcGu9t7,2084,5870.0
kneuyiAUuhM,3048,25150.0
MdeVOqoipzV,5594,100160.0
xE9S4yAH6JM,5573,16300.0
Va9YJe9mcJC,5552,11995.0
txbCZcGu9t7,5585,33800.0
kBxPfPkmkUZ,5577,238400.0
H9DPSXuy1Cq,5064,57556.0
HwX8sJbFytZ,3048,91500.0
tm4XzrA2ZJ4,3048,22850.0
Va9YJe9mcJC,3067,13270.0
iHhFjeFaUE2,5064,4652.0
tm4XzrA2ZJ4,2075,33400.0
HwX8sJbFytZ,1006,33900.0
QcPVLGbkXPE,3082,21000.0
MdeVOqoipzV,2022,16000.0
MdeVOqoipzV,4047,134724.0
Va9YJe9mcJC,1004,8170.0
QcPVLGbkXPE,5076,32000.0
kBxPfPkmkUZ,5081,151000.0
txbCZcGu9t7,4055,9940.0
H9DPSXuy1Cq,3086,2100.0
H9DPSXuy1Cq,2019,165800.0
kneuyiAUuhM,5594,13050.0
tm4XzrA2ZJ4,5532,24700.0
kBxPfPkmkUZ,4055,127200.0
jexpvG0UpEP,3033,1140.0
HwX8sJbFytZ,5552,46800.0
tm4XzrA2ZJ4,5594,14175.0
kBxPfPkmkUZ,5585,664400.0
iHhFjeFaUE2,1042,1270.0
AhRkuUoR2Gh,3029,0.0
txbCZcGu9t7,4001,12920.0
HwX8sJbFytZ,4041,104500.0
iHhFjeFaUE2,3067,4570.0
txbCZcGu9t7,2012,26570.0
iHhFjeFaUE2,2012,6100.0
kneuyiAUuhM,4047,20697.0
AhRkuUoR2Gh,3089,3100.0
Ew83LC7SZl0,4041,68700.0
AhRkuUoR2Gh,3067,4100.0
QcPVLGbkXPE,6036,32700.0
H9DPSXuy1Cq,5549,54200.0
AhRkuUoR2Gh,1079,0.0
QcPVLGbkXPE,4018,21600.0
iHhFjeFaUE2,5070,1385.0
txbCZcGu9t7,1042,6610.0
xE9S4yAH6JM,5577,12790.0
tm4XzrA2ZJ4,2022,1650.0
jexpvG0UpEP,2051,800.0
AhRkuUoR2Gh,6036,10825.0
tm4XzrA2ZJ4,6058,9800.0
kBxPfPkmkUZ,3059,369200.0
Ew83LC7SZl0,1004,30200.0
jexpvG0UpEP,5038,9158.0
kBxPfPkmkUZ,5010,0.0
txbCZcGu9t7,3033,500.0
iHhFjeFaUE2,2046,977.0
jexpvG0UpEP,4087,18290.0
tm4XzrA2ZJ4,3093,34400.0
tm4XzrA2ZJ4,4057,100.0
Va9YJe9mcJC,1078,6818.0
iHhFjeFaUE2,2084,1015.0
Va9YJe9mcJC,5527,28210.0
txbCZcGu9t7,2013,150.0
xE9S4yAH6JM,5081,12455.0
tm4XzrA2ZJ4,6091,28300.0
xE9S4yAH6JM,4055,11580.0
tm4XzrA2ZJ4,2015,1900.0
QcPVLGbkXPE,3061,54000.0
kBxPfPkmkUZ,3048,558802.0
tm4XzrA2ZJ4,3072,20235.0
xE9S4yAH6JM,5585,27030.0
QcPVLGbkXPE,4065,11000.0
MdeVOqoipzV,6090,100051.0
Va9YJe9mcJC,4050,18358.0
kBxPfPkmkUZ,3082,474800.0
xE9S4yAH6JM,4065,8500.0
txbCZcGu9t7,3061,40460.0
xE9S4yAH6JM,1078,9400.0
MdeVOqoipzV,2019,442698.0
kBxPfPkmkUZ,4087,396000.0
jexpvG0UpEP,4055,8800.0
jexpvG0UpEP,3029,5310.0
AhRkuUoR2Gh,2046,6900.0
xE9S4yAH6JM,3061,46750.0
Ew83LC7SZl0,5585,25900.0
Ew83LC7SZl0,5577,32300.0
xE9S4yAH6JM,6091,28300.0
txbCZcGu9t7,1078,6818.0
txbCZcGu9t7,4065,7530.0
iHhFjeFaUE2,4087,3820.0
MdeVOqoipzV,4050,151468.0
kBxPfPkmkUZ,5076,564600.0
MdeVOqoipzV,3086,13000.0
Va9YJe9mcJC,6091,25200.0
tm4XzrA2ZJ4,6090,16800.0
AhRkuUoR2Gh,2084,3100.0
H9DPSXuy1Cq,2046,17300.0
QcPVLGbkXPE,2051,0.0
AhRkuUoR2Gh,2075,25100.0
txbCZcGu9t7,4057,50.0
MdeVOqoipzV,5081,91628.0
kneuyiAUuhM,2019,60450.0
