Data,Organisation unit,Value
"# of adolescents received services from facility",Khulna District,69291.0
"# of Adolescent girls using sanitary napkin (Marital status)",Tangail District,280.0
"# of Adolescents received Counselling for the changes during puberty / Adolescents period",Tangail District,446.0
"# of Adolescent girls using sanitary napkin",Nilphamari District,3248.0
"# of Adolescents who knows about legal age of marriage",Nilphamari District,3290.0
"# of Adolescents received Counselling for RTI/STI (Marital status)",Jamalpur District,1631.0
"# of Adolescents measured as an under-weight (Marital status)",Tangail District,158.0
"# of Adolescents received treatment for RTI/STI",Tangail District,174.0
"# of Adolescent referred from Adolescent clubs & others",Bhola District,297.0
"# of Adolescents received Iron & Folic acid (Marital status)",Bhola District,2901.0
"# of Adolescents measured as an under-weight",Bhola District,1576.0
"# of adolescents received services from facility (Marital status)",Tangail District,1596.0
"# of sexually active adolescents using contraceptive methods",Tangail District,71.0
"# of Adolescents received Counselling for RTI/STI",Jamalpur District,1716.0
"# of Adolescents who knows about legal age of marriage",Jamalpur District,1316.0
"# of Adolescents received treatment for RTI/STI (Marital status)",Gazipur District,779.0
"# of Adolescent referred from Educational Institute",Khulna District,1431.0
"# of Adolescent girls using sanitary napkin",Tangail District,310.0
"# of Adolescents received Iron & Folic acid",Khulna District,35443.0
"# of Adolescent girls using sanitary napkin (Marital status)",Nilphamari District,2512.0
"# of Adolescents measured as an under-weight",Jamalpur District,242.0
"# of Adolescents received Counselling for the changes during puberty / Adolescents period",Nilphamari District,4831.0
"# of Adolescents received treatment for RTI/STI (Marital status)",Bhola District,1907.0
"# of Adolescents received treatment for RTI/STI (Marital status)",Jamalpur District,982.0
"# of Adolescent referred from Educational Institute",Nilphamari District,1041.0
"# of Adolescents received Counselling for the changes during puberty / Adolescents period",Jamalpur District,1180.0
"# of adolescents received services from facility (Marital status)",Nilphamari District,9498.0
"# of sexually active adolescents using contraceptive methods",Nilphamari District,277.0
"# of adolescents received services from facility (Marital status)",Khulna District,63207.0
"# of Adolescents received Iron & Folic acid",Nilphamari District,11961.0
"# of Adolescent referred from Adolescent clubs & others",Gazipur District,9.0
"# of Adolescents received treatment for RTI/STI",Nilphamari District,2396.0
