Data,Organisation unit,Value
MHYV3eFwGZU,10002002,2163.0
v772UnlCScj,10002002,1379.0
EIYwrOwQp1b,HS_27430030000,1416.0
EIYwrOwQp1b,10001464,410.0
GrWwPolhzSH,HS_27430030000,5238.0
WbJrqc7RiNR,HS_27430030000,5302.0
GrWwPolhzSH,10001464,153.0
JAyhRsqgHlq,10001464,329.0
QBuqiBnunbj,HS_27430030000,5203.0
MjZc6wdibMI,10002002,1989.0
v772UnlCScj,10001464,122.0
JAyhRsqgHlq,10002002,2191.0
u9OhIVDEWsy,10002002,4311.0
LJUDUzZRzM9,10002002,174.0
tZJ5q911iIz,HS_27430030000,5059.0
u9OhIVDEWsy,10001464,861.0
v772UnlCScj,HS_27430030000,2777.0
gqhJ7uUEVvH,HS_27430030000,2167.0
u9OhIVDEWsy,HS_27430030000,17008.0
SfAMOtgRGMl,HS_27430030000,1799.0
MHYV3eFwGZU,10001464,292.0
SfAMOtgRGMl,10001464,624.0
i6QEYClHdq0,10002002,1317.0
aCNUUnn9WRa,10002002,2909.0
vhYNM40e45e,10001464,12.0
Nx1PwHixPdu,10002002,4287.0
WbJrqc7RiNR,10001464,124.0
Nx1PwHixPdu,10001464,768.0
WbJrqc7RiNR,10002002,3249.0
vhYNM40e45e,10002002,493.0
SfAMOtgRGMl,10002002,429.0
gqhJ7uUEVvH,10002002,434.0
LJUDUzZRzM9,10001464,301.0
aCNUUnn9WRa,10001464,462.0
gqhJ7uUEVvH,10001464,683.0
i6QEYClHdq0,10001464,112.0
Nx1PwHixPdu,HS_27430030000,16026.0
MjZc6wdibMI,10001464,5.0
EIYwrOwQp1b,10002002,1318.0
MHYV3eFwGZU,HS_27430030000,2091.0
GrWwPolhzSH,10002002,945.0
QBuqiBnunbj,10001464,153.0
JAyhRsqgHlq,HS_27430030000,2591.0
QBuqiBnunbj,10002002,948.0
tZJ5q911iIz,10001464,453.0
i6QEYClHdq0,HS_27430030000,2638.0
aCNUUnn9WRa,HS_27430030000,5044.0
MjZc6wdibMI,HS_27430030000,2610.0
tZJ5q911iIz,10002002,2832.0
